bik	tl
Ngunyan, “an Kagurangnan” na sinasabi digdi iyo an Espiritu Santo; kun haen an Espiritu nin Kagurangnan, yaon man an katalingkasan.	Ngayon, ang Panginoon ay siyang Espiritu, at kung saan naroroon ang Espiritu ng Panginoon, mayroong kalayaan.
Kaya sa sato gabos na mayong tahob an lalawogon masasalming an kamurawayan nin Kagurangnan; an mismong kamurawayan na iyan na gikan sa Kagurangnan na iyo an Espiritu Santo, iyo an minaliwat sato na magin kabaing niya sa orog kadakula pang kamurawayan.	At tayong lahat, na walang talukbong ang mukha, na nakikita ang kaluwalhatian ng Panginoon gaya ng sa isang salamin, ay nababago sa gayunding larawan, mula sa kaluwalhatian tungo sa kaluwalhatian, sapagkat ito ay mula sa Panginoon na siyang Espiritu.
Sa pagkaherak nin Dios, itinao niya samo an ministeryong ini, kaya dai nanluluya an samong boot.	Dahil dito, sa pagkakaroon namin ng ministeryong ito sa pamamagitan ng aming tinanggap na habag, kami ay hindi pinanghihinaan ng loob.
Isinikwal mi an gabos na hilom saka makasosopog na gibo; dai kami nandadaya. Dai mi man riniribayan an tataramon nin Dios kundi sinasabi ming hayag an katotoohan. Bahala na an konsyensya nin mga tawo na maghukom samo sa atubang nin Dios.	Kundi itinatakuwil namin ang mga kahiyahiyang bagay na nakatago. Kami ay tumatangging gumawa ng katusuhan o gamitin sa pandaraya ang salita ng Diyos, kundi sa pamamagitan ng pagpapahayag ng katotohanan ay ipinapakilala namin ang aming sarili sa bawat budhi ng mga tao sa harapan ng Diyos.
Kun natatahoban pa an Marahay na Bareta na ipinaghuhulit mi, natatahoban iyan sa mga tawo sanang napapahamak.	At kahit ang aming ebanghelyo ay natatalukbungan pa, ito ay may talukbong lamang sa mga napapahamak.
Dai sinda minatubod huli ta binuta an saindang mga isip kan dios kaining kinaban, tanganing dai ninda mahiling an liwanag kan Marahay na Bareta dapit sa kamurawayan ni Cristo na iyo an kabaing nin Dios.	Sa kanilang kalagayan, binulag ng diyos ng sanlibutang ito ang pag-iisip ng mga hindi mananampalataya, upang huwag nilang makita ang liwanag ng ebanghelyo ng kaluwalhatian ni Cristo, na siyang larawan ng Diyos.
An ipinaghuhulit mi bakong an sadiri mi kundi si Jesu-Cristo bilang Kagurangnan; ipinapahayag mi na kami mga sorogoon nindo dahel ki Jesus.	Sapagkat hindi namin ipinangangaral ang aming sarili, kundi si Cristo Jesus bilang Panginoon, at kami ay inyong mga lingkod dahil kay Cristo.
An Dios na nagsabi, “An ilaw maliwanag hale sa kadikloman!” Iyo man an Dios na nagtao nin liwanag sa puso ta, tanganing mamidbidan an orog pang kamurawayan na nasa lalawogon ni Cristo.	Sapagkat ang Diyos ang nagsabi, “Magningning ang ilaw sa kadiliman,” na siyang tumatanglaw sa aming mga puso upang magbigay-liwanag sa pagkakilala sa kaluwalhatian ng Diyos sa mukha ni Jesu-Cristo.
Alagad kaming mga tinawan kaining espiritwal na kayamanan garo mga dalipay na koron tanganing ipahiling na an pinakadakulang kapangyarihan hale sa Dios asin bakong samo.	Ngunit taglay namin ang kayamanang ito sa mga sisidlang-lupa, upang ipakita na ang nag-uumapaw na kapangyarihan ay mula sa Diyos, at hindi mula sa amin.
Pinapasakitan kami sa gabos na paagi, alagad dai kami nadadaog; napupurisaw kami, alagad dai kami nawawaraan nin paglaom.	Sa bawat panig ay pinagmamalupitan kami, subalit hindi nadudurog, nililito subalit hindi nawawalan ng pag-asa;
Pinepersegir kami alagad dai kami pinababayaan; natutumba kami, alagad dai nagagadan.	pinag-uusig, subalit hindi pinababayaan; inilulugmok, subalit hindi napupuksa;
Sa gabos na oras dara mi sa samong mga hawak an kagadanan ni Jesus tanganing an saiyang buhay mahayag sa samong mga hawak.	na laging tinataglay sa katawan ang kamatayan ni Jesus, upang ang buhay ni Jesus ay mahayag din sa aming katawan.
Sa bilog ming pagkabuhay, danay kaming nasa pag-alaman nin kagadanan huli ki Jesus, tanganing an saiyang buhay mahayag sa hawak ming ini na may kagadanan.	Sapagkat habang nabubuhay, kami ay laging ibinibigay sa kamatayan dahil kay Jesus, upang ang buhay ni Jesus ay mahayag sa aming laman na may kamatayan.
Kaya mantang kami dikit-dikit na nagagadan, kamo nagkakaigwa nin buhay.	Kaya't ang kamatayan ay gumagawa sa amin, subalit ang buhay ay sa inyo.
Nasasabi sa kasuratan, “Nagtubod ako, kaya ako nagtaram.” Igwa man kami kan siring na espiritu nin pagtubod, kaya nagtataram man kami.	Yamang tayo ay mayroong parehong espiritu ng pananampalataya, na ayon sa bagay na nasusulat, “Sumampalataya ako, kaya't ako ay nagsasalita,” kami rin ay sumasampalataya, kaya't kami ay nagsasalita;
Aram mi na an Dios na nagbuhay liwat ki Jesus na Kagurangnan iyo man an mabuhay liwat samo kaiba ni Jesus, asin iyo man an madara samo kaiba nindo sa atubangan niya.	na aming nalalaman na ang bumuhay sa Panginoong Jesus ay siya ring bubuhay sa amin na kasama ni Jesus, at dadalhin kaming kasama ninyo sa kanyang harapan.
An gabos na ini para sa karahayan nindo, tanganing sa pagdakul kan mga naaabot kan biyaya nin Dios, orog na magdakul man an magpapasalamat para sa kamurawayan nin Dios.	Sapagkat ang lahat ng mga bagay ay alang-alang sa inyo, upang ang biyaya, habang parami nang parami ang mga taong naaabot nito, ay magparami ng pagpapasalamat sa ikaluluwalhati ng Diyos.
Kaya dai nanluluya an samuyang boot. Maski ngani an samong hawak pinanluluya na, alagad an samong espiritu pinapakosog aroaldaw.	Kaya't kami ay hindi pinanghihinaan ng loob, bagamat ang aming panlabas na pagkatao ay nabubulok, ang aming panloob na pagkatao ay binabago sa araw-araw.
Ining dikit asin dai nagdadanay na kasakitan na tinitios mi matao samo nin dakula saka mayong kataposan na kaogmahan na dai mapapantayan.	Sapagkat inihahanda tayo nitong magaan at panandaliang kapighatian para sa walang hanggan at di-masukat na kaluwalhatian,
Huli ta dai kami nagtatanaw sa mga bagay na nahihiling, kundi sa mga bagay na dai nahihiling. An mga bagay na nahihiling dai nagdadanay, alagad an mga bagay na dai nahihiling nagdadanay sagkod pa man.	sapagkat hindi kami tumitingin sa mga bagay na nakikita, kundi sa mga bagay na hindi nakikita, sapagkat ang mga bagay na nakikita ay may katapusan, subalit ang mga bagay na hindi nakikita ay walang hanggan.
Aram nyato na kun matunaw an erokan ta digdi sa daga na iyo an satong hawak, igwa nin erokan na nagdadanay sagkod lamang na gibo nin Dios, na saiyang tinatagama sato sa kalangitan.	Sapagkat nalalaman namin na kung mawasak ang aming tolda sa lupa, mayroon kaming isang gusaling mula sa Diyos, bahay na hindi gawa ng mga kamay, walang hanggan sa sangkalangitan.
Minaagrangay kita sa buhay tang ini saka nagmamawot kita na magubingan kan satong erokan na langitnon,	Sapagkat dito kami ay dumaraing, na nasasabik mabihisan ng aming makalangit na tahanan,
tanganing dai kita makuang huba.	upang kung mabihisan na niyon ay hindi kami matagpuang hubad.
Huli ta mantang yaon pa kita sa hawak tang daganon, nag-aagrangay kita sa kahaditan. Bakong huli ta boot tang mawara an hawak tang daganon, kundi boot tang maribayan na iyan nin hawak na langitnon, tanganing an magagadanon masanglean kan mayo nin kagadanan.	Sapagkat habang kami ay nasa toldang ito, kami ay dumaraing na nabibigatan, hindi sa nais naming maging hubad, kundi nais naming kami'y mabihisan pa upang ang may kamatayan ay lunukin ng buhay.
An Dios iyo an nag-andam sato para sa pagbabagong ini asin tinawan niya kita kan saiyang Espiritu bilang garantiya kan gabos na tinatagama niya para sato.	Ngayon, ang naghanda sa amin para sa bagay na ito ay Diyos, na nagbigay sa amin ng Espiritu bilang paunang bayad.
Kaya danay na makosog an samong boot. Aram mi na mantang nag-eerok pa kita sa hawak na ini, harayo pa kita sa erokan nin Kagurangnan.	Kaya't kami'y laging nagtitiwala, bagaman nalalaman namin na samantalang kami ay nasa tahanan sa katawan, kami ay malayo sa Panginoon.
Nabubuhay kami sa pagtubod, bakong sa pakahiling.	Sapagkat kami ay lumalakad sa pamamagitan ng pananampalataya, hindi sa pamamagitan ng paningin.
Makosog an samuyang boot; asin mas boot mi pang maghale sa hawak na ini nganing masa kaibahan nin Kagurangnan.	Kaya't kami ay nagtitiwala at nasisiyahan na mapalayo sa katawan at mapasa tahanan na kasama ng Panginoon.
Alagad pinaghihingowa nyamong mapaogma an Kagurangnan, maski sa erokan na ini o duman.	Kaya't maging nasa tahanan o malayo sa tahanan, ang aming mithiin ay ang bigyan siya ng kasiyahan.
Huli ta kita gabos maatubang ki Cristo tanganing hukoman niya. An lambang saro maako kan maninigo saiya, sosog sa saiyang mga marahay o maraot na gibo, kan nabubuhay pa siya sa kinaban na ini.	Sapagkat tayong lahat ay kailangang humarap sa hukuman ni Cristo upang bawat isa ay tumanggap ng kabayaran sa mga bagay na ginawa niya sa pamamagitan ng katawan, maging mabuti o masama.
Kaya huli ta aram mi kun ano an kahulogan kan pagkatakot sa Kagurangnan, sinasadol mi an mga tawo. Aram nin Dios an pagkatawo mi; naglalaom ako na midbid man nindo ako nin marahay.	Yamang nalalaman ang takot sa Panginoon, hinihikayat namin ang mga tao, ngunit kami ay hayag sa Diyos; at ako'y umaasa na kami ay hayag din sa inyong mga budhi.
Dai kami liwat nagpapaomaw saindo, kundi boot mi sanang tawan kamo nin dahelan na ikapag-orgulyo nindo kami, tanganing masimbag nindo an mga tawong nag-oorgulyo dapit sa panluwas na porma nin tawo alagad bako an dapit sa saiyang puso.	Hindi namin ipinagmamapuring muli ang aming sarili sa inyo, kundi binibigyan namin kayo ng pagkakataon na ipagmalaki kami, upang masagot ninyo ang mga nagmamalaki batay sa panlabas na kaanyuan at hindi sa puso.
Kun kami garo mga lolong, iyan para sa Dios. Kun toltol an isip mi, iyan para sa saindo.	Kung kami ay wala sa aming sarili, ito ay para sa Diyos; kung kami ay nasa matinong pag-iisip, ito ay para sa inyo.
Huli ta an pagkamoot ni Cristo iyo an nagsasadol samo, huli ta aram nyamo na igwa nin sarong nagadan para sa gabos; kaya an gabos ibibilang na nagadan na man.	Ang pag-ibig ni Cristo ang humihimok sa amin, sapagkat kami ay lubos na naniniwala na ang isa ay namatay para sa lahat; kaya't ang lahat ay namatay.
Nagadan si Cristo tanganing an mga nabubuhay dai na mamuhay para sa sadiri ninda, kundi para ki Cristo na nagadan saka nabuhay liwat para sainda.	Siya'y namatay para sa lahat, upang ang mga nabubuhay ay huwag nang mabuhay pa para sa kanilang sarili, kundi para sa kanya na alang-alang sa kanila ay namatay at muling nabuhay.
Kaya poon ngunyan, dai na kami naghuhukom sa kiisay man sosog sa sukolan nin tawo. Maski ngani kaidto hinukoman mi si Cristo sa sukolan nin tawo, dai mi na iyan ginigibo ngunyan.	Kaya't mula ngayon ay hindi namin kinikilala ang sinuman ayon sa pananaw ng laman, bagaman kinikilala namin si Cristo ayon sa pananaw ng laman, ngunit ngayon ay hindi na gayon ang aming pagkakilala.
