bik,tl
"Kaya sinabihan siya kan anghel, “Dai ka matakot, Maria, huli ta nawiwilihan ka nin Dios.","At ngayon, maglilihi ka sa iyong sinapupunan at magsisilang ka ng isang anak na lalaki, at tatawagin mo siya sa pangalang Jesus."
Mangingidam ka asin mangangaki nin lalaki; Jesus an ingangaran mo saiya.,Siya'y magiging dakila at tatawaging Anak ng Kataas-taasan at ibibigay sa kanya ng Panginoong Diyos ang trono ng kanyang amang si David.
Magigin dakula siya saka aapodon na Aki kan Kahorohalangkaweng Dios. Itatao saiya nin Kagurangnan na Dios an trono ni David na saiyang ginikanan.,Siya'y maghahari sa sambahayan ni Jacob magpakailanman at hindi magwawakas ang kanyang kaharian.”
Maghahade siya sa kapagarakian ni Jacob sagkod lamang; an saiyang kahadean mayo nin kataposan!”,"Sinabi ni Maria sa anghel, “Paanong mangyayari ito, samantalang ako'y wala pang nakikilalang lalaki.”"
“Paanong mangyari ini ta ako sarong birhen?” an hapot ni Maria.,"At sumagot ang anghel sa kanya, “Bababa sa iyo ang Espiritu Santo at lililiman ka ng kapangyarihan ng Kataas-taasan. Kaya't ang batang banal ay tatawaging Anak ng Diyos."
"Nagsimbag an anghel, “Mahilig saimo an Espiritu Santo asin lilindongan ka kan kapangyarihan kan Kahorohalangkaweng Dios. Kaya banal an ipapangaki mo na aapodon Aki nin Dios.","Si Elizabeth na iyong kamag-anak ay naglihi rin ng isang anak na lalaki, bagama't siya'y matanda na. Ito ang ikaanim na buwan niya, na dati'y tinatawag na baog."
"Natatandaan mo an pinsan mong si Isabel? Pinagsasabi na dai siya mangangaki, alagad nangidam siya maski ngani gurang na nin marahay. Ngunyan anom na bulan na siyang bados,",Sapagkat sa Diyos ay walang salitang hindi mangyayari.”
huli ta mayo nin imposible sa Dios.”,"At sinabi ni Maria, “Narito ako na alipin ng Panginoon; mangyari sa akin ang ayon sa iyong salita.” Pagkatapos, iniwan siya ng anghel."
"Nagsabi si Maria, “Oripon ako nin Kagurangnan; mangyari logod sako sosog sa saimong tataramon.” Dangan binayaan siya kan anghel.","Nang mga araw na iyon ay tumindig si Maria at nagmadaling pumunta sa isang bayan ng Judea, sa lupaing maburol."
"Pakalihis nin nagkapirang aldaw, nag-andam si Maria asin hidaling nagduman sa sarong banwaan sa kabubuldan nin Juda.",Pumasok siya sa bahay ni Zacarias at bumati kay Elizabeth.
"Pagdagos niya sa harong ni Zacarias, nagtaong galang siya ki Isabel.","Nang marinig ni Elizabeth ang bati ni Maria, gumalaw ang sanggol sa kanyang sinapupunan at napuno si Elizabeth ng Espiritu Santo."
"Pagkadangog ni Isabel kan pagtaong galang ni Maria, huminiro an aki sa tulak niya. Napano kan Espiritu Santo si Isabel,","Sumigaw siya nang malakas at sinabi, “Pinagpala ka sa mga babae, at pinagpala ang bunga ng iyong sinapupunan!"
"asin nagtaram nin makosog, “Paladan ka sa gabos na babae asin paladan an aki na dinadara mo sa saimong tulak!","Bakit nangyari ito sa akin, na ako ay dapat dalawin ng ina ng aking Panginoon?"
Siisay ako na pagsongkoon kan ina nin sakong Kagurangnan?,"Sapagkat nang ang tinig ng iyong pagbati ay aking nadinig, gumalaw sa tuwa ang sanggol sa aking sinapupunan."
"Huli ta pakadangog ko kan saimong pagtaong galang, huminiro sa kaogmahan an aki sa sakuyang tulak.",Mapalad ang babaing sumampalataya na matutupad ang mga bagay na sinabi sa kanya ng Panginoon.”
Paladan ka ta nagtubod kang maootob an sinabi saimo nin Kagurangnan!”,"Sinabi ni Maria,"
"Nagsabi si Maria,","“Dinadakila ng aking kaluluwa ang Panginoon,"
“An sakong puso nag-oomaw sa Kagurangnan;,at nagagalak ang aking espiritu sa Diyos na aking Tagapagligtas.
an sakong kalag nag-oogma sa Dios na sakong Paraligtas;,Sapagkat nilingap niya ang abang kalagayan ng kanyang alipin.
huli ta hiniling niya an kapakumbabaan nin saiyang oripon!,Sapagkat tiyak na mula ngayon ay tatawagin akong mapalad ng lahat ng salinlahi.
"Poon ngunyan aapodon akong paladan kan gabos na kapagarakian,",Sapagkat siya na makapangyarihan ay gumawa para sa akin ng mga dakilang bagay
huli ta an Makakamhan guminibo para sako nin dakulang mga bagay;,at banal ang kanyang pangalan.
asin Banal an saiyang ngaran.,Ang kanyang awa ay sa mga natatakot sa kanya
"An saiyang pagkaherak yaon sa may pagkatakot saiya,",sa lahat ng sali't-saling lahi.
sa gabos na henerasyon.,Siya'y nagpakita ng lakas sa pamamagitan ng kanyang bisig;
"Nagpahiling siya nin kosog nin saiyang kamot,",pinagwatak-watak niya ang mga palalo sa mga haka ng kanilang puso.
winarak niya an mga mapaabaw-abaw sagkod an gabos nindang kaisipan.,"Ibinaba niya ang mga makapangyarihan sa kanilang mga trono,"
"Pinababa niya sa mga trono an mga mapangyari,",at itinaas ang mga may abang kalagayan.
asin ilinangkaw an mga mapakumbaba.,"Ang mga gutom ay binusog niya ng mabubuting bagay,"
"Binasog niya nin mga marahay na bagay an mga nagugutom,",at ang mayayaman ay pinaalis niya na walang dalang anuman.
asin isinubol niya sa kadaihan an mga mayaman.,"Tinulungan niya ang Israel na kanyang alipin,"
"Tinabangan niya an Israel na saiyang banwaan,",bilang pag-alaala sa kanyang kahabagan.
"sa paggiromdom kan saiyang pagkaherak,","Tulad nang sinabi niya sa ating mga magulang,"
"siring sa itinaram niya sa satong mga ginikanan,",kay Abraham at sa kanyang binhi magpakailanman.”
ki Abraham asin sa gabos niyang kapagarakian sagkod pa man.”,"Si Maria ay nanatiling kasama niya nang may tatlong buwan, at umuwi siya sa kanyang bahay."
"Nag-erok si Maria sa kaibahan ni Isabel sa laog nin mga tolong bulan, dangan nagpuli na siya.",Dumating na kay Elizabeth ang panahon ng panganganak at siya'y nagsilang ng isang anak na lalaki.
"Nag-abot an oras kan pangaki ni Isabel, asin nangaki siya nin sarong lalaki.",Nabalitaan ng kanyang mga kapitbahay at mga kamag-anak na nagpakita ang Panginoon ng dakilang awa sa kanya at sila'y nakigalak sa kanya.
Nabaretaan kan saiyang mga kataed asin mga kadugo an dakulang balaog na iwinaras saiya nin Kagurangnan asin nag-ogma sinda sa kaibahan niya.,"Nang ikawalong araw ay dumating sila upang tuliin ang sanggol. Siya'y tatawagin sana nila na Zacarias, ayon sa pangalan ng kanyang ama,"
"Sa ikawalong aldaw kan aki, nagduman sinda tanganing serkomsisyonon siya. Ngangaranan kutana nindang Zacarias an aki, sunod sa ngaran nin saiyang ama,","ngunit sumagot ang kanyang ina at nagsabi, “Hindi. Ang itatawag sa kanya ay Juan.”"
"alagad nagsabi an saiyang ina, “Bako! Juan an ingangaran saiya.”","At sinabi nila sa kanya, “Wala kang kamag-anak na may ganitong pangalan.”"
“Tadaw? Mayo ka man nin kadugo na arog kaiyan an ngaran!” an sabi ninda.,"Sinenyasan nila ang kanyang ama, kung ano ang ibig niyang itawag sa sanggol."
Kaya pinasabot ninda an ama kan aki sa paghapot kun ano an boot niyang ingaran sa aki.,"Humingi siya ng isang sulatan at kanyang isinulat, “Ang kanyang pangalan ay Juan.” At namangha silang lahat."
"Naghagad si Zacarias nin masusuratan asin ini an isinurat niya, “Juan an saiyang ngaran.” Nagngalas sinda gabos!","Biglang nabuksan ang kanyang bibig, nakalaya ang kanyang dila, at siya'y nagsalita na pinupuri ang Diyos."
Kan oras man sanang idto nakataram na liwat si Zacarias; asin inomaw niya an Dios.,"Nagkaroon ng takot ang lahat ng nakatira sa palibot nila, at ang lahat ng mga bagay na ito ay pinag-usapan sa buong lupaing maburol ng Judea."
"Inabtan nin takot an saindang mga kataed, asin nakalakop sa gabos na kabubuldan nin Juda an bareta dapit sa nangyaring ini.","Lahat ng mga nakarinig ay inilagay ang mga ito sa kanilang puso, na sinasabi, “Magiging ano nga kaya ang batang ito?” Sapagkat ang kamay ng Panginoon ay sumasakanya."
"Pinag-isip-isip ini kan gabos na nakadangog; nagsarabi sinda, “Magigin ano daw an aking ini?” Huli ta malinaw na nasa saiya an kapangyarihan nin Kagurangnan.","Si Zacarias na kanyang ama ay napuno ng Espiritu Santo at sinabi ang propesiyang ito,"
"Napano kan Espiritu Santo si Zacarias na ama ni Juan, asin nagpropesia,","“Purihin ang Panginoon, ang Diyos ng Israel,"
"“Omawon an Kagurangnan,","sapagkat kanyang dinalaw at tinubos ang kanyang bayan,"
an Dios nin Israel!,at nagtaas ng isang sungay ng kaligtasan para sa atin
Huli ta dinalaw niya asin ilinigtas an saiyang banwaan.,"sa sambahayan ni David na kanyang lingkod,"
"Nagpadara siya sato nin sarong mapangyaring Paraligtas,","gaya nang sinabi niya sa pamamagitan ng kanyang mga banal na propeta mula noong unang panahon,"
sarong gikan ki David na saiyang sorogoon.,"upang tayo ay maligtas mula sa ating mga kaaway, at mula sa kamay ng lahat ng napopoot sa atin,"
Nanuga siya kaidto sa paagi kan saiyang mga banal na propeta,"upang ipakita ang habag sa ating mga magulang,"
"na ililigtas niya kita sa satong mga kaiwal,","at alalahanin ang kanyang banal na tipan,"
asin sa kapangyarihan kan mga naoongis sato.,"ang pangakong sinumpaan niya sa ating amang si Abraham,"
"Nanuga siyang maheherakan niya an satong mga ginikanan,","na ipagkaloob sa atin, na tayong iniligtas mula sa kamay ng ating mga kaaway,"
asin gigiromdomon an banal niyang tipan.,"ay maglingkod sa kanya nang walang takot,"
"73-74 An sinumpaan niyang panuga sa satong ama na si Abraham,",sa kabanalan at katuwiran
"Kan panahon na idto, nagboot si Cesar Augusto na magsenso kan gabos na tawong sakop kan Imperyo kan Roma.",Nang mga araw na iyon ay lumabas ang isang utos mula kay Augusto Cesar upang magpatala ang buong daigdig.
An enot na pagsensong ini ginibo kan si Cirenio an gobernador sa Siria.,Ito ang unang pagtatala na ginawa nang si Quirinio ay gobernador sa Siria.
Kaya nagpuruli an mga tawo sa sadiri nindang banwaan nganing magpasenso.,"Pumunta ang lahat upang magpatala, bawat isa sa kanyang sariling bayan."
"Hale sa banwaan nin Nazaret sa Galilea, nagpuli si Jose sa banwaan nin Betlehem sa Judea, banwaan na namundagan ni Hadeng David. Sa Betlehem siya mapasenso huli ta gikan siya sa kapagarakian ni David.","Umahon din si Jose mula sa Galilea mula sa bayan ng Nazaret, patungo sa Judea, sa lunsod ni David, na tinatawag na Bethlehem, sapagkat siya'y mula sa sambahayan at lipi ni David,"
"Kaiba niya sa pagpasenso si Maria na ikakasal saiya. Bados si Maria,","upang magpatalang kasama ni Maria na kanyang magiging asawa, na noon ay malapit nang manganak."
"asin mantang yaon sinda duman, uminabot an panahon kan pag-aki ni Maria.","Samantalang sila'y naroroon, dumating ang panahon ng kanyang panganganak."
"Nangaki siya kan saiyang panganay na lalaki. Pinatos niya nin lampin an omboy saka hinulid sa sarong bahugan, huli ta mayo na nin lugar para sainda sa harong na sakatan.","At kanyang isinilang ang kanyang panganay na anak na lalaki, binalot niya ito ng mga lampin, at inihiga sa isang sabsaban sapagkat walang lugar para sa kanila sa bahay-panuluyan."
"Harani sa lugar na idto, igwa nin mga pastor sa kaomahan na nagpapaaga sa pagbantay kan saindang mga karnero.",Sa lupaing iyon ay may mga pastol ng tupa na nasa parang na nagbabantay sa kanilang kawan sa gabi.
Bigla sanang may nagpahiling saindang anghel nin Kagurangnan na nakapaliwanag nin marahay kan lugar na idto. Natakot sinda nin makuri.,"Tumayo sa tabi nila ang isang anghel ng Panginoon at ang kaluwalhatian ng Panginoon ay nagliwanag sa palibot nila, at sila'y lubhang natakot."
"Alagad sinabihan sinda kan anghel, “Dai kamo matakot! May dara akong marahay na bareta para saindo na magtatao nin dakulang kaogmahan sa gabos na tawo.","Kaya't sinabi sa kanila ng anghel, “Huwag kayong matakot, sapagkat narito, dala ko sa inyo ang magandang balita ng malaking kagalakan para sa buong bayan."
Namundag ngunyan sa banwa ni David an saindong Paraligtas—an Mesias na Kagurangnan!,"Sapagkat ipinanganak sa inyo ngayon sa lunsod ni David ang isang Tagapagligtas, na siya ang Cristo, ang Panginoon."
Ini an tanda para saindo: makukua nindo an sarong omboy na napapatos nin lampin asin nahuhulid sa sarong bahugan.”,Ito ang magiging palatandaan ninyo: Matatagpuan ninyo ang isang sanggol na balot ng lampin at nakahiga sa isang sabsaban.”
"Bigla sanang nagpahiling sa kataed kan anghel an kadakul pang mga anghel hale sa langit, na nag-oomaw sa Dios,","At biglang sumama sa anghel ang isang malaking hukbo ng langit na nagpupuri sa Diyos at nagsasabi,"
“Pag-omawon an Dios sa kaitaasan asin sa daga katoninongan sa mga tawo na saiyang nawiwilihan!”,"“Luwalhati sa Diyos sa kataas-taasan,"
"Pakahale kan mga anghel pabalik sa langit, nagsabi an mga pastor, “Magduman kita sa Betlehem! Hilingon ta an nangyaring ini na ibinareta sato nin Kagurangnan.”",at sa lupa'y kapayapaan sa mga taong kinalulugdan niya.”
"Kaya hidali sindang nagduman. Nakua ninda si Maria, si Jose saka an omboy na nahuhulid sa bahugan.","Nang iwan sila ng mga anghel patungo sa langit, sinabi ng mga pastol sa isa't isa, “Pumunta tayo ngayon sa Bethlehem at tingnan natin ang nangyaring ito na ipinaalam sa atin ng Panginoon.”"
"Kan mahiling kan mga pastor an omboy, ibinareta ninda an sinabi sainda kan anghel dapit saiya.","At sila'y nagmamadaling pumunta at kanilang natagpuan sina Maria at Jose, at ang sanggol na nakahiga sa sabsaban."
An gabos na nakadangog kan ibinareta kan mga pastor nagngaralas.,"Nang makita nila ito, ipinaalam nila sa kanila ang mga sinabi tungkol sa sanggol na ito;"
Ini gabos rinimpos ni Maria sa saiyang puso asin pinaghorop-horop.,at lahat nang nakarinig nito ay namangha sa mga bagay na sinabi sa kanila ng mga pastol.
"Naghale an mga pastor, nag-oomaw sa Dios huli kan gabos nindang nadangog saka nahiling siring nanggad sa ibinareta sainda kan anghel.","Subalit iningatan ni Maria ang lahat ng mga salitang ito, na pinagbulay-bulay sa kanyang puso."
"Pag-abot kan ikawalong aldaw, sinerkomsisyon an aki asin nginaranan siyang Jesus, an ngaran na itinao kan anghel bago siya ipangidam.","Pagkatapos ay bumalik ang mga pastol na niluluwalhati at pinupuri ang Diyos dahil sa lahat ng kanilang narinig at nakita, ayon sa sinabi sa kanila."
"Kan mag-abot an aldaw nin paglinig para ki Jose asin Maria sosog sa Katogonan ni Moises, dinara ninda si Jesus sa Jerusalem nganing idolot sa Kagurangnan,","Makaraan ang walong araw, dumating ang panahon upang tuliin ang bata. Tinawag siyang Jesus, ang pangalang ibinigay ng anghel bago siya ipinaglihi sa sinapupunan."
huli ta nasusurat sa Katogonan: “An lambang panganay na lalaki sadiri nin Kagurangnan.”,"Nang sumapit na ang mga araw ng kanilang paglilinis ayon sa kautusan ni Moises, kanilang dinala siya sa Jerusalem upang iharap siya sa Panginoon"
Nagdolot man sinda nin atang sosog sa hinahagad kan Katogonan nin Kagurangnan: “mag-agom na salampati o duwang ogbon na agbaan.”,"(ito ay ayon sa nasusulat sa kautusan ng Panginoon, “Ang bawat panganay na lalaki ay tatawaging banal sa Panginoon”)."
"Sa Jerusalem may sarong tawo kaidto na an ngaran Simeon. Siya matanos asin maimbod sa Dios; naghahalat siya kan kaligtasan nin Israel. Nasa saiya an Espiritu Santo,","Sila'y naghandog ng alay alinsunod sa sinasabi sa kautusan ng Panginoon, “dalawang batu-bato, o dalawang batang kalapati.”"
na iyo an nagpahayag saiya na dai siya magagadan sagkod na dai niya nahiling an Paraligtas na ipinanuga nin Kagurangnan.,Noon ay may isang lalaki sa Jerusalem na ang pangalan ay Simeon. Ang lalaking ito'y matuwid at masipag sa kabanalan na naghihintay sa kaaliwan ng Israel at nasa kanya ang Espiritu Santo.
"Sa pasabong kan Espiritu Santo, naglaog si Simeon sa Templo. Kan an omboy na si Jesus darahon duman kan saiyang mga magurang sa pag-otob kan hinahagad kan Katogonan,","Ipinahayag sa kanya ng Espiritu Santo na hindi niya makikita ang kamatayan, hanggang sa makita muna niya ang Cristo ng Panginoon."
"kinua siya ni Simeon asin itinaas, dangan nagpasalamat sa Dios na an sabi:","Sa patnubay ng Espiritu ay pumasok siya sa templo. Nang ipasok ng mga magulang sa templo ang sanggol na si Jesus upang gawin sa kanya ang naaayon sa kaugalian sa ilalim ng kautusan,"
"“Kagurangnan, tugote nang magadan sa katoninongan","inilagay niya ang sanggol sa kanyang mga bisig, pinuri ang Diyos, at sinabi,"
"an saimong sorogoon sosog sa saimong panuga,","“Panginoon, ngayon ay hayaan mong ang iyong alipin ay pumanaw na may kapayapaan,"
"huli ta nahiling ko na an saimong kaligtasan,","ayon sa iyong salita,"
na inandam mo para sa gabos na tawo:,"sapagkat nakita ng aking mga mata ang iyong pagliligtas,"
"sarong ilaw na magliliwanag sa mga pagano,","na iyong inihanda sa harapan ng lahat ng mga tao,"
asin magtatao nin kamurawayan sa Israel na saimong banwaan.”,"isang ilaw upang magpahayag sa mga Hentil,"
Nagngalas si Jose asin si Maria sa sinabi ni Simeon dapit sa aki.,at para sa kaluwalhatian ng iyong bayang Israel.”
"Benendisyonan sinda ni Simeon, asin sinabihan si Maria na saiyang ina, “Uya, an aking ini itinalaga para sa pagkapadungkal asin pagbangon nin dakul sa Israel; saro siyang tanda hale sa Dios na isisikwal nin dakul na tawo,",Ang ama at ina ng bata ay namangha sa mga bagay na sinasabi tungkol sa kanya.
"kaya mahahayag an saindang iniisip. Dangan an kamondoan, siring sa sarong matarom na espada, malagbas sa saimong puso.”","Sila'y binasbasan ni Simeon at sinabi kay Maria na kanyang ina, “Ang batang ito ay itinalaga para sa pagbagsak at pagbangon ng marami sa Israel at pinakatanda na sasalungatin,"
"Igwa man nin sarong propetang babae na an ngaran Ana, na aki ni Fanuel na gikan sa tribu ni Aser. Gurang na siyang marahay. Pitong taon pa sana siyang kasal",at tatagos ang isang tabak sa iyong sariling kaluluwa upang mahayag ang iniisip ng marami.”
"kan mabalo siya, asin ngunyan otsenta y kwatrong taon na siya. Parati siyang nasa Templo; aldaw-banggi siyang nagsasamba sa Dios, nag-aayuno asin namimibi.","Mayroong isang babaing propeta, si Ana na anak ni Fanuel, mula sa lipi ni Aser. Siya ay napakatanda na at may pitong taong namuhay na kasama ng kanyang asawa mula nang sila ay ikasal,"
"Kan oras man sanang iyan, nag-abot siya, nagpasalamat sa Dios asin nagtaram dapit sa aki sa gabos na naghahalat kan pagtubos nin Dios sa Jerusalem.",at bilang isang balo hanggang walumpu't apat na taong gulang. Hindi siya umalis sa templo kundi sumamba roon na may pag-aayuno at panalangin sa gabi at araw.
"Kan magibo na ni Jose asin ni Maria an gabos na ipinagboboot kan Katogonan nin Kagurangnan, nagbalik sinda sa Galilea, sa Nazaret na sadiri nindang banwaan.","Pagdating niya sa oras ding iyon, siya'y nagpasalamat sa Diyos at nagsalita nang tungkol sa sanggol sa lahat ng naghihintay para sa katubusan ng Jerusalem."
"Nagtalubo an aki asin kuminosog, pano nin kadonongan; asin an biyaya nin Dios yaon saiya.","Nang magampanan na nila ang lahat ng mga bagay ayon sa kautusan ng Panginoon, bumalik sila sa Galilea, sa kanilang sariling bayang Nazaret."
"Taon-taon, minaduman sa Jerusalem an mga magurang ni Jesus para sa Pyesta nin Paskwa.","At lumaki ang bata, lumakas, napuno ng karunungan, at sumasakanya ang biyaya ng Diyos."
"Kan doseng taon na si Jesus, nagduman sinda siring sa dating ginigibo ninda.","Noon, taun-taon ay nagtutungo ang kanyang mga magulang sa Jerusalem sa kapistahan ng Paskuwa."
"Pakatapos kan pyesta, nagbaklay sinda papuli, alagad nagpawalat si Jesus sa Jerusalem na dai aram kan saiyang mga magurang.","Nang siya'y labindalawang taon na, umahon sila ayon sa kaugalian patungo sa kapistahan."
"Sa paghona na kaiba si Jesus kan grupo, nagpadagos sinda sa pagbaklay sa bilog na aldaw. Dangan hinanap ninda siya duman sa saindang mga kadugo asin mga kamidbid.","Nang matapos na ang kapistahan, sa pagbabalik nila ay nanatili ang batang si Jesus sa Jerusalem, ngunit hindi ito alam ng kanyang mga magulang."
