source,reference,translation
"And Peter answereth and saith to Jesus, Rabbi, it is good for us to be here: and let us make three tabernacles; one for thee, and one for Moses, and one for Elijah.","Sinabi ni Pedro kay Jesus, “Rabi, mabuti sa atin ang dumito. Hayaan ninyong gumawa kami ng tatlong kubol; isa sa iyo, isa kay Moises, at isa kay Elias.”","At sumagot si Pedro at sinabi kay Jesus, Rabbi, mabuti na tayo'y narito, at gumawa tayo ng tatlong tulda, isa para sa iyo, isa para kay Moises, at isa para kay Elias."
"And if the firstfruit is holy, so is the lump: and if the root is holy, so are the branches.","Ngayon kung ang pagkahulog nila ay siyang kayamanan ng sanlibutan, at ang pagkalugi nila ay siyang kayamanan ng mga Hentil, gaano pa kaya ang lubos na panunumbalik nila?","Kung ang unang bunga ay banal, gayon din ang bunga ng bunga; at kung ang ugat ay banal, gayon din ang mga sanga."
"My little children, let no man lead you astray: he that doeth righteousness is righteous, even as he is righteous:","Mga munting anak, huwag kayong padaya kanino man. Ang gumagawa ng katuwiran ay matuwid, gaya niya na matuwid.","Mga anak ko, huwag kayong ilihim ng sinuman. Ang gumagawa ng katuwiran ay matuwid, gaya ng siya ay matuwid."
"And Jesus answered and spake again in parables unto them, saying,","Si Jesus ay muling nagsalita sa kanila sa mga talinghaga, na sinasabi,","At sumagot muli si Jesus sa kanila sa mga talinghaga, na sinasabi,"
"And in the fourth watch of the night he came unto them, walking upon the sea.",Nang madaling-araw na ay lumapit siya sa kanila na lumalakad sa ibabaw ng dagat.,"At sa ikaapat na pagbantay ng gabi ay dumating siya sa kanila, naglalakad sa ibabaw ng dagat."
"Now the passage of the scripture which he was reading was this,",Ang bahagi ng kasulatan na binabasa niya ay ito:,"Ang bahagi ng kasulatan na binabasa niya ay ang ganito,"
"(all which things are to perish with the using), after the precepts and doctrines of men?","Ang lahat ng mga alituntuning ito ay masisira sa paggamit, palibhasa'y mga utos at mga aral lamang ng mga tao.","(ang lahat ng mga bagay na ito ay mawawala sa paggamit), ayon sa mga utos at mga turo ng mga tao?"
"Jesus answered them, Many good works have I showed you from the Father; for which of those works do ye stone me?","Sinagot sila ni Jesus, “Maraming mabubuting gawa mula sa Ama ang ipinakita ko sa inyo. Alin sa mga gawang iyon ang dahilan at babatuhin ninyo ako?”","Si Jesus ay sumagot sa kanila, Marami akong ipinakita sa inyo ng mga mabuting gawa mula sa Ama; dahil sa alin sa mga gawa na iyon ang kayo'y tumatayong sa akin?"
"And he that was dead sat up, and began to speak. And he gave him to his mother.",Umupo ang patay at nagpasimulang magsalita. At siya'y ibinigay ni Jesus sa kanyang ina.,Tumayo ang patay at nagsimulang magsalita. Siya'y ibinigay sa kanyang ina.
"they say unto him, Teacher, this woman hath been taken in adultery, in the very act.","ay sinabi nila sa kanya, “Guro, nahuli ang babaing ito sa akto ng pangangalunya.","Sinabi nila sa kanya, Magturutdo, ang babae na ito ay nakuha habang gumagawa ng pangangalunya."
"Ye blind guides, that strain out the gnat, and swallow the camel!","“Kahabag-habag kayo, mga eskriba at mga Fariseo, mga mapagkunwari! Sapagkat nag-iikapu kayo ng yerbabuena, ng anis at ng komino, at inyong pinababayaan ang higit na mahahalagang bagay ng kautusan: ang katarungan, ang habag, at ang pananampalataya. Subalit dapat sana ninyong gawin ang mga ito nang hindi pinababayaan ang iba.","Kayo'y mga bulag na tagapangasiwa, na nagsisiyasat ng mga kalaban, at sinisisi ang kamelyo!"
"Now Peter was sitting without in the court: and a maid came unto him, saying, Thou also wast with Jesus the Galilæan.","Samantala, si Pedro ay nakaupo sa labas ng bakuran. Lumapit sa kanya ang isang aliping babae, na nagsasabi, “Ikaw ay kasama rin ni Jesus na taga-Galilea.”","Si Pedro ay nakaupo sa labas sa patio, at dumating sa kanya ang isang alipin at sinabi, Kailan man ka'y kasama ni Jesus na taga-Galilea."
"And having spent some time there , he departed, and went through the region of Galatia, and Phrygia, in order, establishing all the disciples.","Pagkatapos gumugol ng ilang panahon doon, umalis siya at nagpalipat-lipat sa mga lupain ng Galacia at Frigia, na pinapalakas ang lahat ng mga alagad.","Pagkatapos ng ilang araw roon, siya'y umalis at lumipat sa rehiyon ng Galacia at Frigia, upang patindihin ang lahat ng mga alagad."
"And he sent Peter and John, saying, Go and make ready for us the passover, that we may eat.","Kaya't isinugo ni Jesus sina Pedro at Juan, na sinasabi, “Humayo kayo at ihanda ninyo ang paskuwa para sa atin, upang ating kainin ito.”","Siya'y nagsugo kay Pedro at si Juan, na sinasabi, Kayo'y maghanda at maghanda para sa amin ng paskua upang kumain tayo."
"And he called unto him his twelve disciples, and gave them authority over unclean spirits, to cast them out, and to heal all manner of disease and all manner of sickness.","Pagkatapos ay tinawag ni Jesus ang kanyang labindalawang alagad, at kanyang binigyan sila ng kapangyarihan sa masasamang espiritu, upang kanilang mapalayas sila at pagalingin nila ang bawat sakit at karamdaman.","Tinawag niya ang kanyang labindalawang alagad at binigyan sila ng kapangyarihan sa mga hugaw na espiritu upang ilabas ang mga ito, at upang pagagalingin ang lahat ng uri ng sakit at lahat ng uri ng sakit."
"And I know that his commandment is life eternal; the things therefore which I speak, even as the Father hath said unto me, so I speak.",Nalalaman ko na ang kanyang utos ay buhay na walang hanggan. Kaya't ang mga bagay na sinasabi ko ay aking sinasabi ayon sa sinabi ng Ama.”,At alam kong ang kanyang utos ay buhay na walang hanggan. Kaya't ang mga bagay na sinasabi ko ay sinasabi ko gaya ng sinabi sa akin ng Ama.
"For he shall be great in the sight of the Lord, and he shall drink no wine nor strong drink; and he shall be filled with the Holy Spirit, even from his mother’s womb.","Sapagkat siya'y magiging dakila sa harapan ng Panginoon, at hindi siya iinom ng alak o matapang na inumin. Siya'y mapupuno ng Espiritu Santo mula pa sa sinapupunan ng kanyang ina.","Sapagka't siya'y magiging dakilang sa paningin ng Panginoon, at hindi siya mag-inom ng alak o inumin, at siya'y mapupuno ng Espiritu Santo mula sa tiyan ng kanyang ina."
"For the ministration of this service not only filleth up the measure of the wants of the saints, but aboundeth also through many thanksgivings unto God;","Sapagkat ang pangangasiwa sa paglilingkod na ito ay hindi lamang pumupuno sa pangangailangan ng mga banal, kundi umaapaw rin sa pamamagitan ng maraming pasasalamat sa Diyos.","Sapagka't ang paglilingkod sa paglilingkod na ito ay hindi lamang tumutulong sa mga pangangailangan ng mga banal, kundi napakarami rin sa maraming pagpasalamat sa Diyos."
And he charged them that they should tell no man of him.,Mahigpit na iniutos niya sa kanila na huwag nilang sasabihin kaninuman ang tungkol sa kanya.,Sinabi niya sa kanila na huwag nilang sabihin sa sinuman ang tungkol sa kanya.
"For the power of the horses is in their mouth, and in their tails: for their tails are like unto serpents, and have heads; and with them they hurt.","Sapagkat ang kapangyarihan ng mga kabayo ay nasa kanilang bibig at nasa kanilang mga buntot; ang kanilang mga buntot ay katulad ng mga ahas, na may mga ulo; at sa pamamagitan ng mga ito'y nakakapaminsala sila.","Sapagka't ang kapangyarihan ng mga kabayo'y nasa kanilang bibig at sa kanilang mga buntot; sapagkat ang kanilang mga buntot ay gaya ng mga halas, at may mga ulo, at sa pamamagitan ng mga ito sila'y nagpapahirap."
"but I say unto you, that every one that putteth away his wife, saving for the cause of fornication, maketh her an adulteress: and whosoever shall marry her when she is put away committeth adultery.","Ngunit sinasabi ko sa inyo, na ang bawat nakikipaghiwalay sa kanyang asawang babae maliban sa pakikiapid, ay nagtutulak sa kanya sa pakikiapid; at ang sinumang mag-asawa sa babaing hiniwalayan ay nagkakasala ng pangangalunya.","Ngunit sinasabi ko sa inyo, ang bawa't naglalaya sa kanyang asawa, na nagtatanggol dahil sa imoralidad, ay gumagawa sa kanya na isang mangangalunya. At ang sinuman na magpakasal sa kanya nang siya'y nalalaya ay gumagawa ng mangangalunya."
"the son of Symeon, the son of Judas, the son of Joseph, the son of Jonam, the son of Eliakim,","ni Simeon, ni Juda, ni Jose, ni Jonam, ni Eliakim,","ang anak ni Simeon, ang anak ni Judas, ang anak ni Jose, ang anak ni Jonam, ang anak ni Eliakim,"
"For whatsoever things were written aforetime were written for our learning, that through patience and through comfort of the scriptures we might have hope.","Sapagkat ang anumang mga bagay na isinulat noong una ay isinulat upang tayo ay matuto, upang sa pamamagitan ng pagtitiyaga at sa pagpapasigla ng mga kasulatan ay magkaroon tayo ng pag-asa.","Sapagka't lahat ng mga bagay na isinulat nang una ay isinulat upang turuan natin, upang sa pamamagitan ng pagtitiis at sa pamamagitan ng kaaliwan ng mga Kasulatan ay magkaroon tayo ng pag-asa."
"Rebuke not an elder, but exhort him as a father; the younger men as brethren:","Huwag mong pagsabihan na may kagaspangan ang nakatatandang lalaki, kundi pakiusapan mo siyang tulad sa isang ama; sa mga kabataang lalaki na tulad sa mga kapatid;","Huwag kang magsalita ng masama sa isang matanda, kundi ipaalam mo siyang tulad ng isang ama; ang mga kabataan ay tulad ng mga kapatid;"
"but insomuch as ye are partakers of Christ’s sufferings, rejoice; that at the revelation of his glory also ye may rejoice with exceeding joy.","Kundi kayo'y magalak, yamang kayo'y nakikibahagi sa mga pagdurusa ni Cristo, upang kayo man ay matuwa at sumigaw sa galak kapag ang kaluwalhatian niya ay nahayag.","Ngunit kung kayo'y nakikibahagi sa mga pagdurusa ni Cristo, magmamaligayang kayo, upang kayo'y magmamaligayang manaya sa paglitaw ng kaniyang kaluwalhatian."
"And he said, How can I, except some one shall guide me? And he besought Philip to come up and sit with him.","Sumagot naman ito, “Paano nga ba, malibang may tumulong sa akin?” At kanyang inanyayahan si Felipe na umakyat at maupong kasama niya.","At siya'y nagsabi, Paano ako makapahayag, maliban kung may mangangaral sa akin? At hiniling niya kay Felipe na sumakay at umupo sa kanya."
"But when they perceived that he was a Jew, all with one voice about the space of two hours cried out, Great is Diana of the Ephesians.","Samantala, ang iba ay sumisigaw ng isang bagay, at ang ilan ay iba naman, sapagkat ang kapulungan ay nasa kaguluhan at hindi nalalaman ng karamihan kung bakit sila'y nagkakatipon.","Ngunit nang malaman nila na siya'y isang Judio, sila'y nagsinggit nang may isang tinig na halos dalawang oras, Malaking si Diana ng mga taga-Efeso!"
"But the chief priests stirred up the multitude, that he should rather release Barabbas unto them.",Ngunit inudyukan ng mga punong pari ang taong-bayan na sa halip ay palayain niya si Barabas para sa kanila.,Ngunit ang mga punong pari ay nagpaliwanag sa karamihan na mas gusto niyang i-release sa kanila si Barabas.
For thy sake we are killed all the day long;,“Dahil sa iyo kami'y pinapatay sa buong araw;,Dahil sa iyo kami'y pinapatay araw-araw.
Wherefore even the first covenant hath not been dedicated without blood.,Kaya't maging ang unang tipan ay hindi pinagtibay ng walang dugo.,Kaya't kahit ang unang tipan ay hindi inilaan nang walang dugo.
"And he would not: but went and cast him into prison, till he should pay that which was due.","Kaya't nanikluhod ang kanyang kapwa alipin at nakiusap sa kanya, na nagsasabi, ‘Pagpasensyahan mo ako, at babayaran kita.’","Ngunit ayaw niya, ngunit siya'y lumapit at inilagay sa bilangguan hanggang sa magbayad siya ng utang."
"And touching at Syracuse, we tarried there three days.",Nang dumaong kami sa Siracusa ay tumigil kami roon ng tatlong araw.,"Nang dumating kami sa Syracuse, nanatili kami roon ng tatlong araw."
"And a woman, who had an issue of blood twelve years,","May isang babae na labindalawang taon nang dinudugo,","At may isang babae na may labindalawang taon na siyang nagdurusa ng dugo,"
"the one do it of love, knowing that I am set for the defence of the gospel;","Ang huli ay gumagawa dahil sa pag-ibig, palibhasa'y nalalaman na ako'y itinalaga sa pagtatanggol sa ebanghelyo;","Ito'y ginagawa nila dahil sa pag-ibig, dahil alam nila na ako'y itinatag para sa pagtatanggol ng ebanghelyo."
"rendering vengeance to them that know not God, and to them that obey not the gospel of our Lord Jesus:","na nasa nagliliyab na apoy, na magbibigay ng parusa sa mga hindi kumikilala sa Diyos at sa mga hindi sumusunod sa ebanghelyo ng ating Panginoong Jesus.","sa paghihiganti sa mga hindi nakilala sa Diyos, at sa mga hindi sumusunod sa ebanghelyo ng ating Panginoong Jesus."
"Thou seest that faith wrought with his works, and by works was faith made perfect;","Nakikita mo na ang pananampalataya ay gumagawang kalakip ng kanyang mga gawa, at ang pananampalataya ay naging ganap sa pamamagitan ng mga gawa.","Nakita mo na ang pananampalataya ay nagtrabaho kasama ang kanyang mga gawa, at sa pamamagitan ng mga gawa ang pananampalataya ay naging ganap."
"Beware of false prophets, who come to you in sheep’s clothing, but inwardly are ravening wolves.","“Mag-ingat kayo sa mga bulaang propeta, na lumalapit sa inyo na may damit tupa, ngunit sa loob ay mga ganid na asong-gubat.","Mag-ingat kayo sa mga kasinungalingan na propeta, na dumarating sa inyo sa mga damit ng mga tupa, ngunit sa loob ay mga mabangis na lobo."
"What I tell you in the darkness, speak ye in the light; and what ye hear in the ear, proclaim upon the house-tops.","Anumang sinasabi ko sa inyo sa dilim, sabihin ninyo sa liwanag; at ang narinig ninyo sa bulong ay ipagsigawan ninyo sa ibabaw ng mga bubungan.",Ang sinasabi ko sa inyo sa kadiliman ay inyong ipangaral sa liwanag; at ang narinig ninyo sa tainga ay inyong ipangaral sa ibabaw ng mga bubong.
"Then understood they that he bade them not beware of the leaven of bread, but of the teaching of the Pharisees and Sadducees.",Kaya't naunawaan nila na ang sinabi ni Jesus ay hindi sa pampaalsa ng tinapay mag-ingat kundi sa mga aral ng mga Fariseo at Saduceo.,"Nang magkagayo'y nalalaman nila na hindi siya nagsugo sa kanila na mag-ingat sa lebadura ng tinapay, kundi sa turo ng mga Fariseo at mga Saduseo."
"Behold, I have given you authority to tread upon serpents and scorpions, and over all the power of the enemy: and nothing shall in any wise hurt you.","Tingnan ninyo, binigyan ko kayo ng awtoridad na tapakan ang mga ahas at mga alakdan, at sa ibabaw ng lahat ng kapangyarihan ng kaaway; at walang makakapanakit sa inyo.","Tingnan ninyo, ibinigay ko sa inyo ang kapangyarihan na maglalakad sa mga halas at mga kalapati, at sa lahat ng kapangyarihan ng kaaway, at walang anumang bagay na makakasakit sa inyo."
"idolatry, sorcery, enmities, strife, jealousies, wraths, factions, divisions, parties,","pagsamba sa diyus-diyosan, pangkukulam, alitan, pagtatalo, paninibugho, pagkagalit, pagkamakasarili, pagkakabaha-bahagi, mga pagkakampi-kampi,","ang pagsamba ng diyus-diyosan, ang salamangkero, ang pagkagambala, ang pagsisisi, ang kaawa-awa, ang mga pag-aalinlangan, ang mga paghihiwalay, ang mga paghihiwalay,"
for he that giveth him greeting partaketh in his evil works.,sapagkat ang bumabati sa kanya ay nakikibahagi sa kanyang masasamang gawa.,Sapagka't ang dumalo sa kanya ay nakikibahagi sa kaniyang masamang mga gawa.
"And he called to him the multitude, and said unto them, Hear, and understand:","Pinalapit ni Jesus sa kanya ang mga tao at sinabi sa kanila, “Pakinggan ninyo ito at unawain.","At tinawag niya ang karamihan at sinabi sa kanila, Makinig kayo at maunawaan ninyo."
when John had first preached before his coming the baptism of repentance to all the people of Israel.,"Mula sa binhi ng taong ito, ang Diyos ay nagkaloob ng isang Tagapagligtas sa Israel na si Jesus, gaya ng kanyang ipinangako.",Nang hindi pa siya dumating ay unang ipinangaral ni Juan sa buong bayan ng Israel ang bautismo ng pagbabawi.
"And when they could not come nigh unto him for the crowd, they uncovered the roof where he was: and when they had broken it up, they let down the bed whereon the sick of the palsy lay.","Nang hindi nila ito mailapit sa kanya dahil sa karamihan ng tao, kanilang tinanggal ang bubungan sa tapat ng kanyang kinaroroonan. Nang kanilang mabutas iyon, ibinaba nila ang higaang kinahihigan ng lumpo.","Nang hindi sila makalapit sa kanya dahil sa karamihan ng mga tao, binuksan nila ang bubong kung saan siya ay nasa; at nang binuksan nila ito, binuksan nila ang kama kung saan natutulog ang mga taong may kalungkutan."
"And he said unto me, They are come to pass. I am the Alpha and the Omega, the beginning and the end. I will give unto him that is athirst of the fountain of the water of life freely.",at sila'y magiging bayan niya.,"Sinabi niya sa akin, Ang mga ito ay natupad. Ako ang Alfa at ang Omega, ang simula at ang wakas. Siya na umiiyak ay ibibigay ko nang walang bayad sa mapagkukunan ng tubig ng buhay."
"and let him that is on the housetop not go down, nor enter in, to take anything out of his house:","At ang nasa bubungan ay huwag nang bumaba, o pumasok upang maglabas ng anuman sa kanyang bahay.","at ang nasa tuktok ng bahay ay huwag bumaba, o pumasok upang kumuha ng anumang bagay mula sa kanyang bahay."
"And soldiers also asked him, saying, And we, what must we do? And he said unto them, Extort from no man by violence, neither accuse any one wrongfully; and be content with your wages.","Tinanong din siya ng mga kawal, “At kami, anong dapat naming gawin?” At sinabi niya sa kanila, “Huwag kayong mangikil ng salapi kaninuman sa pamamagitan ng dahas o maling paratang at masiyahan kayo sa inyong sahod.”","At tinanong siya ng mga sundalo, na sinasabi, At kami, ano ang dapat naming gawin? At sinabi niya sa kanila, Huwag kayong gumastos sa sinuman sa pamamagitan ng kapighatian, ni mag-akusa sa sinuman sa hindi tama, at maglaan kayo ng inyong suweldo."
Let these words sink into your ears: for the Son of man shall be delivered up into the hands of men.,"Subalit hindi nila naunawaan ang pananalitang ito at ito'y inilihim sa kanila, upang ito'y hindi nila mabatid. At natakot silang magtanong sa kanya tungkol sa salitang ito.","Ang mga salita na ito ay sumapit sa inyong mga tainga, sapagkat ang Anak ng Tao ay ilalagay sa mga kamay ng mga tao."
"And they that stood by said, Revilest thou God’s high priest?","Sinabi ng mga nakatayo sa malapit, “Nilalait mo ba ang pinakapunong pari ng Diyos?”","Sinabi ng mga nakatayo sa tabi, Ikaw ba'y nagtataka ng mataas na pari ng Diyos?"
"Honor thy father and thy mother; and, Thou shalt love thy neighbor as thyself.","Igalang mo ang iyong ama at ang iyong ina; at, Ibigin mo ang iyong kapwa na gaya ng iyong sarili.”","Igalang mo ang iyong ama at ina, at, Mahalin mo ang iyong kapuwa tulad ng iyong sarili."
"There was set there a vessel full of vinegar: so they put a sponge full of the vinegar upon hyssop, and brought it to his mouth.","Pagkatapos nito, sapagkat alam ni Jesus na ang lahat ng mga bagay ay naganap na, ay sinabi niya (upang matupad ang kasulatan), “Nauuhaw ako.”","Doon ay inilagay ang isang baso na puno ng asukal, kaya't inilagay nila ang isang espongha na puno ng asukal sa hisopo at inilagay sa bibig ni Jesus."
"And he showed me a river of water of life, bright as crystal, proceeding out of the throne of God and of the Lamb,","At ipinakita sa akin ng anghel ang isang ilog ng tubig ng buhay, na maningning na gaya ng kristal, na lumalabas mula sa trono ng Diyos at ng Kordero","Ipinakita niya sa akin ang ilog ng tubig ng buhay, maliwanag na gaya ng kristal, na lumiliko mula sa trono ng Diyos at ng Kordero."
"And it came to pass, while they were there, the days were fulfilled that she should be delivered.","Samantalang sila'y naroroon, dumating ang panahon ng kanyang panganganak.","Nang sila'y doon, dumating ang panahon na siya'y maihatid."
"Therefore let us also, seeing we are compassed about with so great a cloud of witnesses, lay aside every weight, and the sin which doth so easily beset us, and let us run with patience the race that is set before us,","Kaya't yamang napapalibutan tayo ng gayong kakapal na bilang ng mga saksi, itabi natin ang bawat pabigat at ang pagkakasalang madaling bumibitag sa atin, at tumakbo tayong may pagtitiis sa takbuhing inilagay sa harapan natin.","Kaya't tayo'y, dahil kami'y napapalibutan ng isang napakalaking ulap ng mga saksi, alisin natin ang bawat tungkulin, at ang kasalanan na madaling sumasakay sa atin, at tumakbo tayo nang may pagtitiis sa lumba na inilagay sa atin,"
"And he came forth, and saw a great multitude, and he had compassion on them, and healed their sick.","Pagdating niya sa pampang, nakita niya ang napakaraming tao. Nahabag siya sa kanila at pinagaling niya ang mga maysakit sa kanila.","At siya'y lumabas, at nakita niya ang isang malaking pulutong, at siya'y nagmaawa sa kanila, at siya'y nagaling sa kanilang mga maysakit."
"So then it is not of him that willeth, nor of him that runneth, but of God that hath mercy.",Ano nga ang ating sasabihin? May kawalang-katarungan ba sa Diyos? Huwag nawang mangyari.,"Kaya't hindi ito mula sa taong nagnanais, ni mula sa taong tumatakbo, kundi mula sa Diyos na may awa."
And being in an agony he prayed more earnestly; and his sweat became as it were great drops of blood falling down upon the ground.,Nagpakita sa kanya ang isang anghel na mula sa langit na nagpalakas sa kanya.,"At nang siya'y nasa paghihirap, siya'y lalong nagdasal, at ang kanyang suot ay naging parang malaking mga tunog ng dugo na bumaba sa lupa."
"And they reasoned with themselves, saying, If we shall say, From heaven; he will say, Why then did ye not believe him?","Nagtalo sila sa isa't isa, “Kung sabihin natin, ‘Mula sa langit’ ay sasabihin niya, ‘Bakit nga hindi ninyo siya pinaniwalaan?’","Sinabi nila sa kanilang mga sarili, Kung sasabihin natin, Sa langit,  sasabihin niya, Bakit naman hindi ninyo siya pinaniniwalaan?"
"Now know we that thou knowest all things, and needest not that any man should ask thee: by this we believe that thou camest forth from God.","Ngayon ay nalalaman namin na nalalaman mo ang lahat ng mga bagay, at hindi na kailangang tanungin ka ng sinuman. Dahil dito'y sumasampalataya kami na ikaw ay nagbuhat sa Diyos.”","Ngayon ay nalalaman namin na alam mo ang lahat ng bagay, at hindi mo kailangan na may magtanong sa iyo. Dahil dito ay naniniwala kami na ikaw ay nagmula sa Diyos."
"As also the high priest doth bear me witness, and all the estate of the elders: from whom also I received letters unto the brethren, and journeyed to Damascus to bring them also that were there unto Jerusalem in bonds to be punished.",tulad ng mapapatotohanan ng pinakapunong pari ng tungkol sa akin at ng buong kapulungan ng matatanda. Mula sa kanila'y tumanggap ako ng mga sulat para sa mga kapatid sa Damasco at nagpunta ako roon upang gapusin ang mga naroroon at ibalik sila sa Jerusalem upang parusahan.,"Ang mataas na pari at ang lahat ng mga matatanda ay sumasang-ayon sa akin. Sila rin ang nagbigay sa akin ng mga sulat sa mga kapatid, at ako'y nagpunta sa Damasco upang dalhin sa Jerusalem ang mga naroroon upang parusahan."
"hath at the end of these days spoken unto us in his Son, whom he appointed heir of all things, through whom also he made the worlds;","subalit sa mga huling araw na ito ay nagsalita siya sa atin sa pamamagitan ng Anak, na kanyang itinalagang tagapagmana ng lahat ng mga bagay, na sa pamamagitan din niya'y ginawa ang mga sanlibutan.","sa wakas ng mga araw na ito ay nagsasalita siya sa atin sa pamamagitan ng kanyang Anak, na kaniyang itinatag na tagapagmana ng lahat ng bagay, na sa pamamagitan niya ay ginawa rin niya ang mga sanlibutan."
For it is evident that our Lord hath sprung out of Judah; as to which tribe Moses spake nothing concerning priests.,Sapagkat maliwanag na ang ating Panginoon ay nagmula sa Juda at tungkol sa liping iyon ay walang sinabing anuman si Moises tungkol sa mga pari.,"Sapagkat malinaw na mula sa Juda ang ating Panginoon, at tungkol sa tribo na iyon ay walang sinabi ni Moises tungkol sa mga pari."
"and these things we write, that our joy may be made full.",Isinusulat namin ang mga bagay na ito upang ang aming kagalakan ay malubos.,At isinusulat namin ang mga bagay na ito upang maging ganap ang ating kagalakan.
"But I have a few things against thee, because thou hast there some that hold the teaching of Balaam, who taught Balak to cast a stumblingblock before the children of Israel, to eat things sacrificed to idols, and to commit fornication.","Ang may pandinig ay makinig sa sinasabi ng Espiritu sa mga iglesya. Ang magtagumpay ay bibigyan ko ng nakatagong mana, at siya'y bibigyan ko ng isang batong puti, at sa ibabaw ng bato ay may nakasulat na isang bagong pangalan, na walang nakakaalam kundi ang tumatanggap.","Ngunit mayroon akong ilang mga bagay laban sa iyo, sapagkat may ilan sa iyo na nagtataguyod ng turo ni Balaam, na nagtuturo kay Balak na ilagay ang isang tukso sa harap ng mga anak ng Israel, na kumain ng mga bagay na ipinagkaloob sa mga dios-dios, at gumawa ng kasarian."
"But Abraham saith, They have Moses and the prophets; let them hear them.","Subalit sinabi ni Abraham, ‘Nasa kanila si Moises at ang mga propeta, hayaan mo silang makinig sa kanila.’","Ngunit sinabi ni Abraham,  Mayroon silang si Moises at ang mga Propeta; patinigin nila sila."
"He that was dead came forth, bound hand and foot with grave-clothes; and his face was bound about with a napkin. Jesus saith unto them, Loose him, and let him go.","Ang taong namatay ay lumabas, na ang mga kamay at mga paa ay natatalian ng mga telang panlibing, at ang kanyang mukha ay may balot na tela. Sinabi sa kanila ni Jesus, “Siya'y inyong kalagan, at hayaan ninyong makaalis.”","Ang patay ay lumabas, na nakabitay ng mga kamay at paa ng mga damit ng libingan, at ang kanyang mukha ay nakabitay ng isang paninda. Sinabi ni Jesus sa kanila, Ipaglaya ninyo siya at papayagin ninyo siya."
