source,reference,translation
"“ Get up, take your mat, and go home. ”","“Sinasabi ko sa iyo, tumayo ka, damputin mo ang iyong higaan, at umuwi ka.”","Bumangon ka, alawin mo ang iyong higaan, at umuwi ka sa iyong bahay."
So she went to ask the LORD .,"Sinabi sa kanya ng Panginoon ,",Kaya't siya'y nagpunta upang humingi ng tulong sa Panginoon .
"But she knelt before him and said, “Lord, help me.”","Ngunit sumagot siya at sinabi, “Ako'y hindi sinugo maliban sa mga nawawalang tupa ng sambahayan ni Israel.”","Ngunit siya'y lumuhod sa harapan ni Jesus at nagsabi, Panginoon, tulungan mo ako."
You answered me: “What you have proposed is a good idea.”,"At kayo'y sumagot sa akin at nagsabi, ‘Ang bagay na iyong sinabi ay mabuting gawin natin.’","At sinabi mo sa akin, Ang iyong sinabi ay mabuti."
"Halfway through the festival, Jesus went up to the temple and started to teach.",Nang ang kapistahan ay nasa kalagitnaan na ay pumunta si Jesus sa templo at nagturo.,"Sa kalagitnaan ng pista, si Jesus ay sumakay sa templo at nagsimula na magturo."
"Isn’t he your father, your creator?",Hindi ba siya ang iyong ama na lumalang sa iyo?,"Hindi ba siya ang iyong Ama, ang iyong Lumikha?"
"You will be betrayed by your parents, brothers and sisters, relatives, and friends. They will execute some of you.","Kayo'y ipagkakanulo maging ng mga magulang at mga kapatid, mga kamag-anak at mga kaibigan, at ipapapatay nila ang iba sa inyo.","At kayo'y ibibigay ng mga magulang, ng mga kapatid, ng mga kapamilya, at ng mga kaibigan, at ang ilan sa inyo'y papatayin nila."
"The rich man had a lot of sheep and cattle,",Ang mayaman ay mayroong napakaraming kawan at bakahan;,"Ang mayaman ay may maraming tupa at baka,"
They joined five of the curtains to each other and joined the other five curtains to each other.,Pinagkabit-kabit niya ang limang tabing at ang iba pang limang tabing ay pinagkabit-kabit niya.,"Sila'y nagkasama ng limang mga palitan sa isa't isa, at ang limang iba pang mga palitan sa isa't isa."
The Word was with God in the beginning.,Nasa sa kanya ang buhay at ang buhay ay siyang ilaw ng mga tao.,"Sa simula, ang Salita ay kasama ng Diyos."
"As he continued along, he saw Levi, Alphaeus’ son, sitting at a kiosk for collecting taxes. Jesus said to him, “ Follow me. ” Levi got up and followed him.","Habang siya'y naglalakad, nakita niya si Levi na anak ni Alfeo na nakaupo sa tanggapan ng buwis at sinabi sa kanya, “Sumunod ka sa akin.” Tumayo siya at sumunod sa kanya.","At habang siya'y naglalakad, nakita niya si Levi na anak ni Alfeo, na nakaupo sa isang biro ng buwis. Sinabi niya sa kanya, Sunod mo ako. At tumayo si Levi at sumunod sa kanya."
"For the gate into the courtyard there will be a screen thirty feet long, made of blue, purple, and deep red yarns and of fine twisted linen, decorated with needlework. It will have four posts with their four bases.","Sa pintuan ng bulwagan ay magkakaroon ng isang tabing na may dalawampung siko, na ang tela ay asul, kulay-ube, at pula, at hinabing pinong lino na ginawa ng mambuburda; ang mga haligi ng mga iyon ay apat at ang mga patungan ng mga iyon ay apat.","Sapagka't ang pintuan ng patio ay magkakaroon ng isang pantay na tatlong pulong paa ang haba, na gawa ng asul, purpura, at pula, at ng matamis na lino, na pinahihigit ng mga sugat; at ito'y magkakaroon ng apat na poste, na may apat na tungkulin."
"David replied to Michal, “I was celebrating before the LORD , who chose me over your father and his entire family, and who appointed me leader over the LORD ’s people, over Israel—and I will celebrate before the LORD again!","Sinabi ni David kay Mical, “Iyon ay sa harap ng Panginoon na siyang pumili sa akin na higit sa iyong ama, at higit sa buong sambahayan niya, upang hirangin ako bilang pinuno ng Israel, ang bayan ng Panginoon , kaya't ako'y magsasaya sa harap ng Panginoon .","At sinabi ni David kay Michal, Ako'y nagmamaligayang sa harap ng Panginoon, na pumili sa akin sa harap ng iyong ama at sa buong sambahayan niya, at nagtatalaga sa akin na maging pangulo sa bayan ng Panginoon, sa Israel; at ako'y magmamaligayang muli sa harap ng Panginoon."
"James and John, Zebedee’s sons, whom he nicknamed Boanerges, which means “sons of Thunder”;","si Santiago na anak ni Zebedeo, at si Juan na kapatid ni Santiago na tinawag niyang Boanerges, na ang kahulugan ay mga Anak ng Kulog;","at si Santiago at si Juan, ang mga anak ni Zebedeo, na kaniyang tinawag na Boanerges, na nangangahulugang mga anak ng tunog;"
"Masters, be just and fair to your slaves, knowing that you yourselves have a master in heaven.","Mga panginoon, pakitunguhan ninyo ang inyong mga alipin nang matuwid at makatarungan, yamang nalalaman ninyo na kayo man ay mayroon ding Panginoon sa langit.","Mga panginoon, gawin ninyo sa inyong mga alipin ang katarungan at katarungan, na inyong nalalaman na kayo rin ay may isang panginoon sa langit."
"Jacob ordered them, “I am soon to join my people. Bury me with my ancestors in the cave that’s in the field of Ephron the Hittite;","Pagkatapos ay iniutos niya sa kanila, “Ako'y malapit nang makasama sa aking bayan. Ilibing ninyo ako sa tabi ng aking mga magulang, sa yungib na nasa parang ni Efron na Heteo,","Kaya't sinabi ni Jacob sa kanila, Ako'y pupunta sa aking bayan, at ililibing ninyo ako sa gitna ng aking mga magulang sa hangganan na nasa patlang ni Efron na Hetita;"
"Then the priest will take some of the blood from the purification offering and, using his finger, will put it on the horns of the altar of entirely burned offerings. But he will pour all the rest of the blood out at the base of the altar.","Pagkatapos ay kukuha ang pari ng kaunting dugo ng handog pangkasalanan sa pamamagitan ng kanyang daliri at ilalagay sa ibabaw ng mga sungay ng dambana ng handog na sinusunog, at ang nalabing dugo ay ibubuhos niya sa paanan ng dambana.","Pagkatapos ay kukuha ng pari ang bahagi ng dugo ng handog ng paglilinis, at ilagay ng kanyang daliri sa mga sungay ng dambana ng mga handog na susunugin; at ang natitirang dugo ay ilagay sa ilalim ng dambana."
"Dear friend, don’t imitate what is bad but what is good. Whoever practices what is good belongs to God. Whoever practices what is bad has not seen God.",Si Demetrio ay pinatototohanan ng lahat at ng katotohanan mismo; kami rin ay nagpapatotoo tungkol sa kanya at nalalaman mo na ang aming patotoo ay tunay.,"Pang-ibig, huwag kang sundin ang masama, kundi ang mabuti. Ang gumagawa ng mabuti ay mula sa Diyos; at ang gumagawa ng masama ay hindi nakakita sa Diyos."
"“King Agrippa, I consider myself especially fortunate that I stand before you today as I offer my defense concerning all the accusations the Jews have brought against me.","sapagkat bihasa ka sa lahat ng mga kaugalian at mga usapin ng mga Judio, kaya ipinapakiusap ko sa iyo na matiyaga mo akong pakinggan.",Kaya't ang aking sarili ay itinuturing kong nasiyahan na ako'y nakatayo sa harap mo ngayon upang ipaglaban ang aking sarili sa lahat ng mga akusasyon sa akin ng mga Judio;
"After all, you know that the testing of your faith produces endurance.","Ngunit kung ang sinuman sa inyo ay nagkukulang ng karunungan, humingi siya sa Diyos na nagbibigay nang sagana sa lahat at hindi nanunumbat, at iyon ay ibibigay sa kanya.",Sapagkat alam ninyo na ang pagsubok ng inyong pananampalataya ay gumagawa ng pagtitiis.
"Jesus continued, “ I’m going away. You will look for me, and you will die in your sin. Where I’m going, you can’t come. ”","Sinabi niya sa kanila, “Kayo'y mga taga-ibaba, ako'y taga-itaas. Kayo'y mga taga-sanlibutang ito; ako'y hindi taga-sanlibutang ito.","Sinabi ni Jesus sa kanila, Ako'y pupunta, at kayo'y maghahanap sa akin, at kayo'y mamamatay sa inyong kasalanan; kung saan ako pupunta, kayo'y hindi maaaring dumating."
"Right then, David’s soldiers and Joab returned from a raid, bringing a great deal of loot with them. Abner was no longer with David in Hebron because David had sent him off in peace.","Nang magkagayo'y pumunta si Joab sa hari, at sinabi, “Ano ang iyong ginawa? Si Abner ay pumarito sa iyo; bakit mo siya pinaalis, kaya't siya'y umalis?","Nang magkagayo'y bumalik ang mga tao ni David at si Joab mula sa isang pag-atake, na may dakilang gantimpala; at si Abner ay hindi na kasama ni David sa Hebron, sapagkat siya'y pinalaya ni David sa kapayapaan."
"There will be twelve stones with names corresponding to the names of Israel’s sons. They will be engraved like official seals, each with its name for the twelve tribes.","Magkakaroon ng labindalawang bato na may mga pangalan ayon sa mga pangalan ng anak ni Israel; magiging tulad ng mga pantatak, bawat isa'y may ukit na pangalan, na ukol sa labindalawang lipi.","at ang mga pangalan ng mga anak ni Israel ay ikanapampung bato, at ang mga pangalan ng mga anak ni Israel ay ikanapampung bato, at ang mga pangalan ng bawat bato ay ikanapampung lipi, at ang mga pangalan ng bawat bato ay ikanapampung lipi."
"Say to him, The LORD , the Hebrews’ God, has sent me to you with this message: Let my people go so that they can worship me in the desert. Up to now you still haven’t listened.","Sasabihin mo sa kanya, ‘Sinugo ako sa iyo ng Panginoon , ang Diyos ng mga Hebreo, na sinasabi, “Payagan mong umalis ang aking bayan, upang sila'y makasamba sa akin sa ilang.” Ngunit hanggang ngayon hindi mo pa tinutupad.’","Sinabi mo sa kanya, Ang Panginoon, ang Diyos ng mga Hebreo, ay nagsugo sa akin sa iyo, na nagsasabi, Palayahin mo ang aking bayan upang sila'y maglingkod sa akin sa ilang; at hanggang ngayon ay hindi mo pa rin narinig."
"If anyone takes away from the words of this scroll of prophecy, God will take away that person’s share in the tree of life and the holy city, which are described in this scroll.","At ang nauuhaw ay pumarito,","At kung ang sinuman ay mag-aalis sa mga salita ng aklat ng hula na ito, ang Diyos ay mag-aalis sa kaniya ng kanyang bahagi sa punungkahoy ng buhay at sa banal na lunsod na inilarawan sa aklat na ito."
They marched from Libnah and camped at Rissah.,Sila'y naglakbay mula sa Risa at nagkampo sa Ceelata.,Sila'y naglakbay mula sa Libna at nagkampo sa Risa.
The king ordered the guards waiting on him: “Go ahead and kill the LORD ’s priests because they’ve joined up with David too. They knew he was on the run but didn’t inform me.”,"At sinabi ng hari kay Doeg, “Harapin mo at iyong patayin ang mga pari.” Hinarap ni Doeg na Edomita at kanyang pinatay ang mga pari, at ang kanyang pinatay nang araw na iyon ay walumpu't limang lalaki na nagsusuot ng efod na lino.","Sinabi ng hari sa kanyang mga tagapagbantay, Lumabas kayo at patayin ninyo ang mga pari ng Panginoon, sapagkat sila'y sumama kay David, sapagkat sila'y nakakaalam na siya'y tumakas ngunit hindi nila sinabi sa akin."
"Happy are you when people hate you, reject you, insult you, and condemn your name as evil because of the Human One.","Mapapalad kayo kung kayo'y kapootan ng mga tao, kung kayo'y layuan at kayo'y alipustain, at itakuwil ang inyong pangalan na tila masama dahil sa Anak ng Tao.","Maligayang kayo kapag kayo'y hinayaan ng mga tao, at pinanindigan nila kayo, at pinapahiyahan nila kayo, at iniwan nila ang inyong pangalan bilang masama, dahil sa Anak ng Tao."
"Those who found him gathering wood brought him to Moses, Aaron, and the entire community.","Ang mga nakakita sa taong namumulot ng kahoy, ay dinala siya kina Moises at Aaron, at sa buong kapulungan.","Ang mga nakatagpo sa kanya na kumukuha ng mga kahoy ay nagdala sa kanya kay Moises, kay Aaron, at sa buong kapulungan."
"They told them just what Jesus said, and they left them alone.",At sinabi nila sa kanila ang sinabi ni Jesus at kanilang pinayagan sila.,"Sinabi nila sa kanila ang sinabi ni Jesus, at iniwan nila sila."
"to give me his own cave in Machpelah at the edge of his field. Let him give it to me for the full price, to be witnessed by you, as my own burial property.”","upang ibigay niya sa akin ang yungib ng Macpela, na kanyang pag-aari na nasa hangganan ng kanyang parang. Sa kabuuang halaga ay ibigay niya iyon sa akin sa harap ninyo bilang isang pag-aari na paglilibingan.”","Ibigay niya sa akin ang kanyang sariling libingan sa Makpela, sa gilid ng kanyang bukid. Ibigay niya ito sa akin sa buong halaga, upang kayo'y maging saksi, bilang lupa ng aking libingan."
"Lazarus longed to eat the crumbs that fell from the rich man’s table. Instead, dogs would come and lick his sores.",na naghahangad na makakain mula sa mga nahuhulog sa hapag ng mayaman. Maging ang mga aso ay lumalapit at hinihimuran ang kanyang mga sugat.,"At siya'y nagnanais na kumain ng mga bitin na bumaba mula sa lamesa ng mayamang tao, ngunit ang mga aso ay nangarating at nag-lick ng kanyang mga sugat."
"They placed these fat pieces on the animals’ breasts, and Aaron completely burned them on the altar.",Kanilang inilagay ang mga taba sa ibabaw ng mga dibdib at kanyang sinunog ang taba sa ibabaw ng dambana.,"Ang mga tambok ay inilagay nila sa suso ng mga hayop, at sinusunog ni Aaron sa ibabaw ng dambana."
"If the Lord hadn’t shortened that time, no one would be rescued. But for the sake of the chosen ones, the ones whom God chose, he has cut short the time.","At malibang paikliin ng Panginoon ang mga araw, walang taong makakaligtas, ngunit dahil sa mga hinirang na kanyang pinili, pinaikli niya ang mga araw na iyon.","Sapagka't kung ang mga araw na iyon ay hindi pinaikli ng Panginoon, walang isang tao ang maliligtas; ngunit dahil sa mga pinili, ang mga pinili ay pinaikli ng Panginoon ang mga araw na iyon."
Then slaughter the bull in the LORD ’s presence at the meeting tent’s entrance.,"Papatayin mo ang toro sa harapan ng Panginoon , sa pintuan ng toldang tipanan.",Pagkatapos ay papatayin mo ang baka sa harap ng Panginoon sa pintuan ng tabernakulo ng tipunan.
"I’m sure of this: I will stay alive and remain with all of you to help your progress and the joy of your faith,",upang sumagana ang inyong pagmamapuri kay Cristo Jesus sa akin sa pamamagitan ng aking muling pagharap sa inyo.,"Sapagka't alam ko na ako'y mananatili at mananatili sa inyong lahat, upang kayo'y lumalaki at ang kagalakan sa pananampalataya,"
"The king said to Ittai the Gittite, “Why are you coming with us too? Go back! Stay with King Absalom. You are a foreigner and an exile from your own country.","Nang magkagayo'y sinabi ng hari kay Itai na Geteo, “Bakit pati ikaw ay sumasama sa amin? Bumalik ka at manatili kang kasama ng hari; sapagkat ikaw ay dayuhan at ipinatapon mula sa iyong tahanan.","At sinabi ng hari kay Itai na taga-Gat, Bakit ka rin sumama sa amin? Lumalik ka at manatili sa hari na si Absalom, sapagkat ikaw ay isang dayuhan at isang alipin mula sa iyong sariling lupain."
"then it is a case of chronic skin disease on their skin. The priest will declare the person unclean. The priest will not quarantine such persons, because they are already unclean.",iyon ay matagal nang ketong sa balat ng kanyang laman. Siya'y ipahahayag ng pari na marumi; hindi siya ikukulong sapagkat siya'y marumi.,"at ito'y isang malalang sakit ng balat sa kanilang balat, at ang saserdote ay magsasabi na ang taong iyon ay hindi malinis; at hindi siya papatayin ng pari dahil sila'y hindi malinis."
"On the sixth day, when they measure out what they have collected, it will be twice as much as they collected on other days.”","Sa ikaanim na araw, kapag sila'y maghahanda ng kanilang dala, iyon ay doble ang dami ng kanilang pinupulot sa araw-araw.”","At sa ikaanim na araw, kung sila'y magsukat ng kanilang binili, ito'y magiging dalawang beses sa kanilang binili sa ibang araw."
"God didn’t send his Son into the world to judge the world, but that the world might be saved through him.","Sapagkat hindi sinugo ng Diyos ang Anak sa sanlibutan upang hatulan ang sanlibutan, kundi upang ang sanlibutan ay maligtas sa pamamagitan niya.","Ang Diyos ay hindi nagpadala ng kanyang Anak sa sanlibutan upang humahukom sa sanlibutan, kundi upang ang sanlibutan ay maliligtas sa pamamagitan niya."
"God so loved the world that he gave his only Son, so that everyone who believes in him won’t perish but will have eternal life.","Sapagkat gayon na lamang ang pag-ibig ng Diyos sa sanlibutan na ibinigay niya ang kanyang tanging Anak, upang ang sinumang sa kanya'y sumampalataya ay huwag mapahamak kundi magkaroon ng buhay na walang hanggan.","Ang Diyos ay nagmamahal sa sanlibutan na ibinigay niya ang kanyang bugtong Anak, upang ang sinumang sumasampalataya sa kanya ay hindi mawawala kundi magkaroon ng buhay na walang hanggan."
"Even now I know that whatever you ask God, God will give you.”","Subalit kahit ngayon ay nalalaman ko, na anumang hingin mo sa Diyos ay ibibigay sa iyo ng Diyos.”","Kahit ngayon, alam kong ang lahat ng iyong hinihiling sa Diyos ay ibinibigay sa iyo ng Diyos."
"“Excellent,” Achish replied. “I will make you my permanent bodyguard.”","Si Samuel noon ay patay na, at tumangis ang buong Israel at inilibing siya sa Rama, na kanyang sariling lunsod. At pinalayas ni Saul mula sa lupain ang mga sumasangguni sa mga espiritu at ang mga mangkukulam.","At sinabi ni Akis sa kanya, Magaling ka. Ako'y maglalagay sa iyo na maging tagapagbantay ng aking katawan nang walang hanggan."
"The grace of God has appeared, bringing salvation to all people.","Sapagkat nagpakita ang biyaya ng Diyos, na nagdadala ng kaligtasan sa lahat ng tao,",Sapagkat ang biyaya ng Diyos na nagbibigay kaligtasan sa lahat ng tao ay lumitaw.
"Mephibosheth, Saul’s grandson, also came down to meet the king. He hadn’t taken care of his feet, trimmed his beard, or washed his clothes from the day the king left until the day he returned safely.","At siya'y sumagot, “Panginoon ko, O hari, dinaya ako ng aking lingkod; sapagkat sinabi ng iyong lingkod, ‘Ako'y ipaghanda ng isang asno, upang aking masakyan at humayong kasama ng hari;’ sapagkat ang iyong lingkod ay pilay.","Si Mefiboset, ang apo ni Saul, ay bumaba upang matugunan ang hari. Siya'y hindi nag-aalaga ng kanyang mga paa, ni nag-aayos ng kanyang balat, ni naghuhugas ng kanyang mga damit mula sa araw na umalis ang hari hanggang sa araw na siya'y bumalik na ligtas."
"“As for whoever causes these little ones who believe in me to trip and fall into sin, it would be better for them to have a huge stone hung around their necks and be drowned in the bottom of the lake.","“Ngunit sinumang maglagay ng batong katitisuran sa isa sa maliliit na ito na sumasampalataya sa akin, ay mas mabuti pa sa kanya na bitinan ang kanyang leeg ng isang malaking batong gilingan, at siya'y malunod sa kalaliman ng dagat.","At kung sino ang magpapahamak sa mga bata na ito na sumasampalataya sa akin, ito'y magiging mabuti para sa kanya na ang isang bato na malaking bato ay ipapatong sa kanyang leeg at mabugkotan sa ilalim ng dayat."
"They gave a beqa per person (that is, half a shekel, measured by the sanctuary shekel) for everyone who was counted in the census, 20 years old and above, 603,550 men.","tig-isang beka bawat ulo, samakatuwid, kalahati ng isang siklo, ayon sa siklo ng santuwaryo, sa bawat isa na nasali sa mga nabilang, magmula sa dalawampung taong gulang pataas, sa anim na raan at tatlong libo at limang daan at limampung lalaki.","Sila'y nagbigay ng bakha para sa bawat tao, kalahati ng siclo ayon sa siclo ng santuaryo, para sa lahat ng naihap na lalaki, mula sa edad na dalawang pulong taong gulang hanggang sa itaas, na 603,550 lalaki."
"“How terrible for you! You built memorials to the prophets, whom your ancestors killed.","Kahabag-habag kayo! Sapagkat inyong itinatayo ang mga libingan ng mga propeta, gayong sila'y pinatay ng inyong mga ninuno.","Kahit kayo, na kayo'y nagtatayo ng mga alaga sa mga propeta, na pinatay ng inyong mga magulang!"
"People will come from east and west, north and south, and sit down to eat in God’s kingdom.","Sa katunayan, may mga huling magiging una at may mga unang magiging huli.”","At sila'y darating mula sa silangan at sa kanluran, mula sa hilagang at sa timog, at sila'y maglilingkod sa kaharian ng Diyos."
"Don’t let it escape your notice, dear friends, that with the Lord a single day is like a thousand years and a thousand years are like a single day.","Subalit huwag ninyong kaliligtaan ang katotohanang ito, mga minamahal, ang isang araw sa Panginoon ay tulad ng sanlibong taon, at ang sanlibong taon ay tulad ng isang araw.","Huwag ninyong kalimutan, mga mahal, na sa Panginoon ang isang araw ay gaya ng isang libong taon, at ang isang libong taon ay gaya ng isang araw."
"you must not treat us badly since we haven’t harmed you and since we have treated you well at all times. Then we will send you away peacefully, for you are now blessed by the LORD .”","Kaya siya'y nagpahanda ng maraming pagkain para sa kanila, at sila'y kumain at uminom.","Huwag kang gumawa ng masama sa amin, sapagka't kami'y walang masama sa iyo, at kami'y nagbigay ng mabuti sa iyo sa lahat ng panahon; at kami'y maglalabas ng kapayapaan sa iyo, sapagka't ikaw ay pinagpala ng Panginoon."
"A revelation of Jesus Christ, which God gave him to show his servants what must soon take place. Christ made it known by sending it through his angel to his servant John,","Ang apocalipsis ni Jesu-Cristo, na ibinigay ng Diyos sa kanya upang ipahayag sa kanyang mga alipin ang mga bagay na kinakailangang mangyari sa madaling panahon, at kanyang ipinaalam ito sa pamamagitan ng mga sagisag at pagsusugo ng kanyang anghel sa kanyang aliping si Juan,","Ang paghayag ni Jesu-Cristo, na ibinigay sa kanya ng Diyos upang ipakilala sa kanyang mga lingkod ang mga bagay na malapit nang mangyari, na ipinadala niya sa pamamagitan ng kanyang anghel at ipinahayag sa kanyang lingkod na si Juan,"
They urgently begged us for the privilege of sharing in this service for the saints.,na nakikiusap sa amin nang matindi tungkol sa biyaya na makibahagi sa paglilingkod sa mga banal.,At sila'y nanghihimok sa amin na sila'y magbahagi sa paglilingkod para sa mga banal.
"When Jesus finished speaking all these words, he said to his disciples,","Nang matapos ni Jesus ang lahat ng mga salitang ito ay sinabi niya sa kanyang mga alagad,","Nang matapos ni Jesus ang lahat ng mga salitang ito, sinabi niya sa kanyang mga alagad,"
I correct and discipline those whom I love. So be earnest and change your hearts and lives.,"Ipinapayo ko sa iyo na bumili ka sa akin ng gintong dinalisay ng apoy upang ikaw ay yumaman, at ng mapuputing damit upang iyong maisuot, at upang huwag mahayag ang iyong kahiyahiyang kahubaran, at ng pampahid na ilalagay sa iyong mga mata, upang ikaw ay makakita.",Ang lahat ng mga iniibig ko ay aking hinatasan at hinatasan; kaya't maging masigasig at magbabalik kayo.
"How can we thank God enough for you, given all the joy we have because of you before our God?","Sapagkat ano ngang pasasalamat ang aming maisasauli sa Diyos dahil sa inyo, dahil sa lahat ng kagalakan na aming nadarama dahil sa inyo sa harapan ng aming Diyos?",Sapagka't paano namin maaaring magpasalamat sa Diyos dahil sa inyo dahil sa lahat ng kagalakan na nararamdaman namin dahil sa inyo sa harapan ng aming Diyos?
"They continued, “We’ve come to the land as immigrants because the famine is so severe in the land of Canaan that there are no more pastures for your servants’ flocks. Please allow your servants to settle in the land of Goshen.”","Pagkatapos ay sinabi ng Faraon kay Jose, “Ang iyong ama at ang iyong mga kapatid ay pumarito sa iyo.","At sinabi nila sa kanya, Kami'y dumalo sa lupain, sapagkat ang gutom ay napakalakas sa lupain ng Canaan, na walang pastol para sa mga kawan ng iyong mga lingkod. Ibigay mo sa amin ang iyong mga lingkod upang manirahan sa lupain ng Gosen."
Any open jar without a sealed cover on it is unclean.,Bawat sisidlang bukas na walang takip na nakatali roon ay marumi sa loob.,At ang lahat ng usok na bukas na walang tabon ay hindi malinis.
"If someone, whether male or female, is a medium with the dead or a diviner, they must be executed. They will be stoned; their blood is on their own head.","“Ang isang lalaki o ang isang babae na sumasangguni sa masasamang espiritu, o mangkukulam, ay tiyak na papatayin. Sila'y babatuhin hanggang mamatay, ang kanilang dugo ay pasan nila.”","Kung ang isang lalaki o babae ay isang salamangkero o isang salamangkero, sila'y papatayin; sila'y papatayin ng mga bato; ang kanilang dugo ay nasa kanilang ulo."
"Every scripture is inspired by God and is useful for teaching, for showing mistakes, for correcting, and for training character,","Ang lahat ng mga kasulatan ay kinasihan ng Diyos at mapapakinabangan sa pagtuturo, sa pagsaway, pagtutuwid, at sa pagsasanay sa katuwiran,","Ang bawat Kasulatan ay inspirasyon ng Diyos, at kapaki-pakinabang para sa pagtuturo, pagpapahintulot, pagpapahintulot, at pagpapahintulot,"
The opening of the robe in the middle of it was reinforced with a strong border so that it didn’t tear.,"at ang butas ng balabal ay gaya ng sa kasuotan, na may tahi sa palibot ng pinakaleeg upang huwag mapunit.","Sa gitna ng tunog ay pinatigasan sa pamamagitan ng isang malakas na bandang, upang hindi ito magsisira."
"But what does it say? “ The word is near you, in your mouth and in your heart ” (that is, the message of faith that we preach).","Ngunit ano ang sinasabi nito? “Ang salita ay malapit sa iyo, nasa iyong bibig, at sa iyong puso.” Ito ay ang salita ng pananampalataya na aming ipinangangaral.","Ngunit ano ang sinasabi nito? Ang salita ay malapit sa iyo, sa iyong bibig at sa iyong puso  na iyon ay ang salita ng pananampalataya na aming ipinangangaral."
