ceb	en
kita nahigugma tungod kay siya una mang nahigugma kanato.	we love because he first loved us.
ug gikan kaniya nabatonan nato kining maong sugo, nga ang nahigugma sa Dios kinahanglan nga mahigugma usab sa iyang igsoon.	and he has given us this command: anyone who loves God must also love their brother and sister.
kinsa ba ang magbuntog sa kalibotan kondili siya lamang nga nagtuo nga si Jesus mao ang anak sa Dios?	who is it that overcomes the world? only the one who believes that Jesus is the son of God.
ang espiritu mao ang nagpamatuod niini, kay ang espiritu mao ang kamatuoran.	for there are three that testify:
kay tulo man ang nagpamatuod niini, ang espiritu, ang tubig ug ang dugo, ug kini silang tulo nagkauyon.	the spirit, the water and the blood; and the three are in agreement.
ug ang pagpamatuod mao kini, nga ang Dios naghatag kanato sa kinabuhing dayon, ug kining kinabuhia anaa sa iyang anak.	and this is the testimony: God has given us eternal life, and this life is in his son.
ang nakabaton sa anak may kinabuhi, apan ang wala makabaton sa anak sa Dios walay kinabuhi.	whoever has the son has life; whoever does not have the son of God does not have life.
ang tanang pagkadili matarong sala, apan adunay sala nga dili makamatay.	all wrongdoing is sin, and there is sin that does not lead to death.
kita nasayod nga kita iya sa Dios ug ang tibuok kalibotan anaa sa daotan.	we know that we are children of God, and that the whole world is under the control of the evil one.
mga anak, likayi ninyo ang mga diosdios.	dear children, keep yourselves from idols.
ingon nga sangpotanan sa inyong pagsalig, kamo nakabaton sa kaluwasan sa inyong mga kalag.	for you are receiving the end result of your faith, the salvation of your souls.
apan ingon nga siya nga nagtawag kaninyo balaan, kinahanglang kamo usab magbalaan sa tanan ninyong paggawi,	but just as he who called you is holy, so be holy in all you do;
kay nasulat man, “kinahanglan nga kamo magbalaan, kay ako balaan man.”	for it is written: “be holy, because i am holy.”
kondili pinaagi sa bililhong dugo ni Cristo, sama sa dugo sa nating karnero nga walay buling o mansa.	but with the precious blood of Christ, a lamb without blemish or defect.
apan ang pulong sa Ginoo magpadayon hangtod sa kahangtoran.” kining pulonga mao ang maayong balita nga gisangyaw diha kaninyo.	but the word of the Lord endures forever.” and this is the word that was preached to you.
kay natilawan man ninyo ang kaayo sa Ginoo.	now that you have tasted that the Lord is good.
duol kamo kaniya, ang buhi nga bato, nga sinalikway sa mga tawo apan pinili sa Dios ug bililhon.	as you come to him, the living stonerejected by humans but chosen by God and precious to him—
tungod ug alang sa Ginoo, magpailalom unta kamo sa tanang tawhanong pagbuot, sa hari ingon nga maoy labaw sa tanan,	submit yourselves for the lords sake to every human authority: whether to the emperor, as the supreme authority,
tahora ninyo ang tanang tawo. higugmaa ninyo ang kaigsoonan. kahadloki ninyo ang Dios. tahora ninyo ang hari.	show proper respect to everyone, love the family of believers, fear God, honor the emperor.
siya walay sala nga nahimo, walay nakitang limbong diha sa iyang baba.	“he committed no sin, and no deceit was found in his mouth.”
sa diha nga makita nila ang inyong matinahoron ug putli nga gawi.	when they see the purity and reverence of your lives.
pabiyai niya ang daotan ug ipabuhat kaniya ang maayo, ipapangita kaniya ang kalinaw ug ipakabot kini.	they must turn from evil and do good; they must seek peace and pursue it.
kinsa may makahimo ug kadaot kaninyo kon magmainiton kamo sa pagbuhat sa maayo?	who is going to harm you if you are eager to do good?
ug niini siya miadto ug nagwali ngadto sa mga espiritu nga gibilanggo,	after being made alive, he went and made proclamation to the imprisoned spirits—
apan kini sila maghatag ra unya ug husay ngadto kaniya nga andam sa paghukom sa mga buhi ug sa mga patay.	but they will have to give account to him who is ready to judge the living and the dead.
labaw sa tanan, pagmainiton kamo kanunay sa inyong gugma sa usa ug usa, kay ang gugma magtabon man sa daghang mga sala.	above all, love each other deeply, because love covers over a multitude of sins.
batasana ninyo ang pagabiabi sa usa ug usa sa walay pagbagulbol.	offer hospitality to one another without grumbling.
dili sa pagharihari kanila nga gipiyal kaninyo kondili ingon nga mga panagingnan sa panon.	not lording it over those entrusted to you, but being examples to the flock.
ug inigpadayag unya sa pangulong magbalantay, kamo makadawat unya sa mahimayaong purongpurong nga dili malawos.	and when the chief shepherd appears, you will receive the crown of glory that will never fade away.
busa pagpaubos kamo ilalom sa gamhanang kamot sa Dios, aron kamo iyang ituboy unya sa gitakda nga panahon.	humble yourselves, therefore, under gods mighty hand, that he may lift you up in due time.
itugyan ngadto kaniya ang inyong tanang kabalaka, kay siya nagatiman man kaninyo.	cast all your anxiety on him because he cares for you.
iya ang paggahom hangtod sa kahangtoran. Amen.	to him be the power for ever and ever. Amen.
pagpangumostahay kamo sa usa ug usa pinaagi sa halok sa gugma. ang kalinaw maanaa kaninyong tanan nga anaa kang Cristo.	greet one another with a kiss of love. peace to all of you who are in Christ.
ang iyang kailog naghagit ug nagbiaybiay kaniya aron siya masuko tungod kay ang Ginoo nagtakop sa iyang taguangkan.	because the Lord had closed hannahs womb, her rival kept provoking her in order to irritate her.
samtang nagpadayon siya sa pagampo atubangan sa Ginoo, gipanidan ni Eli ang iyang baba.	as she kept on praying to the Lord ,, Eli observed her mouth.
busa si Eli miingon kaniya, “hangtod kanusa ba ikaw mahubog? isalikway ang bino gikan kanimo.”	and said to her, “how long are you going to stay drunk? put away your wine.”
unya ilang giihaw ang torong baka ug ilang gidala ang bata ngadto kang Eli.	when the bull had been sacrificed, they brought the boy to Eli,
alang niining bataa ako nagampo ug ang Ginoo mihatag kanako sa akong gihangyo kaniya.	i prayed for this child, and the Lord has granted me what i asked of him.
“walay laing balaan sama sa Ginoo, walay lain gawas kanimo; walay laing bato sama sa atong Dios.	“there is no one holy like the Lord ;; there is no one besides you; there is no rock like our God.
ang mga pana sa mga kusgan nangabali, apan ang mga huyang naligon.	“the bows of the warriors are broken, but those who stumbled are armed with strength.
ang Ginoo maghimo sa tawo nga kabos ug dato; siya ang mopaubos sa tawo, siya usab ang motuboy.	the Lord sends poverty and wealth; he humbles and he exalts.
ang mga anak nga lalaki ni Eli mga tawong walay kapuslanan, sila walay pagtahod sa Ginoo.	elis sons were scoundrels; they had no regard for the Lord ..
mga anak ko, dili maayo ang balita nga akong nadungog nga mikaylap diha sa katawhan sa Ginoo.	no, my sons; the report i hear spreading among the Lord ’s people is not good.
karon ang bata nga si Samuel nagpadayon sa pagtubo sa gidakon ug diha sa kahimuot sa Ginoo ug sa mga tawo.	and the boy Samuel continued to grow in stature and in favor with the Lord and with people.
unya ang Ginoo mitawag, “Samuel! Samuel!” ug siya mitubag, “ania ako.”	then the Lord called Samuel. Samuel answered, “here i am.”
apan si Eli mitawag kang Samuel ug miingon, “Samuel, anak ko.” ug siya miingon, “ania ako.”	but Eli called him and said, “Samuel, my son.” Samuel answered, “here i am.”
ug ang sudlanan sa kasabotan sa Dios nailog ug ang duha ka anak ni Eli nga si hopni ug si pinehas gipamatay.	the ark of God was captured, and elis two sons, hophni and phinehas, died.
si Eli 98 na ka tuig ang panuigon ug ang iyang mga mata halap na, mao nga dili na siya makakita.	who was ninetyeight years old and whose eyes had failed so that he could not see.
siya miingon, “ang himaya nawala gikan sa Israel tungod kay ang sudlanan sa kasabotan sa Dios nailog.”	she said, “the glory has departed from Israel, for the ark of God has been captured.”
ang mga tawo nga wala mamatay gikastigo pinaagi ug mga hubag, ug ang pagpakitabang sa siyudad miabot ngadto sa langit ..	those who did not die were afflicted with tumors, and the outcry of the city went up to heaven.
ang sudlanan sa kasabotan sa Ginoo didto sa yuta sa mga filistihanon sulod sa pito ka bulan.	when the ark of the Lord had been in philistine territory seven months,
sa diha nga ang lima ka pangulo sa mga filistihanon nakakita niini, namauli sila sa Ekron niadtong adlawa.	the five rulers of the Philistines saw all this and then returned that same day to Ekron.
busa ang Israel misalikway sa mga baal ug sa astarot, ug nagalagad sa Ginoo lamang.	so the Israelites put away their baals and ashtoreths, and served the Lord only.
unya si Samuel miingon, “tigoma ang tibuok Israel didto sa mispa, ug ako magampo sa Ginoo alang kaninyo.”	then Samuel said, “assemble all Israel at Mizpah, and i will intercede with the Lord for you.”
ug si Samuel nahimong maghuhukom sa Israel sa tanang mga adlaw sa iyang kinabuhi.	Samuel continued as israels leader all the days of his life.
ug siya magadtoan matag tuig sa betel, sa Gilgal ug sa mispa, ug siya naghukom sa Israel niining mga dapita.	from year to year he went on a circuit from bethel to Gilgal to Mizpah, judging Israel in all those places.
unya sa diha nga si Samuel tigulang na, gihimo niya ang iyang mga anak nga lalaki nga mga maghuhukom sa Israel.	when Samuel grew old, he appointed his sons as israels leaders.
ang ngalan sa iyang kamagulangan mao si Joel ug si abiha ang ngalan sa ikaduha. sila mao ang mga maghuhukom sa beerseba.	the name of his firstborn was Joel and the name of his second was abijah, and they served at Beersheba.
unya ang tanang kadagkoan sa Israel nagtigom ug nangadto kang Samuel didto sa rama,	so all the elders of Israel gathered together and came to Samuel at Ramah.
busa si Samuel misugilon sa tanang gisulti sa Ginoo ngadto sa katawhan nga nangayo kaniya ug usa ka hari.	Samuel told all the words of the Lord to the people who were asking him for a king.
siya maghimo sa inyong mga anak nga babaye nga tigbuhat ug pahumot ug tigluto ug tighimo ug pan.	he will take your daughters to be perfumers and cooks and bakers.
siya magkuha ug ikapulo nga bahin sa inyong mga panon sa karnero; ug kamo mahimo niyang mga ulipon.	he will take a tenth of your flocks, and you yourselves will become his slaves.
apan ang katawhan nagdumili sa pagpamati sa tingog ni Samuel ug sila miingon, “dili! kinahanglan nga adunay hari ibabaw kanamo,	but the people refused to listen to Samuel. “no!” they said. “we want a king over us.
human mabati ni Samuel ang mga pulong sa katawhan, iya kining gisugilon pagusab sa mga igdulungog sa Ginoo.	when Samuel heard all that the people said, he repeated it before the Lord ..
sa adlaw nga wala pa moabot si Saul, ang Ginoo mipadayag ngadto kang Samuel,	now the day before Saul came, the Lord had revealed this to Samuel:
sila moyukbo kanimo ug mohatag kanimo ug duha ka buok pan nga imong dawaton gikan sa ilang kamot.	they will greet you and offer you two loaves of bread, which you will accept from them.
sa pagkahuman niya ug propesiya, miadto siya sa habog nga dapit.	after Saul stopped prophesying, he went to the high place.
ug ang uyoan ni Saul miingon, “suginli ako unsay gisulti ni Samuel kanimo.”	sauls uncle said, “tell me what Samuel said to you.”
unya gipatawag ni Samuel ang katawhan ngadto sa Ginoo didto sa mispa.	Samuel summoned the people of Israel to the Lord at Mizpah
unya gipaduol ni Samuel ang tanang banay sa Israel, ug ang banay ni Benjamin ang napili pinaagi sa ripa.	when Samuel had all Israel come forward by tribes, the tribe of Benjamin was taken by lot.
unya sa dihang giihap niya sila didto sa besek, 300000 ang mga tawo sa Israel ug 30000 ang mga tawo sa Juda.	when Saul mustered them at bezek, the men of Israel numbered three hundred thousand and those of Judah thirty thousand.
apan si Saul miingon, “walay usa ka tawo nga patyon niining adlawa kay karong adlawa ang Ginoo naghimo ug kaluwasan sa Israel.”	but Saul said, “no one will be put to death today, for this day the Lord has rescued Israel.”
unya si Samuel miingon sa katawhan, “dali kamo, ug mangadto kita sa Gilgal ug didto bagohon nato ang gingharian.”	then Samuel said to the people, “come, let us go to Gilgal and there renew the kingship.”
sila miingon, “wala ikaw maglimbong kanamo o magdaogdaog o magdawat ug bisan unsa gikan sa kamot ni bisan kinsang tawo.”	“you have not cheated or oppressed us,” they replied. “you have not taken anything from anyones hand.”
busa karon tindog kamo sa walay lihok ug tanawa kining dakong butang nga buhaton sa Ginoo sa atubangan sa inyong mga mata.	“now then, stand still and see this great thing the Lord is about to do before your eyes!
apan kon magpadayon kamo sa pagbuhat ug daotan, mangamatay kamo ug ang inyong hari.”	yet if you persist in doing evil, both you and your king will perish.”
ug ang panon sa mga sundalo nga nagbantay sa kuta sa mga filistihanon miadto sa agianan sa mikmas.	now a detachment of Philistines had gone out to the pass at mikmash.
ang usa ka pangpang mituybo dapit sa amihanan atbang sa mikmas ug ang usa sa habagatan atbang sa geba.	one cliff stood to the north toward mikmash, the other to the south toward geba.
busa ang Ginoo nagluwas sa Israel niadtong adlawa ug ang gubat misaylo sa betaben.	so on that day the Lord saved Israel, and the battle moved on beyond beth aven.
ang tibuok katawhan miadto sa lasang ug may dugos didto sa yuta.	the entire army entered the woods, and there was honey on the ground.
ug si Saul naghimo ug usa ka halaran sa Ginoo ug mao kadto ang unang halaran nga iyang gitukod alang sa Ginoo.	then Saul built an altar to the Lord ;; it was the first time he had done this.
busa si Saul miingon, “himoa ang ripa tali kanako ug sa akong anak nga si jonatan.” ug si jonatan ang natumngan.	Saul said, “cast the lot between me and Jonathan my son.” and Jonathan was taken.
ug si Saul miingon, “ang Dios maghimo niana kanako ug labaw pa, ikaw mamatay gayod, jonatan.”	Saul said, “may God deal with me, be it ever so severely, if you do not die, Jonathan.”
busa si Saul mihunong sa paggukod sa mga filistihanon, ug ang mga filistihanon nangadto sa ilang kaugalingong dapit.	then Saul stopped pursuing the Philistines, and they withdrew to their own land.
si kis mao ang amahan ni Saul, ug si ner nga amahan ni abner ang anak ni abiel.	sauls father kish and abners father ner were sons of abiel.
ug si Saul miadto sa siyudad ni amalek ug nagatang didto sa walog.	Saul went to the city of amalek and set an ambush in the ravine.
nabuntog ni Saul ang mga amalekanhon, gikan sa havila hangtod sa sur nga silangan sa Ehipto.	then Saul attacked the Amalekites all the way from havilah to shur, near the eastern border of Egypt.
unya ang pulong sa Ginoo midangat kang Samuel,	then the word of the Lord came to Samuel:
sa dihang molakaw na unta si Samuel, gikuptan ni Saul ang sidsid sa iyang bisti ug nagisi kini.	as Samuel turned to leave, Saul caught hold of the hem of his robe, and it tore.
busa si Samuel mibalik uban kang Saul, ug si Saul misimba sa Ginoo.	so Samuel went back with Saul, and Saul worshiped the Lord ..
unya si Samuel miadto sa rama ug si Saul mitungas ngadto sa iyang balay didto sa gibea ni Saul.	then Samuel left for Ramah, but Saul went up to his home in gibeah of Saul.
unya gipaagi ni jesse si samma. ug siya miingon, “wala usab magpili niini ang Ginoo. ””	jesse then had shammah pass by, but Samuel said, “nor has the Lord chosen this one.”
unya ang espiritu sa Ginoo mibulag gikan kang Saul ug usa ka daotan nga espiritu gikan sa Ginoo nagsakit kaniya.	now the spirit of the Lord had departed from Saul, and an evil spirit from the Lord tormented him.
ug ang mga sulugoon ni Saul miingon kaniya, “tanawa karon, usa ka daotang espiritu gikan sa Dios nagsakit kanimo.	sauls attendants said to him, “see, an evil spirit from God is tormenting you.
siya may salipod nga bronsi sa iyang mga bitiis ug usa ka bangkaw nga bronsi nga gikabiba taliwala sa iyang mga abaga.	on his legs he wore bronze greaves, and a bronze javelin was slung on his back.
sa diha nga si Saul ug ang tibuok nga Israel nakadungog sa mga pulong sa filistihanon, nangaluya sila ug nangahadlok pagayo.	on hearing the Philistines words, Saul and all the Israelites were dismayed and terrified.
si David mao ang kamanghoran ug ang tulo ka magulang misunod kang Saul,	David was the youngest. the three oldest followed Saul,
apan si David nagngadtonganhi kang Saul aron sa pagpakaon sa mga karnero sa iyang amahan didto sa betlehem.	but David went back and forth from Saul to tend his fathers sheep at Bethlehem.
sulod sa 40 ka adlaw ang filistihanon nagpaduol ug nagpakita sa iyang kaugalingon, buntag ug hapon,	for forty days the philistine came forward every morning and evening and took his stand.
ang Israel ug ang mga filistihanon naghanay alang sa gubat, kasundalohan batok kasundalohan.	Israel and the Philistines were drawing up their lines facing each other.
ang tanang katawhan sa Israel, sa diha nga nakakita sila sa tawo, nanagan gikan kaniya ug nangahadlok sa hilabihan gayod.	whenever the Israelites saw the man, they all fled from him in great fear.
ug ang katawhan mitubag kaniya sa samang paagi, “kini buhaton ngadto sa tawo nga makapatay kaniya.”	they repeated to him what they had been saying and told him, “this is what will be done for the man who kills him.”
ug si David miingon, “unsa may akong nabuhat karon? dili ba sulti lamang kini?”	“now what have i done?” said David. “cant i even speak?”
sa diha nga nadungog ang mga pulong nga gipamulong ni David, ilang gisubli kini sa atubangan ni Saul ug iyang gipakuha siya.	what David said was overheard and reported to Saul, and Saul sent for him.
ang filistihanon miabot ug mipaduol kang David, uban ang tawo nga nagdala sa taming nga naguna kaniya.	meanwhile, the philistine, with his shield bearer in front of him, kept coming closer to David.
ug ang hari miingon, “pagpakisayod kang kinsang anak ang batanon.”	the king said, “find out whose son this young man is.”
gikuha siya ni Saul niadtong adlawa ug wala na motugot nga mopauli pa siya sa balay sa iyang amahan.	from that day Saul kept David with him and did not let him return home to his family.
unya si jonatan naghimo ug usa ka kasabotan uban kang David tungod kay gihigugma niya siya sama sa iyang kaugalingong kalag.	and Jonathan made a covenant with David because he loved him as himself.
sukad niadtong adlawa gipanidan ni Saul si David.	and from that time on Saul kept a close eye on David.
si Saul nahadlok kang David tungod kay ang Ginoo naguban kaniya ug mibiya gikan kang Saul.	Saul was afraid of David, because the Lord was with David but had departed from Saul.
si David nagmalamposon sa tanan niyang gibuhat kay ang Ginoo naguban man kaniya.	in everything he did he had great success, because the Lord was with him.
unya sa dihang nakita ni Saul nga nagmalamposon si David, siya mitindog nga may kahadlok kaniya.	when Saul saw how successful he was, he was afraid of him.
apan ang tibuok nga Israel ug Juda nahigugma kang David kay siya migula ug mibalik sa ilang atubangan.	but all Israel and Judah loved David, because he led them in their campaigns.
si mical nga anak nga babaye ni Saul nahigugma kang David, ug ilang gisuginlan si Saul ug ang maong butang nakalipay kaniya.	now sauls daughter michal was in love with David, and when they told Saul about it, he was pleased.
ug ang mga sulugoon ni Saul misugilon kaniya, “niining paagiha nagsulti si David.”	when sauls servants told him what David had said,
apan sa dihang nakita ug nahibaloan ni Saul nga ang Ginoo naguban kang David ug si mical nga anak ni Saul nahigugma kaniya,	when Saul realized that the Lord was with David and that his daughter michal loved David,
si Saul misamot pagkahadlok kang David. busa si Saul nagpabilin nga kaaway ni David sa kanunay.	Saul became still more afraid of him, and he remained his enemy the rest of his days.
si Saul namati sa tingog ni jonatan ug si Saul nanumpa, “ingon nga ang Ginoo buhi, siya dili patyon.”	Saul listened to Jonathan and took this oath: “as surely as the Lord lives, David will not be put to death.”
busa gitunton ni mical si David sa bintana ug siya mipalayo ug miikyas.	so michal let David down through a window, and he fled and escaped.
ug sa diha nga si Saul nagpadala ug mga sinugo aron sa pagkuha kang David, si michal miingon, “siya nasakit.”	when Saul sent the men to capture David, michal said, “he is ill.”
ug sa pagsulod sa mga sinugo, nakita nila ang larawan diha sa higdaanan uban ang unlan nga balhibo sa kanding dapit sa ulo.	but when the men entered, there was the idol in the bed, and at the head was some goats’ hair.
ug kini gisugilon kang Saul, “tanawa, si David atua sa naiot sa rama.”	word came to Saul: “David is in naioth at Ramah”;
unya si jonatan miingon kang David, “bisan unsay imong isulti, buhaton ko kini alang kanimo.”	Jonathan said to David, “whatever you want me to do, ill do for you.”
unya si David miingon kang jonatan, “kinsay mosugilon kanako kon singkahan ikaw sa imong amahan sa pagtubag?”	David asked, “who will tell me if your father answers you harshly?”
ug si jonatan miingon kang David, “dali, mangadto kita sa kapatagan.” busa silang duha nangadto sa kapatagan.	“come,” Jonathan said, “lets go out into the field.” so they went there together.
unya kon ako buhi pa, ipakita kanako ang matinudanong gugma sa Ginoo aron ako dili mamatay.	but show me unfailing kindness like the Lord ’s kindness as long as i live, so that i may not be killed,
busa si jonatan naghimo ug kasabotan uban sa balay ni David, “ang Ginoo manimalos unta sa mga kaway ni David.”	so Jonathan made a covenant with the house of David, saying, “may the Lord call davids enemies to account.”
ug ipana nako ang tulo ka udyong sa daplin niini, sama nga nagpana ako ug usa ka igonon.	i will shoot three arrows to the side of it, as though i were shooting at a target.
ug mahitungod sa mga butang nga gisabotan nimo ug nako, ang Ginoo anaa sa taliwala kanimo ug kanako hangtod sa kahangtoran.”	and about the matter you and i discussedremember, the Lord is witness between you and me forever.”
busa si David mitago didto sa kapatagan ug sa diha nga miabot na ang bagong subang sa bulan, ang hari milingkod aron mokaon.	so David hid in the field, and when the new moon feast came, the king sat down to eat.
ug mitubag si jonatan kang Saul, “si David mihangyo pagayo kanako nga moadto siya sa betlehem.	Jonathan answered, “David earnestly asked me for permission to go to Bethlehem.
unya si jonatan mitubag kang Saul nga iyang amahan, “nganong patyon man siya? unsay iyang nabuhat?”	“why should he be put to death? what has he done?” Jonathan asked his father.
apan ang bata walay nasayran, si jonatan lamang ug si David ang nasayod sa maong butang.	(the boy knew nothing about all this; only Jonathan and David knew.)
ug gihatag ni jonatan ang iyang mga hinagiban ngadto sa bata niya, ug miingon kaniya, “lakaw ug dada kini ngadto sa siyudad.”	then Jonathan gave his weapons to the boy and said, “go, carry them back to town.”
busa karon unsay anaa sa imong kamot? hatagi ako ug lima ka buok pan o bisan unsa nga anaa.”	now then, what do you have on hand? give me five loaves of bread, or whatever you can find.”
unya si David mitindog ug mipalayo niadtong adlawa gikan kang Saul, ug miadto kang akis nga hari sa gat.	that day David fled from Saul and went to achish king of Gath.
ug gitipigan ni David kining mga pulonga sa iyang kasingkasing, ug nahadlok siya pagayo kang akis nga hari sa gat.	David took these words to heart and was very much afraid of achish king of Gath.
ug si Saul miingon, “pamati karon, anak ni ahitub.” ug siya mitubag, “ania ako, akong agalon.”	Saul said, “listen now, son of ahitub.” “yes, my Lord,” he answered.
ang hari miingon, “ikaw mamatay gayod, ahimelek, ikaw ug ang tibuok panimalay sa imong amahan.”	but the king said, “you will surely die, ahimelek, you and your whole family.”
apan usa sa mga anak ni ahimelek nga anak ni ahitub, nga ginganlan ug abiatar, nakaikyas ug mikagiw sunod kang David.	but one son of ahimelek son of ahitub, named abiathar, escaped and fled to join David.
ug gisuginlan ni abiatar si David nga gipamatay ni Saul ang mga pari sa Ginoo.	he told David that Saul had killed the priests of the Lord ..
nakita ni David nga si Saul migula aron sa pagpatay kaniya. si David didto sa kamingawan sa zif sa hores.	while David was at horesh in the desert of ziph, he learned that Saul had come out to take his life.
ug si jonatan nga anak ni Saul mitindog ug miadto kang David sa hores ug nagpaligon sa iyang kamot diha sa Dios.	and sauls son Jonathan went to David at horesh and helped him find strength in God.
unya silang duha naghimo ug kasabotan sa atubangan sa Ginoo, ug si David nagpabilin sa hores ug si jonatan mipauli.	the two of them made a covenant before the Lord .. then Jonathan went home, but David remained at horesh.
ug si Saul miingon, “panalanginan unta kamo sa Ginoo kay kamo naluoy kanako.	Saul replied, “the Lord bless you for your concern for me.
ug si David mibiya gikan didto ug mipayo sa mga kuta sa engedi.	and David went up from there and lived in the strongholds of en gedi.
ug human kini mahitabo, ang kasingkasing ni David daw misakit kaniya tungod kay iyang gitabasan ang sidsid sa bisti ni Saul.	afterward, David was consciencestricken for having cut off a corner of his robe.
kinsa bay hinungdan sa paggula sa hari sa Israel? kinsa ba ang imong gigukod? usa ka iro nga patay! usa ka pulgas!	“against whom has the king of Israel come out? who are you pursuing? a dead dog? a flea?
ug karon ako nahibalo nga ikaw sa walay duhaduha mahimong hari ug nga ang gingharian sa Israel maligon diha sa imong kamot.	i know that you will surely be king and that the kingdom of Israel will be established in your hands.
si David nakadungog didto sa kamingawan nga si nabal nagtupi sa iyang mga karnero.	while David was in the wilderness, he heard that nabal was shearing sheep.
busa ang mga batanong lalaki ni David mitalikod ug mibalik ug misugilon kaniya sa tanan.	davids men turned around and went back. when they arrived, they reported every word.
sila mao ang bungbong namo sa adlaw ug sa gabii, sa tanang higayon nga kami diha uban kanila nga nagbantay sa mga karnero.	night and day they were a wall around us the whole time we were herding our sheep near them.
ug human molabay ang napulo ka adlaw, si nabal gihampak sa Ginoo ug siya namatay.	about ten days later, the Lord struck nabal and he died.
si David nangasawa usab kang ahinoam sa jesreel, ug silang duha nahimo niyang mga asawa.	David had also married ahinoam of Jezreel, and they both were his wives.
si David nagpadala ug mga tigpaniid ug nakahibalo nga si Saul tinuod gayod nga miabot.	he sent out scouts and learned that Saul had definitely arrived.
ug si David mitubag, “ania ang bangkaw, o hari! paanhia dinhi ang usa sa mga batanong lalaki ug ipakuha kini.	“here is the kings spear,” David answered. “let one of your young men come over and get it.
ug sa diha nga gisugilon kang Saul nga si David mikagiw ngadto sa gat, siya wala na mangita kaniya pagusab.	when Saul was told that David had fled to Gath, he no longer searched for him.
ang gidaghanon sa mga adlaw nga si David nagpuyo didto sa yuta sa mga filistihanon, usa ka tuig ug upat ka bulan.	David lived in philistine territory a year and four months.
unya miingon ang babaye, “kinsay akong patunghaon alang kanimo?” ug siya miingon, “patunghaa kanako si Samuel.”	then the woman asked, “whom shall i bring up for you?” “bring up Samuel,” he said.
ug si Samuel miingon, “unya nganong mangutana pa man ikaw kanako, nga ang Ginoo mibiya na man kanimo ug nahimo nga imong kaaway?	Samuel said, “why do you consult me, now that the Lord has departed from you and become your enemy?
busa karon pauli ug lakaw nga malinawon aron dili masuko kanimo ang mga pangulo sa mga filistihanon.”	now turn back and go in peace; do nothing to displease the philistine rulers.”
ang duha ka asawa ni David gibihag usab, si ahinoam nga tagajesreel ug si abigail nga asawa ni nabal nga tagacarmel.	davids two wives had been capturedahinoam of Jezreel and abigail, the widow of nabal of Carmel.
