war	tl
Kundi aada ha kasisidman an bisan hin-o nga nagdudumot han iya bugto; naglalakat hiya ha kasisidman ngan diri maaram kon tikain hiya, kay ginbuta man hiya han kasisidman.	Ngunit ang napopoot sa kanyang kapatid ay nasa kadiliman. Siya ay lumalakad sa kadiliman at hindi niya nalalaman kung saan siya pupunta, sapagkat ang kanyang mga mata ay binulag ng kadiliman.
Nagsusurat ako ha iyo, mga anak ko, kay ginpasaylo na an iyo mga sala tungod han ngaran ni Cristo.	Mga munting anak, kayo'y sinusulatan ko sapagkat ipinatawad sa inyo ang inyong mga kasalanan dahil sa kanyang pangalan.
Nagsusurat man ako ha iyo, mga amay, kay nakilala kamo ha iya nga nakada na nga daan tikang pa han tinikangan. Nagsusurat liwat ako ha iyo, mga batan-on, kay gindaog niyo an Yawa.	Mga ama, kayo'y sinusulatan ko, sapagkat inyong nakilala siyang nagbuhat pa nang pasimula. Mga kabataang lalaki, kayo'y sinusulatan ko sapagkat inyong dinaig ang masama.
Nagsusurat ako ha iyo, mga anak, kay nakilala kamo han Amay. Nagsusurat ako ha iyo, mga amay, kay nakilala kamo ha iya nga nakada na nga daan tikang pa han tinikangan. Nagsusurat ako ha iyo, mga batan-on, kay kusgan kamo; aada ha iyo an pulong han Dyos ngan gindaog niyo an Yawa.	Mga anak, kayo'y sinusulatan ko sapagkat inyong nakilala ang Ama. Mga ama, kayo'y sinusulatan ko sapagkat inyong nakilala siyang nagbuhat pa nang pasimula. Mga kabataan, kayo'y sinusulatan ko sapagkat kayo'y malalakas, at ang salita ng Diyos ay nananatili sa inyo, at inyong dinaig ang masama.
Ayaw niyo higugmaa an kalibutan o bisan ano nga kanan kalibutan. Kon mahigugma kamo han kalibutan, diri kamo mahigugma han Amay.	Huwag ninyong ibigin ang sanlibutan, ni ang mga bagay na nasa sanlibutan. Ang pag-ibig ng Ama ay wala sa sinumang umiibig sa sanlibutan.
An ngatanan nga kanan kalibutan—an inuungara han makasasala nga kalugaringon, an kinikita ngan kinaruruyag han mga tawo, ngan an ngatanan dinhe ha kalibutan nga ipinaparayaw han mga tawo—waray hini natikang han Amay; kundi natikang la ini ngatanan ha kalibutan.	Sapagkat ang lahat na nasa sanlibutan, ang masamang pagnanasa ng laman, ang pagnanasa ng mga mata, at ang pagmamataas sa buhay, ay hindi mula sa Ama kundi sa sanlibutan.
Magpapapas an kalibutan ngan an ngatanan nga inuungara han mga tawo; kundi an nagtutuman han kaburot-on han Dyos mabubuhi ha kadayonan.	Ang sanlibutan at ang pagnanasa nito ay lumilipas, ngunit ang gumagawa ng kalooban ng Diyos ay nananatili magpakailanman.
Mga anak ko, hirani na an kataposan! Ginsumatan kamo nga maabot an Kaaway ni Cristo; ngan yana inmabot na in damo nga mga kaaway ni Cristo, sanglit maaram kita nga hirani na an kataposan.	Mga anak, huling oras na! Gaya ng inyong narinig na darating ang anti-Cristo, kahit ngayon ay lumitaw na ang maraming anti-Cristo. Kaya nalalaman nating huling oras na.
Binmulag hira ha aton kay diri manggud ini nga mga tawo kausa naton. Kay kon matuod pa nga hira kausa naton, nagpapadayon unta hira hin diri pagbulag ha aton. Kundi binmulag hira basi madayag nga diri gud hira ngatanan kausa naton.	Sila'y lumabas sa atin, ngunit sila'y hindi sa atin; sapagkat kung sila'y kabilang sa atin ay magpapatuloy sana silang kasama natin. Ngunit sa paglabas nila ay ginawa nilang maliwanag na silang lahat ay hindi kabilang sa atin.
Kundi iginbubo ha iyo ni Cristo an Espirito Santo, sanglit maaram kamo ngatanan han kamatuoran.	Ngunit kayo'y pinahiran ng Banal, at nalalaman ninyo ang lahat ng mga bagay.
Sanglit nagsusurat ako ha iyo, diri tungod nga diri kamo maaram han kamatuoran, kundi tungod nga maaram kamo, ngan maaram liwat kamo nga waray buwa nga natikang han kamaturoan.	Sinusulatan ko kayo, hindi dahil sa hindi ninyo nalalaman ang katotohanan, kundi dahil nalalaman ninyo iyon, at nalalaman ninyo na walang kasinungalingan na nagmumula sa katotohanan.
Hin-o man ngay-an an buwaon? Amo adton nariwa nga hi Jesus amo an Cristo. Amo ini an Kaaway ni Cristo—sinasalikway niya an Amay ngan an Anak.	Sino ang sinungaling kundi ang nagkakaila na si Jesus ay siyang Cristo? Ito ang anti-Cristo, ang nagkakaila sa Ama at sa Anak.
Kay bisan hin-o nga nasalikway han Anak nasalikway man han Amay; kundi bisan hin-o nga makarawat han Anak makarawat man liwat han Amay.	Ang sinumang nagkakaila sa Anak, ay hindi sumasakanya ang Ama. Ang nagpapahayag sa Anak ay sumasakanya rin ang Ama.
Sanglit tipigi gud niyo ha iyo mga kasingkasing an hinbatian niyo nga mensahe tikang pa ha tinikangan. Kon tipigan niyo an iyo hinbatian tikang pa ha tinikangan, dayuday kamo makikigkausa han Anak ngan han Amay.	Manatili sa inyo ang inyong narinig buhat nang pasimula. Kung nananatili sa inyo ang narinig ninyo buhat nang pasimula, kayo naman ay mananatili sa Anak at sa Ama.
Ngan amo ini an iginsaad ni Cristo ngahaw nga ihahatag ha aton—an dayon nga kinabuhi.	At ito ang pangako na kanyang ipinangako sa atin, ang buhay na walang hanggan.
Nagsusurat ako hini ha iyo mahitungod hadton mga nagtatalinguha hin paglimbong ha iyo.	Isinulat ko sa inyo ang mga bagay na ito tungkol sa mga mandaraya sa inyo.
Kundi ginbub-an kamo ni Cristo han iya Espiritu. Samtang aada ha iyo an iya Espiritu, diri kamo nagkikinahanglan hin magtututdo ha iyo, kay an iya Espiritu an nagtututdo ha iyo mahitungod han ngatanan nga butang, ngan an igintututdo niya, diri buwa. Sanglit tumana niyo an igintutdo han Espiritu ngan pagpabilin kamo dida kan Cristo.	Tungkol sa inyo, ang pagpapahid na inyong tinanggap ay nananatili sa inyo, kaya't hindi na ninyo kailangan pang kayo'y turuan ng sinuman. Ngunit kayo'y tinuturuan ng kanyang pagpapahid tungkol sa lahat ng mga bagay, at ito'y totoo at hindi kasinungalingan, kung paanong kayo'y tinuruan nito, ay gayon kayo manatili sa kanya.
Tinuod, mga anak ko, pagpabilin kamo dida ha iya basi magmadasigon kita kon magpadayag na hiya, ngan diri kita tumago hin kaawod ha iya kon bumalik na hiya.	At ngayon, mga munting anak, manatili kayo sa kanya; upang kung mahayag siya ay magkaroon kayo ng pagtitiwala, at hindi mapahiya sa harapan niya sa kanyang pagdating.
Maaram kamo nga matadong hi Cristo, sanglit angay liwat hibaroan niyo nga an bisan hin-o nga nagbubuhat hin matadong anak han Diyos.	Kung nalalaman ninyong siya'y matuwid, makakatiyak kayo na ang bawat gumagawa ng katuwiran ay ipinanganak niya.
Tan-awa niyo kon ano kadako an paghigugma ha aton han Amay! Dako gud an iya gugma ha aton, sanglit gintawag kita nga mga anak han Dyos—ngan matuod nga mga anak kita niya. Amo ini an hinungdan kay ano nga an kalibutan diri nakilala ha aton: tungod kay an kalibutan waray kumilala han Dyos.	Masdan ninyo kung anong uri ng pag-ibig ang ipinagkaloob sa atin ng Ama, upang tayo'y matawag na mga anak ng Diyos; at tayo'y gayon nga. Dahil dito'y hindi tayo nakikilala ng sanlibutan, sapagkat siya'y hindi nakilala nito.
Mga hinigugma ko, mga anak na kita yana han Dyos, kundi diri pa gud dayag kon ano an aton aabotan. Kundi maaram kita nga kon magpakita na hi Cristo, masusugad kita ha iya, kay makita kita ha iya, han iya kinaiya.	Mga minamahal, ngayon ay mga anak tayo ng Diyos at hindi pa nahahayag kung magiging ano tayo. Nalalaman natin na kung siya'y mahayag, tayo'y magiging katulad niya, sapagkat siya'y ating makikita bilang siya.
An ngatanan nga may-ada hini nga paglaom kan Cristo, nagputli han ira kalugaringon, sugad nga putli hi Cristo.	At sinumang may ganitong pag-asa sa kanya ay naglilinis sa kanyang sarili, gaya naman niyang malinis.
An nakasala nagtatalapas han balaod han Dyos kay sala an pagtalapas han balaod.	Ang sinumang gumagawa ng kasalanan ay lumalabag din naman sa kautusan; at ang kasalanan ay ang paglabag sa kautusan.
Sayod kamo nga kinmanhi hi Cristo pagkuha han mga sala han mga tawo, ngan waray hiya sala.	Nalalaman ninyo na siya'y nahayag upang mag-alis ng mga kasalanan; at sa kanya'y walang kasalanan.
Sanglit diri nagpapadayon pagpinakasala an ngatanan nga aada kan Cristo; kundi an waray pa makakita ha iyo o waray pa makakilala ha iya nagpapadayon hin pagpinakasala.	Ang sinumang nananatili sa kanya ay hindi nagkakasala; sinumang nagkakasala ay hindi nakakita sa kanya, ni hindi nakakilala sa kanya.
Ayaw kamo pagpalimbong, mga anak! An bisan hin-o nga nagbubuhat hin matadong, matadong sugad nga matadong man hi Cristo.	Mga munting anak, huwag kayong padaya kanino man. Ang gumagawa ng katuwiran ay matuwid, gaya niya na matuwid.
An bisan hin-o nga nagpapadayon pagpinakasala sakop han Yawa, kay nakasala an Yawa tikang pa ha tinikangan. Kinmanhi an Anak han Dyos tungod gud hini nga hinungdan: pagpuo han mga buhat han Yawa.	Ang patuloy na gumagawa ng kasalanan ay sa diyablo; sapagkat buhat pa nang pasimula ay nagkakasala na ang diyablo. Dahil dito, nahayag ang Anak ng Diyos upang wasakin ang mga gawa ng diyablo.
An bisan hin-o nga anak han Dyos diri nagpapadayon hin pagpinakasala, kay aada ha iya an kinaiya han Dyos; ngan tungod nga Amay na niya an Dyos, diri na hiya makakagpadayon hin pagpinakasala.	Ang sinumang ipinanganak ng Diyos ay hindi patuloy na nagkakasala, sapagkat ang kanyang binhi ay nananatili sa kanya at hindi siya maaaring magkasala, sapagkat siya'y ipinanganak ng Diyos.
Amo ini an dayag nga kalainan han mga anak han Dyos ngan han mga anak han Yawa: diri anak han Dyos an bisan hin-o nga diri nagbubuhat hin matadong ngan diri nahigugma han iya bugto.	Sa ganito nahahayag ang mga anak ng Diyos at ang mga anak ng diyablo: ang sinumang hindi gumagawa ng katuwiran ay hindi sa Diyos, pati ang hindi umiibig sa kanyang kapatid.
Amo ini an hinbatian niyo nga mensahe tikang pa ha tinikangan: kinahanglan maghigugmaay kita.	Sapagkat ito ang mensahe na inyong narinig buhat nang pasimula, na mag-ibigan tayo sa isa't isa,
Kinahanglan diri kita masugad kan Cain; kanan Yawa hiya, ngan ginpatay niya an iya kalugaringon nga bugto hi Abel. Kay ano nga ginpatay hi Abel ni Cain? Kay maraot man an ginbuhat ni Cain, kundi matadong an ginbuhat han iya bugto hi Abel.	na hindi gaya ni Cain na siya'y sa masama, at pinaslang ang kanyang kapatid. At bakit niya ito pinaslang? Sapagkat ang kanyang mga gawa ay masasama at ang mga gawa ng kanyang kapatid ay matutuwid.
Sanglit ayaw kamo hipausa, kabugtoan ko, kon pagdumtan kamo han mga tawo han kalibutan.	Mga kapatid, huwag kayong magtaka, kung kayo'y kinapopootan ng sanlibutan.
Maaram kita nga binayaan ta na an kamatayon ngan aada na kita han kinabuhi. Maaram kita hini kay nahigugma kita han aton kabugtoan. Aada pa ha kamatayon an bisan hin-o nga diri nahigugma.	Nalalaman nating tayo'y dumaan na mula sa kamatayan patungo sa buhay, sapagkat iniibig natin ang isa't isa. Ang hindi umiibig ay nananatili sa kamatayan.
Parapamatay an bisan hin-o nga nagdudumot han iya bugto; ngan maaram kamo nga waray dayon nga kinabuhi an parapamatay.	Ang sinumang napopoot sa kanyang kapatid ay isang mamamatay-tao, at nalalaman ninyong ang buhay na walang hanggan ay hindi nananatili sa sinumang mamamatay-tao.
Amo ini an pagkilala naton kon ano an gugma: iginhatag ni Cristo an iya kinabuhi tungod ha aton. Sanglit angay man naton ihatag an aton kinabuhi tungod han aton kabugtoan.	Dito natin nakikilala ang pag-ibig, sapagkat ibinigay niya ang kanyang buhay alang-alang sa atin; at nararapat nating ibigay ang ating mga buhay alang-alang sa mga kapatid.
Kon riko in usa ka tawo, ngan kinikita niya an iya bugto nga nagkikinahanglan, ngan diri mabulig ha iya, uunanhon pakasiring niya nga may niya gugma han Dyos ha iya kasingkasing?	Subalit ang sinumang may mga pag-aari sa sanlibutang ito, at nakikita ang kanyang kapatid na nangangailangan, at pinagsasarhan niya ito ng kanyang damdamin, paanong nananatili ang pag-ibig ng Diyos sa kanya?
Mga anak ko, kinahanglan diri la ha im-im ug wait an aton paghigugma; kinahanglan tinuod ini nga gugma kon igpakita dida hin mga mag-upay nga buhat.	Mga munting anak, huwag tayong umibig sa salita, ni sa dila kundi sa gawa at sa katotohanan.
Sanglit amo ini an paghibaro naton nga skop kita han kamatuoran, ngan may-ada naton pagsarig ha atubangan han Dyos.	Dito natin makikilala na tayo'y mula sa katotohanan, at magkakaroon ng kapanatagan ang ating mga puso sa harapan niya,
Kon paghukman kita han aton konsensya, maaram kita nga labaw han aton konsensya an Dyos nga maaram han ngatanan.	tuwing hahatulan tayo ng ating puso; sapagkat ang Diyos ay higit na dakila kaysa ating puso, at nalalaman niya ang lahat ng mga bagay.
Sanglit, hinigugma ko nga kasangkayan, kon diri kita paghukman han aton konsensya, may pagtapod naton ha atubangan han Dyos.	Mga minamahal, kung tayo'y hindi hinahatulan ng ating puso, tayo ay may kapanatagan sa harapan ng Diyos;
Nakarawat kita tikang ha iya hin bisan ano nga aton pinangangaro, kay nagtutuman kita han iya mga sugo ngan nagbubuhat kita han nakakalipay ha iya.	at anumang ating hingin ay tinatanggap natin mula sa kanya, sapagkat tinutupad natin ang kanyang mga utos at ginagawa natin ang mga bagay na kalugud-lugod sa kanyang harapan.
Amo ini an iya iginsusugo: nga tumoo kita han ngaran han iya Anak nga hi Jesu-Cristo, ngan maghigugmaay kita sugad han iginsugo ni Cristo ha aton.	At ito ang kanyang utos, na manampalataya tayo sa pangalan ng kanyang Anak na si Jesu-Cristo, at tayo'y mag-ibigan sa isa't isa ayon sa ibinigay niyang utos sa atin.
An bisan hin-o nga nagtutuman han iya mga sugo nag-uokoy dida ha Dyos, ngan nag-uokoy man an Dyos dida ha iya. Ngan tungod han Espiritu nga iginhatag niya ha aton maaram kita nga nag-uokoy dinhe ha aton an Dyos.	At ang tumutupad ng kanyang mga utos ay nananatili sa kanya, at siya sa kanya. At dito'y nakikilala natin na siya'y nananatili sa atin, sa pamamagitan ng Espiritu na kanyang ibinigay sa atin.
Hinigugma ko nga kasangkayan, ayaw kamo too han ngatanan nga masiring nga an Espiritu aada ha ira, kundi panginanoa niyo kon tikang ba sa Dyos an Espiritu nga aada ha ira. Kay nagsarang ha kalibutan in damo nga diri matuod nga mga manaragna.	Mga minamahal, huwag ninyong paniwalaan ang bawat espiritu, kundi inyong subukin ang mga espiritu, kung sila'y sa Diyos, sapagkat maraming lumitaw na mga bulaang propeta sa sanlibutan.
Hibabaroan niyo kon an Espiritu kanan Dyos dida hini nga paagi: an bisan hin-o nga magtug-an nga nahimo nga tawo hi Jesu-Cristo, may-ada Espiritu nga kanan Dyos.	Dito'y nakikilala ninyo ang Espiritu ng Diyos: ang bawat espiritung nagpapahayag na si Jesu-Cristo ay naparito sa laman ay sa Diyos,
Kundi an magdiwara hini mahitungod kan Jesus, waray Espiritu nga kanan Dyos. Tikang han Kaaway ni Cristo ini nga Espiritu. Hinbatian niyo nga maabot ini, ngan yana aanhi na ha kalibutan.	at ang bawat espiritung hindi ipinahahayag si Jesus, ay hindi sa Diyos. Ito ang espiritu ng anti-Cristo, na inyong narinig na darating at ngayo'y nasa sanlibutan na.
Kundi, mga anak ko, kanan Dyos kamo, ngan gindaog niyo an diri matuod nga mga manaragna, kay labaw pa kagamhanan an Espiritu nga aada ha iyo kay han espiritu nga aada han mga tawo nga kanan kalibutan.	Kayo'y sa Diyos, mga munting anak, at inyong dinaig sila sapagkat siyang nasa inyo ay higit na dakila kaysa sa nasa sanlibutan.
Ini nga mga diri matuod nga manaragna naghihimangraw mahitungod han mga butang han kalibutan, ngan namamati ha ira an kalibutan, kay kanan kalibutan man hira.	Sila'y sa sanlibutan: kaya't tungkol sa sanlibutan ang kanilang sinasabi at pinapakinggan sila ng sanlibutan.
Kundi kanan Dyos kita. Namamati ha aton an bisan hin-o nga nakilala han Dyos; diri namamati ha aton an bisan hin-o nga diri kanan Dyos. Sanglit amo ini an paagi nga makakasabot kita han kalainan han Espiritu nga nagtututdo han kamatuoran ngan han espiritu nga diri nagtututdo han kamatuoran.	Kami ay sa Diyos. Ang nakakakilala sa Diyos ay nakikinig sa amin at ang hindi sa Diyos ay hindi nakikinig sa amin. Dito'y ating nakikilala ang espiritu ng katotohanan at ang espiritu ng kamalian.
Hinigugma ko nga kasangkayan, maghigugmaay kita, kay natikang sa Dyos an gugma, sanglit anak han Dyos ngan nakilala han Dyos an bisan hin-o nga nahigugma.	Mga minamahal, mag-ibigan tayo sa isa't isa, sapagkat ang pag-ibig ay sa Diyos at ang bawat umiibig ay ipinanganak ng Diyos at nakakakilala sa Diyos.
Diri nakilala han Dyos an bisan hin-o nga diri nahigugma, kay gugma an Dyos.	Ang hindi umiibig ay hindi nakakakilala sa Diyos; sapagkat ang Diyos ay pag-ibig.
Sugad hini an pagpakita han Dyos han iya gugma ha aton: ginsugo niya nganhi ha kalibutan an amo la nga iya Anak, basi magkaada kita kinabuhi pinaagi ha iya.	Dito nahayag ang pag-ibig ng Diyos sa atin, sapagkat sinugo ng Diyos ang kanyang bugtong na Anak sa sanlibutan upang tayo'y mabuhay sa pamamagitan niya.
Amo ini an gugma: diri nga kita an naghigugma han Dyos, kundi nga an Dyos an naghigugma ha aton ngan nagsugo han iya Anak, basi pinaagi ha iya mapasaylo an aton mga sala.	Narito ang pag-ibig, hindi sa tayo'y umibig sa Diyos, kundi siya ang umibig sa atin, at sinugo ang kanyang Anak na pantubos sa ating mga kasalanan.
Hinigugma ko nga kasangkayan, kon sugad hini an paghigugma han Dyos ha aton, kinahanglan maghigugmaay man kita.	Mga minamahal, kung tayo'y inibig ng Diyos nang gayon, nararapat na mag-ibigan din naman tayo sa isa't isa.
Waray pa nakakita han Dyos; kon maghigugmaay kita, nag-uokoy an Dyos dinhe ha aton ngan nahihingpit an iya gugma dinhe ha aton.	Walang nakakita kailanman sa Diyos; kung tayo'y nag-iibigan sa isa't isa, ang Diyos ay nananatili sa atin, at ang kanyang pag-ibig ay nagiging sakdal sa atin.
Maaram kita nga diri kita magsasayop nga nag-uokoy kita dida han Dyos ngan nag-uokoy man an Dyos dinhe ha aton tungod kay ihinatag niya ha aton an iya Espiritu.	Dito'y nalalaman namin na kami'y nananatili sa kanya at siya'y sa amin, sapagkat binigyan niya kami ng kanyang Espiritu.
Ngan aton hinkit-an ngan iginsumat ha iba nga an Amay nagsugo han iya Anak nga magin Magtaralwas han kalibutan.	At nakita namin at sinasaksihan na sinugo ng Ama ang Anak bilang Tagapagligtas ng sanlibutan.
An bisan hin-o nga magpahayag nga hi Jesus amo an Anak han Dyos, nag-uokoy dida ha Dyos ngan nag-uokoy man an Dyos dida ha iya.	Ang sinumang nagpapahayag na si Jesus ay Anak ng Diyos, ang Diyos ay nananahan sa kanya, at siya'y sa Diyos.
Ngan makilala ngan matoo kita han kanan Dyos paghigugma ha aton. Gugma an Dyos, ngan an bisan hin-o nga nag-uokoy dida han gugma nag-uokoy dida ha Dyos, ngan nag-uokoy man an Dyos dida ha iya.	At ating nalaman at sinampalatayanan ang pag-ibig ng Diyos para sa atin. Ang Diyos ay pag-ibig at ang nananatili sa pag-ibig ay nananatili sa Diyos, at ang Diyos ay nananatili sa kanya.
Ginhihingpit an gugma dinhe ha aton, basi diri kita mahadlok ha Adlaw han Paghukom; kay an aton kinabuhi dinhe hini nga kalibutan sugad man han kan Cristo.	Dito'y naging ganap ang pag-ibig sa atin upang tayo'y magkaroon ng lubos na pagtitiwala sa araw ng paghuhukom; sapagkat kung ano siya, ay gayundin naman tayo sa sanlibutang ito.
Waray pagkahadlok dida han gugma. Pinapaiwas han hingpit nga gugma an ngatanan nga kahadlok. Sanglit waray pa mahingpit an gugma dida ha iya nga nahahadlok, kay an kahadlok may kaangbitan hin sirot.	Walang takot sa pag-ibig kundi ang sakdal na pag-ibig ay nagpapalayas ng takot, sapagkat ang takot ay may kaparusahan at ang natatakot ay hindi pa nagiging sakdal sa pag-ibig.
Nahigugma kita kay una an Dyos humigugma ha aton.	Tayo'y umiibig sapagkat siya ang unang umibig sa atin.
Kon may sumiring nga nahigugma hiya han Dyos, kundi nagdudumot hiya han iya bugto, buwaon hiya. Kay diri hiya makakahigugma han Dyos nga diri niya kinikita, kon diri niya higugmaon anay an iya bugto nga iya kinikita.	Kung sinasabi ng sinuman, “Iniibig ko ang Diyos,” at napopoot sa kanyang kapatid, siya ay sinungaling; sapagkat ang hindi umiibig sa kanyang kapatid na kanyang nakikita, ay hindi maaaring umibig sa Diyos na hindi niya nakita.
Sanglit amo ini an sugo nga iginhatag ni Cristo ha aton: kinahanglan nga adton nahigugma han Dyos humigugma man han iya bugto.	At ang utos na ito na mula sa kanya ay nasa atin, na ang umiibig sa Diyos ay dapat ding umibig sa kanyang kapatid.
Anak han Dyos adton natoo nga hi Jesus amo an Mesiyas; ngan adton nahigugma hin usa nga amay nahigugma man liwat han anak hini nga amay.	Ang sinumang sumasampalataya na si Jesus ay siyang Cristo ay ipinanganak ng Diyos, at ang bawat umiibig sa magulang ay umiibig din naman sa anak.
Sugad hini an pagsabot naton nga nahigugma kita han mga anak han Dyos: kon nahigugma kita han Dyos ngan nagtutuman kita han iya mga sugo.	Dito'y ating nakikilala na iniibig natin ang mga anak ng Diyos, kapag iniibig natin ang Diyos at tinutupad natin ang kanyang mga utos.
Kay an aton paghigugma han Dyos hisasabtan dida han aton pagtuman han iya mga sugo. Ngan diri gud makuri para ha aton an pagtuman han iya mga sugo,	Sapagkat ito ang pag-ibig sa Diyos, na ating tuparin ang kanyang mga utos at ang kanyang mga utos ay hindi pabigat.
