msb	hil
Sugad man dapat buligan niyo kami paagi sa iyo pagpangadyi agod alang-alang sa amon damo an magapasalamat sa bendisyon na ihahatag sa aton bilang sabat sa damo na mga pangadyi.	subong nga kamo nagabulig sa amon paagi sa inyo mga pangamuyo. Gani ang madamo nga mga pangamuyo para sa amon pagasabton sang Dios kag sia magabendisyon sa amon. Kag madamo ang magapasalamat sa iya para sa amon.
Kay amo ini an ikakahambog namon na malinis kag matanos an amon pagkabuhay didi sa kinab-an kag lalo na gayod sa pakig-upod sa iyo kasadto. Banal kag malulot kami kasadto paagi sa pagbulig san Dios, dili paagi sa kadunungan san tawo.	Amo ini ang amon ginapabugal: ang amon konsensya nagapasalig sa amon nga ang amon kabuhi sa sini nga kalibutan, kag labi na gid ang amon kaangtanan sa inyo, ginagamhan sang pagkamaminatud-on kag pagkasinsero, paagi sa kaayo sang Dios, kag indi tungod sang tawhanon nga kaalam.
Kaya ngani wara kamiʼn iba na ginsurat kundi an mababasa kag masasabutan niyo. Ginalaom ko man na	Kay ang inyo lamang mabasahan kag mahangpan amo ang ginasulat namon sa inyo. Kag nagalaom ako nga mahangpan gid ninyo sing bug-os sa palaabuton
bisan dyutay na an iyo pagkasabot sa amon, masasabutan gayod niyo na ikakahambog niyo kami sugad man na ikakahambog namon kamo pag-abot san adlaw san pagpakilala sa Ginooʼn Jesus.	ang indi pa ninyo mahangpan karon, agod nga sa Adlaw ni Ginoong Jesus sarang ninyo kami mapabugal subong nga mapabugal man namon kamo.
Nagsiguro ako sani, kaya nag-isip ako pagbisita anay sa iyo	May pagsalig gid ako sini tanan, sa bagay nga nagplano ako una sa pagduaw sa inyo, agod nga makabaton kamo sing doble nga mga kaayuhan.
kay an plano ko kuntani maghapit sa iyo pagpakadto kag pagpabalik ko hali sa Macedonia agod mapaboran kamo sin doble. Tapos, mabuligan niyo ako pagpakadto sa Judea.	Kay nagplano ako sa paghapit dira sa inyo sa akon pagkadto sa Macedonia kag sa paghapit liwat sa inyo sa akon pagbalik, agod sa pagpangayo sing bulig sa inyo para sa akon pagkadto sa Judea.
San ginplano ko ini, nano, nagpaburubag-o an akon isip kay kinahanglan ko magbag-o sani? Dili ako nagahimo sin mga plano sugad sa tawo na paburubag-o sin isip na dungan magsabat sin “Oo, Oo,” kag “Dili, Dili.”	Sang pagplano ko sini, nagpakita bala nga madali lang ako magbaylo? Kon nagaplano ako, ginahimo ko bala ini sa maiyaiyahon nga tinutuyo nga handa sa pagsiling, “Huo” ukon “Indi” sa amo man nga tion?
Sugad san pagkasiguro na matinumanon an Dios, an amon man surmaton sa iyo dili “Oo” kag “Dili”.	Subong nga ang Dios nagahambal sang matuod, ang akon saad sa inyo indi “Huo” kag “Indi.”
An katukduan namon ninda Silvano kag Timoteo sa iyo an manungod kan Jesu-Cristo na Anak san Dios. Dili siya nagpaburubag-o san isip kundi sa iya an sabat pirme “Oo”.	Kay si Jesu-Cristo, ang Anak sang Dios, nga ginwali namon ni Silas kag ni Timoteo sa inyo, indi “Huo” kag “Indi” sa amo man nga tion. Sa baylo, sia amo ang “Huo” sang Dios.
An tanan na gintuga san Dios gintuman paagi kan Jesu-Cristo kay an pagsabat niya sa Dios pirme, “Oo.” Kaya ngani dahilan kan Cristo makasabat kami sin “Amen” para sa pag-umaw sa Dios.	Si Cristo amo ang kalig-unan nga ang Dios magatuman sang iya mga saad sa iya mga katawhan. Amo ini ang kabangdanan nga paagi kay Jesu-Cristo nagasiling kita “Kabay pa” sa kadayawan sang Dios.
Pero an Dios an nagpasarig sa aton sa pakig-usad kan Cristo kag an Dios man an nagtawag sa amon na magsirbe.	Kay ang Dios gid amo ang nagapalig-on sang amon kag sang inyo kabuhi sa kay Cristo. Ang Dios gid amo ang nagpain sa aton,
Gintandaan kita niya agod maaraman san tanan na kita para na sa iya. Kita man an ginhatagan niya san iya Espirito Santo bilang kasiguruhan na makabaton kita san tanan na gintuga niya sa aton.	kag nagbutang sing marka sa aton nga iya kita. Sia ang naghatag sang Espiritu Santo sa aton mga tagipusoon subong nga kalig-unan sang tanan nga iya gintigana para sa aton.
Nagatawag ako sa Dios na magin testigo kontra sa akon kun nagabuwa ako na dili ako nagpakada sa iyo kay dili ko gusto na pamunduon kamo.	Ang Dios amo ang akon saksi. Nakahibalo sia sang akon tagipusoon! Wala ako magkadto sa Corinto agod nga malikaw kamo sa masakit nga balatyagon.
Dili kay gusto namon magbuut-buot sa iyo pagtuod kay masarig na man kamo sa pagtuod. Mga katrabaho lang kami niyo alang-alang sa ikakalipay niyo.	Wala kami nagadikta sa inyo kon ano ang inyo dapat tuohan, kay nakahibalo kami nga malig-on kamo sa inyo pagtuo. Sa baylo, nagapangabudlay kami kaupod ninyo para sa inyo kalipay.
Nakapag-isip-isip ako na dili na ako kuntani mapakada sa iyo kun masasakitan ko man lang an iyo kabubut-on.	Gani, ginpakamaayo ko nga indi ako magkadto sa inyo liwat sa pagpakasubo sa inyo.
Kay kun papamunduon ko kamo, sin-o pa ada an makapalipay sa akon kundi kamo man lang gihapon na ginpamundo ko.	Kay kon ako ang kabangdanan sang inyo kasubo, sin-o na lang ang magalipay sa akon? Ang mga tawo lang nga akon ginpakasubo.
Amo ina an dahilan kun nano kay ginsurat ko idtoʼn una kay habo ako magpakada kun papamunduon man lang ako san mga tawo na dapat kuntani magpalipay sa akon. Kaya niyan, nakasiguro ako na an akon kalipay magigin kalipay man niyo tanan.	Amo ina nga nagsulat ako sadto sa inyo. Wala ako luyag magkadto sa inyo kay pagapasuboon man lang ako sang mga tawo nga amo kuntani ang dapat maglipay sa akon. Kay nagasalig gid ako nga kon ako nagakalipay, ti kamo tanan nagakalipay man.
San magsurat ako sa iyo masakit an akon buot. Namumundo ako kag nagatangis. Dili ako nagsurat sana kay gusto ko kamo pamunduon kundi gusto ko ipaaram sa iyo kun sing-ano kadako an pagkamuot ko sa iyo.	Nagsulat ako sa inyo sa daku nga kasubo kag kasakit sang tagipusoon nga nagahilibion, indi sa pagpakasubo sa inyo, kundi sa pagpakilala sa inyo kon daw ano ang akon paghigugma sa inyo tanan.
Kun may nagpamundo, dili lang ako an ginpamundo niya kundi kamo o an nagkapira sa iyo. Dili ko gusto na magin grabe an akon pagsabi manungod sa iya.	Karon, kon may isa nga nagpakasubo sa bisan kay sin-o, wala niya ini ginhimo sa akon, kundi sa inyo tanan, ukon sa pila lang sa inyo. Ginahambal ko ini tungod kay indi ako luyag magpatama sa sina nga tawo.
Tama na an kastigo na ginhatag sa iya san kadamuan.	Tuman na sa sina nga tawo nga nasilutan sia sa sini nga paagi sang kalabanan sa inyo.
Niyan, dapat patawadon niyo siya kag lipayon basi igsuko niya an iya pagtuod dahilan san namas na kamunduan.	Pero karon, patawaron ninyo sia kag lipayon, agod indi sia magpangasubo sing tuman kag indi madulaan sing paglaom.
Kaya, nakimaluoy na ako sa iyo na pamatuudan an pagkamuot niyo sa iya.	Gani, nagapakitluoy ako sa inyo, pabatyaga ninyo sia nga inyo gid sia ginahigugma.
Amo man ini an dahilan san pagsurat ko na maporbaran kag maaraman ko kun matinumanon man gayod kamo san tanan na mga tugon ko.	Kay amo ini ang kabangdanan nga nagpadala ako sa inyo sina nga sulat: luyag ko mahibaluan kon bala nagdaog kamo sa pagtilaw, ukon handa kamo sa gihapon sa pagsunod sang akon mga ginapatuman.
Kay an ginapatawad niyo ginapatawad ko man. Niyan, an ginpatawad ko, kun igwa man, ginpatawad ko idto sa atubangan ni Cristo alang-alang sa iyo,	Kon ginapatawad ninyo ang isa ka tawo tungod sang iya ginhimo, ginapatawad ko man sia. Kay kon magpatawad ako—ina kon nakapatawad gid man ako sang bisan ano nga sayop—ginahimo ko ini tungod sa inyo, sa atubang ni Cristo,
para dili makabintaha si Satanas sa aton kay maaram kita san iya mga katuyuan.	agod nga indi kita madaog ni Satanas, kay nakahibalo kita kon ano ang iya mga plano.
Pag-abot ko sa Troas para magtukdo san Maayo Na Barita manungod kan Cristo, nakita ko na may ginhatag sa akon na oportunidad didto an Ginoo para sani,	Sang pag-abot ko sa Troas sa pagwali sang Maayong Balita nahanungod kay Cristo, nasapwan ko nga ang Ginoo naghatag sa akon sing kahigayunan sa pagpangabudlay didto.
pero dili nakaukoy an akon isip kay wara ko didto makita an akon kamanghod sa pagtuod na si Tito. Kaya, nagpaaram ako sa mga taga-Troas kag nagpadayon pa-Macedonia.	Pero naglibog gid ang akon ulo, tungod kay wala ko makita ang aton utod nga si Tito. Gani nagpaalam ako sa mga tawo didto, kag nagpadayon pakadto sa Macedonia.
Kaya nagapasalamat ako sa Dios na sa pakig-usad kan Cristo amo pirme an nangunguna sa amon sa pagkagana kag paagi man sa amon ginapalukop bisan diin an kaaraman manungod kan Cristo bagaʼn pahumot.	Pero salamat sa Dios! Kay sa aton paghiusa kay Cristo, ang Dios amo sa gihapon ang nagapangulo sa aton subong nga mga priso nga ginaparada sa pagsaulog sang pagdaog ni Cristo. Kaangay sang pahamot nga nagatugob sa tanan nga lugar, ang Dios nagagamit sa aton sa pagpakilala kay Cristo sa tanan nga mga tawo.
Amo man bagaʼn mahumot na insenso kami na ginahalad ni Cristo sa Dios sa tunga sadtoʼn mga ginasalbar kag bisan sadtoʼn mga tawo na Impyerno an inda kadtuan.	Kay kaangay kita sang kahamot sang sinunog nga insyenso nga ginahalad ni Cristo sa Dios kag nagapangamyon sa mga nagakalaluwas kag sa mga nagakalawala.
Sa mga nagalakat sa Impyerno, kami bagaʼn maraot na baho na makapatay, pero para naman sa mga ginasalbar pareho kami sa mahumot na insenso na nagahatag sin buhay. Sin-o gayod an may kakayahan sa iya lang sadiri para sani na trabaho?	Para sa ila nga nagakalawala, baho ini nga nagapatay. Pero para sa ila nga linuwas, kahamot ini nga nagadala sing kabuhi. Ti sin-o karon ang makasarang sini nga hilikuton?
Pero makahimo kami kay ginsugo kami san Dios bilang mga suruguon ni Cristo. Dili kami pareho san kadamuan na ginanegosyo an surmaton san Dios, kundi nagatukdo kami sin hugot sa buot sa iya atubangan.	Indi kamo pareho sang madamo nga mga tawo, nga ang pagkabig nila sang mensahe sang Dios pareho sang baratuhon nga baligya. Pero tungod kay kami iya ginpadala sang Dios, nagahambal kami sing maminatud-on sa iya presensya subong nga mga alagad ni Cristo.
Nano, pag-alsa naman ini sin sadiri na bangko? Nano, kinahanglan pa namon, pareho sa iba, an mga surat na magapakilala kami sa iyo o hali sa iyo?	Nagakahulogan naman bala ini nga nagapabugal kami sang amon kaugalingon? Pareho sang ginahimo sang iban, nagakinahanglan bala kami sing rekomendasyon paagi sa mga sulat agod ipakilala kami sa inyo? Ukon mga sulat halin sa inyo agod ipakilala kami sa iban?
Dili, kay sigurado na kami sa amon tagipusuon na kamo mismo an amon parapakilala para mabasa kag maaraman san tanan na katawuhan.	Kamo mismo amo ang amon sulat, nga nasulat sa amon mga tagipusoon, agod makilal-an kag mabasahan sang tanan nga mga tawo.
Niyan, hayag na kamo naman bagaʼn surat ni Cristo na gindul-ong namon pero dili sinurat sa bato paagi sa tinta kundi sa tagipusuon san katawuhan paagi sa Espirito san buhay na Dios.	Maathag gid nga si Cristo mismo amo ang nagsulat sini kag nagpadala sini paagi sa amon. Wala ini masulat sang tinta sa lapida nga mga bato, kundi ginsulat ini sang Espiritu sang Dios nga buhi, sa tagipusoon sang mga tawo.
Ginasabi namon sugad sani kay may pagsarig kami sa Dios paagi kan Cristo.	Ginasiling namon ini tungod kay may pagsalig kami sa Dios paagi kay Cristo.
Dili kay nagaangkon kami na may kaya kami mismo para sani na trabaho kundi an amon kakayahan hali sa Dios.	Kay kon sa amon lang wala kami sing kaugalingon nga ikasarang sa paghimo sini nga bulohaton. Ang amon ikasarang nagahalin sa Dios,
Siya an naghatag sa amon sana na kakayahan agod magin parapamahala sin bag-o na sinumpaan na dili paagi sa sinurat na Kasuguan kundi paagi sa Espirito. Kay an sinurat na Kasuguan nagapatay pero an Espirito nagabuhay.	kay sia amo ang nagahatag sa amon sing ikasarang sa pag-alagad sa bag-o nga kasugtanan, nga wala nasandig sa nasulat nga kasugoan, kundi sa Espiritu. Ang nasulat nga kasugoan nagadala sing kamatayon, pero ang Espiritu nagahatag sing kabuhi.
Niyan, san ginhatag san Dios kan Moises idtoʼn gin-ukit sa bato na Kasuguan na an nahuhumanan kamatayon, nagapawa man an bayhon ni Moises tungod san grabe na kapawa san Dios. Pagbalik niya sa mga taga-Israel, dili sinda nakasud-ong sa iya bisan nagawara na an kapawa sani.	Ang mga letra sang Kasugoan ginsilsil sa lapida nga mga bato, kag ang makasililaw nga kapawa sang Dios nagpahayag sang paghatag sini. Bisan ang kasilaw sa guya ni Moises nagaamat-amat kadula, pero tama ini kasanag, sa bagay nga ang mga tawo sang Israel indi makaagwanta sa pagtulok sa iya. Kon ang Kasugoan nga ang iya pagpanghikot nagadala sing kamatayon nag-abot nga may daku nga kasanag,
Pero mas lalo gayod na matahom an trabaho san Espirito Santo.	daw ano pa gid kadako ang kasanag sang pagpanghikot sang Espiritu!
Kun grabe an kapawa sadtoʼn Kasuguan na nagadara sin kamatayon, di mas lalo na gayod na matahom an trabaho san Espirito Santo sa pagpatanos sa mga tawo.	Kay kon ang pagpanghikot nga nagadala sing silot makatilingala, daw ano pa gid ka makatilingala ang pagpanghikot nga nagadala sang kaluwasan.
Matuod man gayod na sani na kamutangan an dati na grabe na kapaw-an bagaʼn dili gayod gali mapawa sa may kapaw-an na nakalabaw sadto.	Makasiling kita nga ang tama kasanag nga himaya sang una naalimunaw, tungod sang mas masanag nga himaya karon.
Kaya ngani kun grabe an kapawa san dili didi hasta na lang, dapat na mas lalo na mapawa an adi didi hasta na lang.	Kay kon may himaya gani sa sadtong umalagi lang, daw ano pa gid ang himaya sa sining nagapadayon sa wala sing katapusan!
Kaya, kay may paglaom kami sani, makusog an amon buot.	Tungod kay amo ini ang amon paglaom, nagawali kami nga may kaisog.
Dili kami pareho kan Moises na nagtahob sin manto sa iya bayhon agod dili makakita an mga Israelita san kakahumanan san nagawara na na kapawa.	Indi kami pareho kay Moises, nga nagtabon sang iya guya, agod nga ang mga Israelinhon indi makakita sang kasanag nga nagaamat-amat kadula sa iya guya.
Kundi ginpapulpol man gayod an inda mga kaisipan, kaya hasta sani na adlaw pagbasa ninda san daan na sinumpaan, bagaʼn adto pa an dati na manto kay dili nawawahi kay nahahali lang idto paagi kan Cristo.	Sa pagkamatuod, ang ila mga panghunahuna natakpan, kag tubtob karon gid nga adlaw ang ila mga panghunahuna natabunan sang amo man gihapon nga tabon, samtang nagabasa sila sang mga libro sang daan nga kasugtanan. Ang tabon makuha lang kon ang tawo nahiusa kay Cristo.
Oo, hasta sani na adlaw, basta ginabasa an Kasuguan na ginhatag kan Moises may pareho san manto na nakatahob sa inda mga isip.	Tubtob karon, sa ila pagbasa sang Kasugoan ni Moises, ang ila mga panghunahuna ginatabunan pa gihapon.
Pero kun may tawo na nagapasakop sa Ginoo, ina na manto mahahali.	Pero ginakuha ini, subong sang ginasiling sang kasulatan: “Ang tabon sa guya ni Moises nakuha sang pagliso niya sa Ginoo.”
An ginasabi didi na Ginoo waraʼn iba kundi an Espirito Santo, kag kun hain ini na Espirito san Ginoo adto naman an pagkasalbar para sa mga katawuhan san Dios.	Karon, “ang Ginoo” sa sini nga bahin sang kasulatan amo ang Espiritu, kag kon diin ang Espiritu sang Ginoo, dira may kahilwayan.
Niyan, kita tanan, na waraʼn tahob an bayhon, nagapakita san kapawa san Ginoo bagaʼn sa ispiho. Paagi sani ginabag-o kita sa pareho niya na hitsura kag nagadagdag sa kapaw-an kay ini hali sa iya na amo an Espirito.	Gani, kita tanan nagapakita sang himaya sang Ginoo sa aton mga guya nga wala sing tabon, kag ina nga himaya nga nagahalin sa Ginoo nga amo ang Espiritu, nagabalhin sa aton nga manginkaangay niya, sa isa ka mas daku pa nga himaya.
Kaya ngani, kay ginkaluy-an kami san Dios sa pagbutang sa amon na magsirbe, dili kami nawawar-an sin kusog san buot,	Ang Dios, sa iya kaluoy, naghatag sa amon sini nga pag-alagad, gani, wala kami nagapakaluya.
kundi paagi sa hayag na surmaton san kamatuudan ginapaatubang namon an amon sadiri sa pagkita san Dios kag san kada tawo. Habo kami mandaya ni manghimuwa san surmaton san Dios kundi ginsikway namon an tago kag makaaralo na mga gawi.	Ginsikway namon ang tanan nga natago kag makahuloya nga mga buhat. Wala kami nagadaya ukon nagadugang sang pulong sang Dios, kundi sa bug-os nga kapawa sang kamatuoran, nagakabuhi kami sa panulok sang Dios sa pagpakilala sang amon kaugalingon sa maayo nga pagkabig sang tagsatagsa.
Kaya kun an Maayo Na Barita na ginatukdo namon bagaʼn nasasalipdan, nasasalipdan lang ina para sadtoʼn napapaimpyerno.	Kay kon ang amon ginawali nga Maayong Balita indi mahangpan, indi ini mahangpan sang mga nagakawala.
Matuod ini kay an inda mga kaisipan bagaʼn ginbuta ni Satanas na nagahadi sa kinab-an agod maulang sinda pagkasabot san kamatuudan san Maayo Na Barita manungod san pagkadios ni Cristo na amo an kapareho san Dios.	Wala sila nagatuo tungod kay ang ila mga panghunahuna gindulman ni Satanas nga dios sini nga kalibutan. Sia amo ang nagalipod sa ila agod nga indi sila makakita sang kapawa nga nagasilak sa ila halin sa Maayong Balita nahanungod sang himaya ni Cristo, nga amo gid ang larawan sang Dios.
Si Jesu-Cristo ngani bilang Ginoo an ginatukdo namon, dili an amon sadiri kay kami naman suruguon lang niyo para kan Jesus.	Kay wala kami nagawali sang amon kaugalingon, kundi ginawali namon si Jesu-Cristo subong nga Ginoo. Ang amon masiling nahanungod sa amon kaugalingon amo nga kami, inyo mga alagad tungod kay Jesus.
An Dios na nagsabi, “Magpahayag sin ilaw sa kadulman,” amo man an nagpawa san iya ilaw sa amon mga isip agod ipasabot kami san pagkaaram san iya pagkadios na ginhayag sa bayhon ni Cristo.	Ang Dios nga nagsiling, “Gikan sa kadudulman magasilak ang kapawa!” amo man nga Dios ang nagpasilak sang iya kapawa sa aton mga tagipusoon, sa pagdala sa aton sang kapawa sang pagkilala sang himaya sang Dios, nga nagasilak sa nawong ni Cristo.
Pero ginbutang ini na diosnon na kayamanan sa amon na pareho san mga surudlan na himo sa lapok agod ihayag na hali sa Dios ini na pinakalabaw na gahom kag dili hali sa amon.	Pero kami nga may espirituhanon nga manggad kaangay sang tibod nga duta, agod sa pagpakita nga ang labing daku nga gahom indi amon, kundi iya sang Dios.
Kun minsan nasa kaiwatan kami pero dili nadadaog, nagaduha-duha pero dili nawawar-an sin paglaom.	Masunson kami nagaantos pero wala kami nadaog sang nagakontra sa amon. Kon kaisa nagapangduhaduha kami, pero wala kami madulaan sing paglaom.
Damoʼn nagpapasakit sa amon pero dili man ginapabay-an san Dios. Pinatumba na pero dili gayod napapara.	Madamo ang amon mga kaaway, pero wala man kami mawad-i sing abyan. Kag bisan nga kon kaisa nasakit gid kami, pero wala man kami malaglag.
Bagaʼn pirme kami namamatay pareho kan Jesus agod mahayag man paagi sa amon an buhay niya.	Sa tanan nga tion yara kami sa katalagman sang kamatayon subong sang natabo kay Jesus. Kag ang kamatuoran nga buhi pa kami gihapon nagapakita, nga si Jesus nagakabuhi man.
Myintras man kami buhay, pirme nasa peligro san kamatayon alang-alang kan Jesus agod mahayag sa amon na may kamatayon na lawas an buhay niya.	Sa bug-os namon nga pagkabuhi yara kami pirme sa katalagman sang kamatayon tungod kay Jesus, agod nga ang iya kabuhi makita sa sining amon mamalatyon nga lawas.
Kaya ngani, sa amon an nagatrabaho an kamatayon, pero sa iyo, an buhay.	Ini nagakahulogan nga ang kamatayon nagapanghikot sa amon, pero ang kabuhi nagapanghikot sa inyo.
Niyan, kay igwa kamiʼn pareho na pagtuod sugad san sa iya na nagsurat, “Ako nagtuod sa Dios kaya nagsurmaton ako,” kami nagatuod man sa iya, kaya nagasurmaton man kami,	Ang kasulatan nagasiling, “Naghambal ako tungod kay nagtuo ako.” Sa amo man nga espiritu sang pagtuo, nagahambal man kami tungod kay nagatuo kami.
kay maaram kami na an Dios na nagbuhay gihapon sa Ginooʼn Jesus amo man an mabuhay gihapon sa aton sa pakiusad kan Jesus kag dadarhon kami na kaupod kamo sa atubangan san Dios.	Kay nakahibalo kami nga ang Dios, nga nagbanhaw kay Ginoong Jesus, magabanhaw man sa amon upod kay Jesus kag magadala sa amon upod sa inyo, sa iya atubang.
Ini tanan alang-alang sa iyo agod myintras lalo na nagdadamo an nakakinabang san kaluoy san Dios lalo naman na magadamo an nagpapasalamat sa iya kag nagaumaw sa iya.	Ini tanan para sa inyo, kag sa nagadamo kag nagadamo ang mga tawo nga ginalambot sang kaayo sang Dios, magadamo pa gid ang ila pagpangamuyo sang pagpasalamat, sa kadayawan sang Dios.
Kaya dahilan sani dili kami naluluyahan sin buot. Bisan ngani nagdudunot sin hinay-hinay an amon lawas lalo naman lugod na nagbabag-o an amon kalag uruadlaw.	Tungod sini wala kami nagapakaluya. Bisan pa nga ang amon lawas nagaamat-amat kadunot, pero ang amon espiritu ginabag-o adlaw-adlaw.
Niyan, iniʼn dyutay na kasakitan na ginatios namon sa halip-ot na panahon amo an naghahanda para sa amon sin hasta na lang na buhay sa kalangitan na dili malalabwan.	Kag ining diutay kag umalagi nga kabudlayan nga ginaantos namon magahatag sa amon sing tama ka daku kag mapinadayunon nga himaya, nga mas labi pa sa kabudlayan.
Kaya dili kami nanginginano san mga nakikita na bagay kundi san mga dili nakikita, kay an mga bagay na nakikita nagaagi lang pero an mga dili nakikita waraʼn katapusan.	Kay ginabug-os namon ang amon pagtamod, indi sa mga butang nga makita, kundi sa mga butang nga indi makita. Kay ang makita umalagi lang, pero ang indi makita wala sing katapusan.
An amon mga lawas amo an amon mga kinab-anon na istaran kag maaram kami na kun nasira na ini, magkakaigwa pa kami sin bag-o na lawas bilang istaran na hali sa Dios. Ini an istaran na adto na sa langit kag dili ini himo san tawo kundi san Dios kag magpipirme ini hasta na lang.	Kay nakahibalo kita nga kon mabungkag ining tolda nga aton ginaestaran—ang aton dutan-on nga lawas—may gin-aman ang Dios nga balay didto sa langit nga aton pagaestaran, isa ka balay nga wala sing katapusan nga sia gid ang naghimo.
Matuod man gayod na naganguyngoy kami kay nagahandom na bagaʼn masul-utan san amon langitnon na istaran,	Kag karon nagaugayong kita, kay daku gid ang aton handom nga ang aton puloy-an sa langit isuklob sa aton,
agod pakasul-uti sana, dili na kami huba.	agod nga kon masukloban kita sini masapwan kita nga indi hublas.
Kay myintras adi pa kami sani na dutan-on na istaran, naganguyngoy kami na may kabug-atan an buot. Dili kay gusto namon hubaon ini kundi gusto namon isul-ot pa idtoʼn langitnon agod an aton namamatay na lawas mabalyuan sin lawas na may buhay hasta na lang.	Samtang nagaestar pa kita sa sining dutan-on nga tolda, nagaugayong kita tungod sang kapiot, indi tungod nga luyag kita mag-uba sining dutan-on nga lawas, kundi nga luyag kita nga ang langitnon nga lawas isuklob sa aton, agod ang mamalatyon nga lawas mangindi-mamalatyon.
An Dios an naghanda sa amon para sani na pagbag-o kag naghatag san iya Espirito bilang kasiguruhan sani.	Ang Dios amo ang naghanda sa aton sining pagbaylo, kag naghatag sa aton sang iya Espiritu subong kalig-unan sang tanan nga iya natigana para sa aton.
Kaya pirme makusog an amon buot. Maaram kami na myintras nakaistar kita sa dutan-on na lawas harayo kita sa istaran san Ginoo	Gani, sa tanan nga tion nagasalig gid kita. Nakahibalo kita nga samtang yari pa kita sa sining lawasnon nga puloy-an malayo pa kita sa puloy-an sang Ginoo.
kay sa pagtuod kita nabubuhay kag dili sa pagsarig sa mga nakikita.	Kay nagakabuhi kita karon paagi sa pagtuo, kag indi paagi sa aton makita.
Makusog an amon buot kag mas gusto pa namon na mapabulag na sani na lawas kag makaistar kaupod niya.	Nagasalig gid kita, kag luyag kita kuntani nga magbiya sining lawasnon nga puloy-an kag mag-estar upod sa Ginoo.
Kaya, bisan adi kami sa duta o bulag na sani na lawas, amo ini an amon ginahandom: na mapalipay namon siya.	Pero labaw sa tanan, luyag kita maglipay sa iya, bisan sa aton puloy-an diri ukon didto.
