msb,hil
San matapos na an panahon san iya pagtrabaho bilang padi nag-uli na siya.,Sang paggwa niya indi na sia makahambal sa ila. Gani nahangpan nila nga nakakita sia sing palanan-awon sa Templo. Nagsenyas na lang sia sa ila kay indi na sia makahambal.
Wara madugay an iya asawa na si Elisabet nagbudos kag sa sulod san lima ka bulan nagkulong siya sa inda balay.,"Sang matapos ang iya tion sa pag-alagad sa Templo, nagpauli sia."
"Ginsabi niya, “Himo ini san Ginoo sa akon kay sa iya kagustuhan hinali an kaaluhan na akon gintios sa mga tawo.”",Sang ulihi ang iya asawa nga si Elisabet nagbusong kag wala sia magguwagowa sa ila balay sa sulod sang lima ka bulan.
San ikaunom ka bulan san pagbudos ni Elisabet sinugo san Dios an anghel na si Gabriel pakadto sa Nazaret na usad na lungsod sa Galilea.,"Nagsiling sia, “Karon gintamod gid man ako sang Ginoo. Ginhimo niya ini agod kuhaon ang akon kahuloy-an sa atubang sang mga tawo!”"
Nagpakadto siya kan Maria na usad na birhen na ginapangasawa ni Jose hali sa lahi san dati na hadi na si David.,Sa ikan-om nga bulan sang pagbusong ni Elisabet ginpadala sang Dios si Gabriel nga anghel sa banwa sang Galilea nga ginatawag Nazaret.
"Pag-abot san anghel sa balay sani nagsabi siya, “Maglipay ka. Ikaw an pinalabi san Dios kag ada sa imo an Ginoo.”",May mensahe sia para sa isa ka birhen nga kalaslon sa isa ka tawo nga ginhingalanan kay Jose nga kaliwat ni Haring David. Ang ngalan sang dalaga amo si Maria.
Kinulbaan gayod si Maria san ginapanurmaton sa iya kag gin-isip-isip kun nano an gusto sabihon sani.,"Ang anghel nagkadto sa iya kag nagsiling, “Magkalipay ka! Ikaw ang labing nahamut-an, ang Ginoo yara sa imo!”"
"Pero ginsabihan siya san anghel, “Ayaw kahadlok, Maria, kay pinalabi ka sa mata san Dios.",Natublag gid si Maria sang ginsiling sang anghel kag nagpainuino sia kon ano ang kahulogan sang iya ginpanghambal.
Tandai! Magabudos kag magaanak kaʼn lalaki kag pagangaranan mo siyaʼn Jesus.,"Nagsiling ang anghel sa iya, “Indi ka magkahadlok, Maria, kay nahamut-an ka sang Dios."
Palabawon siya kag pagatawagon na Anak san Pinakalabaw na Dios. Pareho san iya kalulululuhan na si David pagapahadion siya san Ginooʼn Dios.,"Yari karon, magabusong ka kag magaanak sang isa ka bata nga lalaki, kag pagahingalanan mo sia kay Jesus."
Didto magahadi siya san lahi ni Jacob hasta na lang kag an iya kahadian waraʼn katapusan.”,"Mangindaku sia kag pagatawgon nga Anak sang Labing Mataas nga Dios. Ang Ginoong Dios magahimo sa iya nga hari kaangay kay David nga isa sang iya mga katigulangan,"
"Niyan, ginhunga ni Maria an anghel, “Pero pan-o ini mangyari na adi wara akoʼn asawa?”",kag manginhari sia sa walay katubtoban sa mga kaliwat ni Jacob kag ang iya ginharian wala sing katapusan!”
"Ginsabat siya san anghel, “Mapakada sa imo an Espirito Santo kag pagapabuduson ka san gahom san Pinakalabaw na Dios. Kaya an imo iaanak magin banal kag pagatawagon na Anak san Dios.","Si Maria nagpamangkot sa anghel, “Paano ang pagkahimo sini, kay birhen pa ako?”"
"Kitaa, bisan ngani an imo primahon na si Elisabet apisar san iya kagurangon nagbudos. Siya na ginatawag san mga tawo na baog yana ikaunom na ka bulan an iya pagbudos,","Ang anghel nagsabat, “Ang Espiritu Santo magakunsad sa imo, kag ang gahom sang Dios nga Labing Mataas magalikop sa imo. Tungod sini ang balaan nga bata nga matawo pagatawgon nga Anak sang Dios."
kay waraʼn imposible sa Dios.”,"Dumdoma bala ang imo pariente nga si Elisabet. Bisan tigulang na sia kag baw-as, nagabusong na sing anom ka bulan sang isa ka bata nga lalaki."
"Kaya nagsabat si Maria, “Suruguon ako san Ginoo. Mangyari lugod ini sa akon na ginsabi mo.” Tapos ginbayaan na siya san anghel.",Kay sa Dios wala sing bisan ano nga indi mahimo.”
"Pakalipas sin pira ka adlaw nag-apura si Maria pakadto sa usad na lungsod sa kabukidan san Judea,","Si Maria nagsiling, “Alagad ako sang Ginoo. Kabay nga matuman ini sa akon suno sa imo ginsiling.” Kag ang anghel nagbiya sa iya."
kag pagsulod sa balay ni Zacarias ginkumusta si Elisabet.,Sa tapos sadto si Maria nanghimos kag nagdalidali sa pagkadto sa isa ka banwa sa kabakuloran sang Judea.
Pakabati lang ni Elisabet san pangumusta ni Maria ada na sa iya an gahom san Espirito Santo kag insigida an bata sa iya tiyan naghiwag.,Nagkadto sia sa balay ni Zacarias kag iya gintamyaw si Elisabet.
"Tapos nagsurmaton si Elisabet sin makusog, “Pinalabi ka sa tanan na mga babayi kag pinalabi man an bata na ada sa imo tiyan.","Sang pagkabati ni Elisabet sang pagpanamyaw ni Maria, nagkibo ang lapsag sa iya tiyan. Napun-an si Elisabet sang Espiritu Santo,"
Malipay gayod ako na ginabisita san iloy san akon Ginoo,"kag sa mabaskog nga tingog naghambal, “Ikaw ang labing bulahan sa tanan nga mga babayi! Kag bulahan ang bata nga imo ginadala!"
kay pakabati ko lang san imo pangumusta an bata sa akon tiyan naghiwag sa dako na kalipay.,"Ngaa matabo ining daku nga butang sa akon, nga ang iloy sang akon Ginoo magbisita sa akon?"
"Oo, malipay ka na nagtuod na matutuman an gintuga sa imo san Ginoo.”","Kay sang pagkabati ko gid sang imo pagpanamyaw, ang lapsag sa akon tiyan nagkibo sa kalipay."
"Didi nagsabi si Maria,",Daw ano ka malipayon sa imo nga nagatuo nga matuman ang ginsiling sang Ginoo sa imo!”
"“O kalag ko, umawon mo an Ginoo.",Si Maria nagsiling:
"Nalilipay gayod ako dahilan sa Dios na akon Parasalbar,","“Ang akon tagipusoon nagadayaw sa Ginoo,"
kay napanginanuhan niya ako na mapainubuson niya na suruguon!,kag nagakalipay ang akon espiritu tungod sa Dios nga akon Manluluwas.
"Tuna niyan pagasabihon san tanan na katawuhan na palabi ako,","Kay gintamod niya ako, ang iya kubos nga alagad!"
kay siya na makagagahom na Dios ginhimuan ako sin maayo na mga gawi.,"Sugod subong ang tanan nga mga tawo magatawag sa akon malipayon,"
Banal an iya ngaran.,tungod sang dalagku nga mga butang nga nahimo sa akon sang Gamhanan nga Dios.
Tuna pa kasadto hasta yana ginakaluuyan niya an bisan sin-o na may paggalang sa iya.,Ang iya ngalan balaan.
Ginpakita niya an kusog san iya butkon kag binurulag an mga nagaisip na labaw sinda.,"Nagakaluoy sia sa mga nagatahod sa iya,"
May mga makagagahom na hadi na ginpalusad niya sa inda mga ingkudan,halin sa isa ka kaliwatan pakadto sa isa ka kaliwatan.
pero an mga mapainubuson ginpahitaas niya.,"Gingamit niya ang iya butkon sa pagpakita sang iya kusog,"
Ginpabuganaan niya an mga nagugutom pero an mga mayaman ginpahali sin waraʼn dara.,ginpaaplaag niya ang mga bugalon sa tagipusoon kag hunahuna.
54-55 Ginbuligan niya si Israel na iya suruguon kay nadumduman niya na maluoy kan Abraham kag san iya mga kaapu-apuhan hasta na lang.,"Ginpukan niya ang gamhanan nga mga hari gikan sa ila mga trono,"
Kaya natuman niya an iya gintuga sa aton mga kalulululuhan.”,kag ginbayaw niya ang mga kubos.
"Nagdayon si Maria kanda Elisabet sin matulo ka bulan, pakatapos nag-uli na.","Ginbusog niya sang maayo nga mga butang ang mga ginagutom,"
Nag-abot an panahon na magaanak si Elisabet kag nag-anak siya sin lalaki.,kag ginpalakat niya nga wala sing dala ang mga manggaranon.
"San mabatian san iya mga katarakin kag mga kaigmanghudan ini na dako na kaluoy na ginpakita sa iya san Ginoo, nakiusad sinda sa iya kalipay.","Gintuman niya ang iya saad sa aton mga katigulangan,"
Pag-ikawalo ka adlaw nagtiripon sinda agod ipaturi an bata. Didi ginaisip ninda na siya pagangaranan sin Zacarias na pareho san sa iya ama.,ginbuligan niya ang mga katawhan sang Israel nga iya mga alagad.
"Pero nagsurmaton an iya iloy, “Dili! Pagangaranan siyaʼn Juan.”",Gindumdom niya nga magkaluoy kay Abraham
"Ginsabihan ninda si Elisabet, “Aba! Wara man gali sin usad sa iyo pamilya an may ngaran na sugad sana.”",kag sa tanan niya nga mga kaliwat sa walay katubtoban!”
"Tapos, ginpasabot ninda an ama kun nano an gusto niya na ngaran sa bata.","Si Maria nagtener upod kay Elisabet sa sulod sang tatlo ka bulan, kag ugaling nagpauli."
"Nagpasabot sin masuratan an ama kag may ginsurat, “An ipangaran sa iya Juan.” Nangawa sinda tanan.","Karon nag-abot ang tion nga inugbata na ni Elisabet, kag nagbata sia sing lalaki."
Sadto dayon nakasurmaton si Zacarias kag nag-umaw sa Dios.,Ang iya mga kaingod kag mga pariente nakabati kon daw ano kadako ang kaluoy sang Ginoo sa iya kag nagkinalipay sila upod sa iya.
Nagkangarawa an tanan ninda na katarakin kag ini na pangyari gin-iristoryahan sa bilog na kabukidan san Judea.,"Sang walo na ka adlaw ang lapsag, nag-abot sila sa pagtuli sa iya. Kuntani hingalanan nila sia nga Zacarias nga amo ang ngalan sang iya amay."
"An tanan naman na nakabati ginsahuna-huna na lang idtoʼn tanan, “Nano daw an maaabtan sani na bata?” Ginsabi ninda ini kay naaraman ninda na an pagpalabi san Ginoo ada sa iya.","Pero ang iya iloy nagsiling, “Indi! Pagahingalanan sia kay Juan.”"
"Niyan, ada na kan Zacarias na iya ama an gahom san Espirito Santo kaya nagsabi,","Nagsiling sila sa iya, “Pero wala ka gid sing pariente nga amo ina ang ngalan!”"
“Umawon an Ginoo na Dios san Israel kay nagpakadi siya kag ginlibre an iya mga tawo.,Dayon nagsenyas sila sa iya amay sa pagpamangkot kon ano ang iya luyag nga ipahingalan sa bata.
Nagpadara siya sa aton sin makagagahom na Parasalbar hali sa lahi san iya suruguon na si David.,"Nagpangayo si Zacarias sing sulolatan kag nagsulat, “Hingalanan sia kay Juan.” Natingala gid sila tanan!"
Ini ginpahayag san Dios paagi sa iya mga banal na propeta kasadto na mga panahon,Sa gilayon makahambal na liwat si Zacarias kag nagdayaw sia sa Dios.
na isalbar kita niya sa aton mga kaaway kag sa tanan na nababadli sa aton.,"Ang ila tanan nga mga kaingod hinadlukan gid, kag ang balita nahanungod sining mga hitabo naglapnag sa tanan nga mga kabakuloran sang banwa sang Judea."
Ginkaluuyan niya an aton mga kalulululuhan sugad san gintuga kag nadumduman an iya banal na ginsumpaan.,"Ang tanan nga nakabati sini nga mga hitabo nagpamalandong kag nagpamangkot, “Mangin-ano ayhan ini nga bata?” Kay maathag nga ang gahom sang Ginoo yara sa iya."
Ini an gintuga kan Abraham na usad sani,Si Zacarias nga amay ni Juan napun-an sang Espiritu Santo kag nagtagna nga nagasiling:
na pagasalbaron kita sa aton mga kaaway agod wara kitaʼn kahadlok na makasirbe,"“Dayawon ta ang Ginoo, ang Dios sang Israel!"
sa kabanalan kag katanusan sa atubangan san Dios sa tanan na adlaw san aton pagkabuhay.”,Iya ginbisitahan kag ginluwas ang iya mga tawo.
"Paglingi niya sa bata nagsabi siya,","Ginpadala niya ang isa ka gamhanan nga Manluluwas para sa aton,"
"“Anak ko, pagatawagon ka na propeta san Dios na Pinakalabaw sa tanan.",ang isa nga kaliwat ni David nga iya alagad.
Mauuna ka sa Ginoo agod ipreparar an aagihan niya,"Amo ini ang iya ginsaad sang una paagi sa iya balaan nga mga propeta,"
kag ipaaram sa iya mga tawo na masasalbar sinda paagi sa pagpatawad san inda mga kasal-an.,"nga iya kita luwason gikan sa aton mga kaaway,"
Ini na pagpatawad paagi sa dako na kaluoy san aton Dios.,kag gikan sa gahom sang tanan nga nagadumot sa aton.
An pagsalbar niya pareho san pagsirak sa aton san adlaw,"Nagsiling sia nga kaluoyan niya ang aton mga katigulangan,"
para mapawaan idtoʼn nabubuhay sa kadulman san kasal-an kag nasa anino san kamatayon.,kag dumdomon niya ang iya balaan nga kasugtanan.
Magpakita man ina sa aton san paagi na mabuhay sa kalinaw.”,"73-74 Nagsumpa sia kay Abraham nga isa sang aton mga katigulangan,"
Pakatapos sani nagdako an bata kag an iya espirito nagkusog sa pagsunod sa Dios. Didto siya nagaistar sa disyerto hasta sa adlaw na siya nagtuna pagtukdo sa mga taga-Israel.,"kag nagsaad nga luwason niya kita gikan sa aton mga kaaway,"
Sadtoʼn panahon may sugo hali kan Cesar Augusto na magpalista an katawuhan na sakop san Roma.,Sa sadto nga mga adlaw nagmando si Emperador Augusto nga ang tanan nga ginsakpan sang Ginharian sang Roma magpalista.
Ini an primero na pagpalista san katawuhan na ginhimo san si Kirenio amo pa an gobernador sa Siria.,Ining nahauna nga pagpanglista nahanabo sang si Quirinio amo ang gobernador sang Siria.
Kaya an kada usad nag-uli sa lungsod san inda kalulululuhan agod magpalista.,Gani ang tagsatagsa nagpauli sa iya kaugalingon nga banwa sa pagpalista.
"Niyan, may tawo na an ngaran si Jose na naghali sa iya lungsod san Nazaret sa Galilea kag nagpakadto sa lungsod san dati na hadi na si David. Ini na lungsod ginatawag na Betlehem sa Judea. Nagkadto siya agod magpalista dahilan na siya kalahi ni David.","Halin sa banwa sang Nazaret sa Galilea, si Jose nagkadto sa Judea, sa banwa nga ginatawag Betlehem, sa diin natawo si Haring David. Nagkadto sia didto tungod kay sia kaliwat ni David."
An kaupod niya amo si Maria na iya magigin asawa na sadto na kaurason tikaanakon.,"Nagpalista sia upod kay Maria nga kalasalon na sa iya. Nagabusong na si Maria,"
Myintras na adto sinda nag-abot an oras san iya pag-anak.,kag samtang didto sila sa Betlehem nag-abot ang tion nga inugbata na niya.
"Didi gin-anak niya an iya subang na lalaki kag ginputos sa pambata na gamit, pakatapos ginhulid sa balalong kay wara na gayod sin bakante para sa inda sa istaran para sa mga dayunan.",Nagbata sia sang iya panganay nga lalaki. Ginputos niya ini sang lampin kag ginpahigda sa isa ka pasungan kay wala na sing lugar para sa ila sa balay nga dalayunan.
Halapit didto igwaʼn mga pastor sa kabukidan na pagkagab-i ginabantayan an inda mga karnero.,Sa sadto man nga lugar may mga manugbantay sang mga karnero nga nagapulaw sa latagon sa bilog nga gab-i sa pagbantay sang ila mga panong.
"Niyan, may nagpakita sa inda na anghel san Ginoo kag an kapawa san glorya san Ginoo nagpawa sa inda. Kaya nagkaharadlok gayod sinda.","Ang isa ka anghel sang Ginoo nagpakita sa ila, kag ang masanag nga kapawa sang Ginoo nagsilak sa ila. Hinadlukan gid sila,"
"Pero ginsabihan sinda san anghel, “Ayaw kamo kahadlok! Pamati, may maayo ako na barita para sa iyo na makapalipay gayod sa tanan na katawuhan.","pero ang anghel nagsiling sa ila, “Indi kamo magkahadlok! Kay nag-abot ako sa pagdala sa inyo sing maayong balita nga magahatag sing daku nga kalipay sa tanan nga mga tawo."
"Niyan pa lang sa Betlehem na lungsod ni David, may Parasalbar na gin-anak para sa iyo. Siya si Cristo na amo an Ginoo.","Karon gid nga adlaw natawo sa banwa ni David ang inyo Manluluwas, ang Cristo nga Ginoo!"
Adi an tanda para sa iyo: makikita niyo an bata na napuputos sa pambata na gamit kag nakahulid sa balalong.”,Amo ini ang tanda para sa inyo: makita ninyo ang isa ka lapsag nga naputos sang lampin kag nagahigda sa isa ka pasungan.”
"Insigida kaupod na san anghel, an damo pa gayod ka manada na anghel hali sa langit na nagaumaw sa Dios kag nagakaranta,",Sa hinali nagpakita ang isa ka daku nga grupo sang mga anghel sang langit kag nagbuylog sa sadto nga anghel kag nagkanta sila sini nga mga pagdayaw sa Dios:
"“Umawon an Dios sa pinakahitaas na langit,","“Dayawa ang Dios sa kalangitan,"
kay nagahatag siya sin katrangkiluhan sa mga tawo na iya ginakalipay sa duta.”,kag paghidait sa duta sa mga tawo nga iya nahamut-an!”
"Paghali sa inda san mga anghel na pabalik sa langit, nag-iristoryahan an mga pastor, “Hamos kita sa Betlehem kag kitaon ta ini na mga pangyayari na ginpaaram sa aton san Ginoo.”","Sang makahalin na ang mga anghel pabalik sa langit, ang mga manugbantay sang mga karnero nagsinilingay, “Dali makadto kita sa Betlehem kag tan-awon ta ining butang nga nahanabo nga ginpahayag sang Ginoo sa aton.”"
"Kaya nag-apura sinda pagkadto kag pag-abot nakita ninda si Maria, si Jose kag an nakahulid na bata sa balalong.","Gani, naglakat sila nga nagadalidali kag nakita nila si Maria kag si Jose, subong man ang lapsag nga nagahigda sa isa ka pasungan."
Pakakita ninda sa bata ginpanumat ninda an ginsabi sa inda manungod sa iya.,"Sang makita sang mga manugbantay ang lapsag, ginpanugid nila ang ginhambal sa ila sang anghel nahanungod sini nga bata."
Nagkangarawa an tanan na nakabati san ginpangistorya san mga pastor.,Ang tanan nga nakabati sini natingala gid sang ginpanugid sa ila sang mga manugbantay sang mga karnero.
Ini tanan na mga surmaton ginpasabuot na lang ni Maria pero ginparaisip-isip.,Pero gintipigan ni Maria ini nga mga butang kag ginpamalandungan sa iya tagipusoon.
Pakatapos nag-uli an mga pastor na ginapasalamatan kag ginaumaw an Dios tungod san tanan na inda naaraman kag nakita sugad gayod san ginsabi sa inda.,"Ang mga manugbantay sang mga karnero nagbalik nga nagakanta sang mga pagdayaw sa Dios tungod sang tanan nga ila nabatian kag nakit-an, suno gid sa ginhambal sang anghel sa ila."
"Pag-ikawalo ka adlaw kag panahon na san pagpaturi san bata, ginngaranan siyaʼn Jesus na amo an ngaran na ginsabi san anghel antes siya ginbudos.","Sa ikawalo nga adlaw, sang mag-abot na ang tion nga pagatulion ang lapsag, ginhingalanan sia kay Jesus, ang ngalan nga ginhatag sang anghel sa wala pa sia ginpanamkon sang iya iloy."
Pagkaadlaw naman san seremonyas san paglinis sa mag-iloy susog sa Kasuguan ni Moises gindara ninda si Jesus pa-Jerusalem. Didto sa templo ginhalad siya ninda sa Ginoo para magin iya suruguon,"Nag-abot ang tion nga si Jose kag si Maria kinahanglan magtuman sang seremonya sang pagpaninlo suno sa Kasugoan ni Moises. Gani, gindala nila ang bata sa Jerusalem agod ihalad sia sa Ginoo."
susog sa sugo san Ginoo na “an tanan na subang na lalaki ihalad sa Ginoo.”,"Kay nasulat sa kasugoan sang Ginoo, “Ang tagsa ka panganay nga lalaki ihalad sa Ginoo.”"
Amo man bilang sakripisyo susog sa Kasuguan san Ginoo maghalad sin “usad na padis na salampati o dili kaya duha na piso na balod.”,"Nagdulot man sila sing halad suno sa nasiling sa kasugoan sang Ginoo, “Isa ka pares sang tukmo, ukon duha ka kuyabog nga mga pating.”"
"Niyan, didto sa Jerusalem igwaʼn lalaki na an ngaran Simeon. Matanos siya kag diosnon na tawo. Nagalaom siya san pagkasalbar san katawuhan san Israel kag an Espirito Santo ada sa iya.","Sa sadto nga tion may tawo nga nagaestar sa Jerusalem nga ang iya ngalan si Simeon. Ini nga tawo matarong kag matinuohon sa Dios, kag nagahulat sang pagluwas sa Israel. Ang Espiritu Santo yara sa iya,"
Ginpaaram siya san Espirito Santo na dili siya mamamatay hasta na dili niya makita an Mesias na gintuga san Ginoo.,kag nagpasalig sa iya nga indi sia mapatay sa wala pa niya makita ang ginsaad sang Ginoo nga Cristo.
"Niyan, sa paggiya san Espirito nagpakadto siya sa templo kag san gindara na san ginikanan an bata na si Jesus didto agod masunod an nasabi sa Kasuguan,","Sa pagtuytoy sang Espiritu, si Simeon nagkadto sa Templo. Sang gindala ang bata nga si Jesus sang iya mga ginikanan sa Templo agod himuon sa iya ang ginasiling sang Kasugoan,"
"ginkugos ni Simeon an bata kag gin-umaw an Dios,",ginkugos ni Simeon ang bata kag nagpasalamat sia sa Dios nga nagasiling:
"“Yana, O Ginoo, pwede mo na bawian sin buhay an imo suruguon.","“Karon, O Ginoo, gintuman mo ang imo saad,"
May katrangkiluhan na ako kay gintuman mo na an imo gintuga sa akon,kag mapataliwan mo na ang imo alagad sa paghidait.
tungod na nakita ko na an Parasalbar,"Kay ang akon mga mata nakakita sang imo kaluwasan,"
na imo ginpreparar na makita san tanan na nasyon.,nga gin-aman mo sa atubang sang tanan nga mga katawhan:
Siya an ilaw na magagiya sa mga dili-Judio sa kamatuudan kag maghatag sin galang sa imo mga taga-Israel.”,"Isa ka kapawa nga magapahayag sang imo kabubot-on sa mga Hentil,"
Kaya nagngalas an ginikanan san bata sa mga ginsabi manungod sa iya.,kag magadala sang kadungganan sa imo mga tawo nga Israelinhon.”
"Tapos ginbendisyunan sinda ni Simeon kag ginsabihan si Maria an iloy, “Tandai, ini na bata amo an ginpili san Dios para sa kapeligrohan san iba kag pagkasalbar man san iba sa Israel. Usad siya na tanda hali sa Dios na igasikway san kadamuan.",Ang amay kag iloy sang bata natingala gid sang ginpanghambal ni Simeon nahanungod sa iya.
Kaya an maraot ninda na kaisipan maaaraman. Sa parte mo naman an pagtios bagaʼn matarom na ispada na matusok sa imo sadiri na puso.”,"Si Simeon nagbendisyon sa ila kag nagsiling kay Maria nga iloy sang bata, “Ini nga bata ginpili sang Dios nga manginkalaglagan kag manginkaluwasan sang madamo sa Israel. Sia mangintanda halin sa Dios nga pagakontrahon sang madamo,"
36-37 Didto igwa man sin propeta na babayi na an ngaran niya si Ana. Anak siya ni Fanuel na hali sa lahi ni Aser kag gurang na siya. Pito ka tuig an iya pag-asawa antes siya nabiyuda pero 84 na niyan an iya edad. Dili na gayod siya nagahali sa templo kundi adlaw gab-i didto an iya pag-umaw sa Dios na may pag-ayuno kag pagpangadyi.,"kag magapahayag sang ila tinago nga mga panghunahuna. Kag ang kalisod, subong sang isa ka matalom nga espada, magatuhog sang imo kaugalingon nga tagipusoon.”"
Nag-abot siya sadto mismo na oras kag nagtuna pagpasalamat sa Ginoo kay nakita man si Jesus. Ginsurmaton pa niya an manungod sa bata sa tanan na nagalaom san pagkalibre san Jerusalem.,May propeta nga babayi nga si Ana nga anak ni Fanuel gikan sa tribo ni Aser. Sia isa ka tigulang nga pito ka tuig lang ang ila pagpuyo sang iya bana kag mabalo sia.
