en,ceb
"the sons of Caleb son of jephunneh: iru, elah and naam. the son of elah: kenaz.","ang mga anak nga lalaki ni Caleb nga anak ni jefone: si iru, si ela ug si naam, ug ang anak nga lalaki ni ela mao si kenas."
"the sons of jehallelel: ziph, ziphah, tiria and asarel.","ang mga anak nga lalaki ni jehalelel: si zif, si zifa, si tiria ug si asarel."
they were the potters who lived at netaim and gederah; they stayed there and worked for the king.,kini sila mao ang mga magkukulon ug ang mga nagpuyo sa netaim ug gedera; didto sila namuyo uban sa hari tungod sa iyang buhat.
"the descendants of Simeon: nemuel, jamin, jarib, zerah and shaul;","ang mga anak nga lalaki ni Simeon: si nemuel, si jamin, si jarib, si zera ug si shaul."
"shallum was shauls son, mibsam his son and mishma his son.","si sallum anak ni shaul, si mibsam anak ni sallum ug si misma anak ni mibsam."
"the descendants of mishma: hammuel his son, zakkur his son and shimei his son.","ang mga anak nga lalaki ni misma: si hamuel iyang anak, si zaccur nga anak ni hamuel, ug si simei nga anak si zacur."
"they lived in Beersheba, moladah, hazar shual,","sila namuyo sa beerseba, sa molada, sa hasarsual,"
"bilhah, ezem, tolad,","sa bilha, sa esem, sa tolad,"
"bethuel, hormah, ziklag,","sa betuel, sa horma, sa ziklag,"
"beth markaboth, hazar susim, beth biri and shaaraim. these were their towns until the reign of David.","sa betmarcabot, sa hasarsusim, sa betberi ug sa saaraim. kini mao ang ilang mga siyudad hangtod sa paghari ni David."
"their surrounding villages were etam, ain, rimmon, token and ashanfive towns—","ug ang ilang mga balangay mao ang etam, ang ain, ang rimon, ang token ug ang asan, lima ka siyudad,"
"they killed the remaining Amalekites who had escaped, and they have lived there to this day.",ug ilang gilaglag ang nahibilin sa mga amalekanhon nga nakaikyas ug mipuyo didto hangtod niining adlawa.
"the sons of Reuben the firstborn of Israel: hanok, pallu, hezron and karmi.","ang mga anak nga lalaki ni ruben nga kamagulangan ni Israel: si hanoc, si pallu, si hesron, ug si carmi."
"ahi son of abdiel, the son of guni, was head of their family.",si ahi nga anak ni abdiel nga anak ni guni maoy pangulo sa mga banay sa ilang katigulangan.
"they waged war against the hagrites, jetur, naphish and nodab.","sila nakiggubat batok sa mga hagrihanon, sa jetur, sa napis ug sa nodab."
"the sons of Levi: gershon, kohath and merari.","ang mga anak nga lalaki ni Levi: si gerson, si kohat ug si merari."
"the sons of kohath: amram, izhar, Hebron and uzziel.","ang mga anak nga lalaki ni kohat: si amram, si isar, si Hebron ug si uziel."
"eleazar was the father of phinehas, phinehas the father of abishua,","si eleasar mao ang amahan ni pinehas, ug si pinehas ni abisua,"
"abishua the father of bukki, bukki the father of uzzi,","si abisua ni bukki, si bukki ni uzi,"
"uzzi the father of zerahiah, zerahiah the father of meraioth,","si uzi ni zeraias, si zeraias ni meraiot,"
"meraioth the father of amariah, amariah the father of ahitub,","si meraiot ni amarias, si amarias ni ahitub,"
"ahitub the father of zadok, zadok the father of ahimaaz,","si ahitub ni zadok, si zadok ni ahimaas,"
"ahimaaz the father of azariah, azariah the father of johanan,","si ahimaas ni asarias, si asarias ni johanan,"
"johanan the father of azariah (it was he who served as priest in the temple Solomon built in Jerusalem),",si johanan ni asarias (siya ang nagalagad ingon nga pari sa balay nga gitukod ni Solomon didto sa Jerusalem).
"azariah the father of amariah, amariah the father of ahitub,","si asarias mao ang amahan ni amarias ug si amarias ni ahitub,"
"ahitub the father of zadok, zadok the father of shallum,","si ahitub ni zadok ug si zadok ni sallum,"
"shallum the father of hilkiah, hilkiah the father of azariah,","si sallum ni hilkias, si hilkias ni asarias,"
"azariah the father of seraiah, and seraiah the father of jozadak.","si asarias ni zerahias, si zerahias ni jehosadak,"
jozadak was deported when the Lord sent Judah and Jerusalem into exile by the hand of nebuchadnezzar.,ug si jehosadak nabihag sa diha nga gipabihag sa Ginoo ang Juda ug ang Jerusalem pinaagi sa kamot ni nabucodonosor.
"the sons of Levi: gershon, kohath and merari.","ang mga anak nga lalaki ni Levi: si gerson, si kohat ug si merari."
these are the names of the sons of gershon: libni and shimei.,ug kini mao ang mga ngalan sa mga anak nga lalaki ni gerson: si libni ug si simei.
"the sons of kohath: amram, izhar, Hebron and uzziel.","ang mga anak nga lalaki ni kohat: si amram, si isar, si Hebron ug si uziel."
"of gershon: libni his son, jahath his son, zimmah his son,","kang gerson: si libni nga iyang anak, si jahat nga anak ni libni, si zima nga anak ni jahat,"
"joah his son, iddo his son, zerah his son and jeatherai his son.","si joa nga anak ni zima, si ido nga anak ni joa, si zera nga anak ni ido, ug si jeaterai nga anak ni zera."
"the descendants of kohath: amminadab his son, korah his son, assir his son,","ang mga anak nga lalaki ni kohat: si aminadab nga iyang anak, si korah nga anak ni aminadab, si asir nga anak ni korah,"
"elkanah his son, ebiasaph his son, assir his son,","si elkana nga anak ni asir, si ebiasaf nga anak ni elkana, si asir nga anak ni abiasaf,"
"tahath his son, uriel his son, uzziah his son and shaul his son.","si tahat nga anak ni asir, si uriel nga anak ni tahat, si uzias nga anak ni uriel, ug si shaul nga anak ni uzias."
"the descendants of elkanah: amasai, ahimoth,","ang mga anak nga lalaki ni elkana: si amasai ug si ahimot,"
"elkanah his son, zophai his son, nahath his son,","si elkana nga anak ni ahimot, si sofai nga anak ni elkana, si nahat nga anak ni sofai,"
"eliab his son, jeroham his son, elkanah his son and Samuel his son.","si eliab nga anak ni nahat, si jeroham nga anak ni eliab ug si elkana nga anak ni jeroham."
the sons of Samuel: Joel the firstborn and abijah the second son.,ang mga anak nga lalaki ni Samuel: ang kamagulangan si Joel ug ang ikaduha si abias.
"the descendants of merari: mahli, libni his son, shimei his son, uzzah his son,","ang mga anak nga lalaki ni merari: si mahli, si libni nga anak ni mahli, si simei nga anak ni libni, si uza nga anak ni simei,"
"shimea his son, haggiah his son and asaiah his son.","si simeas nga anak ni uza, si hagias nga anak ni simeas, ug si asaias nga anak ni hagias."
"the son of elkanah, the son of jeroham, the son of eliel, the son of toah,","nga anak ni elkana, nga anak ni jeroham, nga anak ni eliel, nga anak ni toa,"
"the son of zuph, the son of elkanah, the son of mahath, the son of amasai,","nga anak ni zuf, nga anak ni elkana, nga anak ni mahat, nga anak ni amasai,"
"the son of elkanah, the son of Joel, the son of azariah, the son of Zephaniah,","nga anak ni elkana, nga anak ni Joel, nga anak ni asarias, nga anak ni zefanias,"
"the son of tahath, the son of assir, the son of ebiasaph, the son of korah,","nga anak ni tahat, nga anak ni asir, nga anak ni ebiasaf, nga anak ni korah,"
"the son of izhar, the son of kohath, the son of Levi, the son of Israel;","nga anak ni isar, nga anak ni kohat nga anak ni Levi, nga anak ni Israel,"
"the son of michael, the son of baaseiah, the son of malkijah,","nga anak ni michael, nga anak ni baasias, nga anak ni malkias,"
"the son of ethni, the son of zerah, the son of adaiah,","nga anak ni etni, nga anak ni zera, nga anak ni adaias,"
"the son of ethan, the son of zimmah, the son of shimei,","nga anak ni etan, nga anak ni zima, nga anak ni simei,"
"the son of jahath, the son of gershon, the son of Levi;","nga anak ni jahat, nga anak ni gerson nga anak ni Levi."
"the son of hashabiah, the son of amaziah, the son of hilkiah,","nga anak ni hasabias, nga anak ni amasias, nga anak ni hilkias,"
"the son of amzi, the son of bani, the son of shemer,","nga anak ni amsi, nga anak ni bani, nga anak ni semer,"
"the son of mahli, the son of mushi, the son of merari, the son of Levi.","nga anak ni mahli, nga anak ni musi, nga anak ni merari, nga anak ni Levi."
"their fellow Levites were assigned to all the other duties of the tabernacle, the house of God.",ug ang ilang mga kaigsoonan nga mga levihanon mao ang gipili alang sa tanang buluhaton sa tabernakulo sa balay sa Dios.
"bukki his son, uzzi his son, zerahiah his son,","si bukki nga anak ni abisua, si uzi nga anak ni bukki, si zerahias nga anak ni uzi,"
"meraioth his son, amariah his son, ahitub his son,","si meraiot nga anak ni zerahias, si amarias, nga anak ni meraiot, si ahitub nga anak ni amarias,"
zadok his son and ahimaaz his son.,"si zadok nga anak ni ahitub, si ahimaas nga anak ni zadok."
they were given Hebron in Judah with its surrounding pasturelands.,"kanila gihatag ang Hebron sa yuta sa Juda ug ang mga dapit nga sibsibanan nga naglibot niini,"
but the fields and villages around the city were given to Caleb son of jephunneh.,apan ang kaumahan sa mga siyudad ug ang mga balangay niini ilang gihatag kang Caleb nga anak ni jefone.
some of the kohathite clans were given as their territory towns from the tribe of ephraim.,ang uban sa mga panimalay sa mga kaliwat ni kohat may mga siyudad sa ilang kayutaan gikan sa banay ni efraim.
"jokmeam, beth horon,","ang jokmeam lakip ang mga sibsibanan niini, ang bethoron lakip ang mga sibsibanan niini,"
"aijalon and Gath rimmon, together with their pasturelands.","ang aialon lakip ang mga sibsibanan niini, ang gatrimon lakip ang mga sibsibanan niini,"
"ramoth and anem, together with their pasturelands;","ang ramot lakip ang mga sibsibanan niini, ug ang anem lakip ang mga sibsibanan niini."
"hukok and rehob, together with their pasturelands;","ang hukok lakip ang mga sibsibanan niini, ug ang rehob lakip ang mga sibsibanan niini."
"heshbon and jazer, together with their pasturelands.","ang hesbon lakip ang mga sibsibanan niini, ug ang jaser lakip ang mga sibsibanan niini."
"the sons of Issachar: tola, puah, jashub and shimronfour in all.","ang mga anak nga lalaki ni isacar: si tola, si pua, si jasub ug si simron, upat."
"three sons of Benjamin: bela, beker and jediael.","ang mga anak nga lalaki ni Benjamin: si bela, si beker ug si jediael, tulo."
"the shuppites and huppites were the descendants of ir, and the hushites the descendants of aher.","si supim ug si hupim mao ang mga anak ni ir, ug ang husihanon mao ang mga kaliwat ni aher."
"the sons of Naphtali: jahziel, guni, jezer and shillem —the descendants of bilhah.","ang mga anak nga lalaki ni neftali: si jasiel, si guni, si jeser ug si sallum, mga kaliwat ni bilha."
"the son of ulam: bedan. these were the sons of Gilead son of makir, the son of manasseh.",ang anak nga lalaki ni ulam: si bedan. kini sila mao ang mga anak nga lalaki ni Gilead nga anak ni makir nga anak ni manases.
"his sister hammoleketh gave birth to ishhod, abiezer and mahlah.","ug ang iyang igsoong babaye nga si hamoleket nanganak kang isod, abieser ug kang mahla."
"the sons of shemida were: ahian, Shechem, likhi and aniam.","ang mga anak nga lalaki ni semida mao si ahian, si sekem, si likhi, ug si aniam."
"their father ephraim mourned for them many days, and his relatives came to comfort him.",ug si efraim nga ilang amahan nagbangutan sulod sa daghang mga adlaw ug ang iyang mga igsoon miadto aron sa paghupay kaniya.
"rephah was his son, resheph his son, telah his son, tahan his son,","si refa anak ni efraim, si resef anak ni refa, si tela anak ni resef, si tahan anak ni tela,"
"ladan his son, ammihud his son, elishama his son,","si ladan anak ni tahan, sa amihud anak ni ladan, si elisama anak ni amihud,"
nun his son and Joshua his son.,"si nun anak ni elisama, si josue anak ni nun."
"the sons of Asher: imnah, ishvah, ishvi and beriah. their sister was serah.","ang mga anak ni aser: si imna, si isva, si isvi, si berias ug si sera nga ilang igsoon nga babaye."
"the sons of beriah: heber and malkiel, who was the father of birzaith.",ang mga anak nga lalaki ni berias: si heber ug si malkiel nga mao ang amahan ni birsait.
"heber was the father of japhlet, shomer and hotham and of their sister shua.","si heber mao ang amahan ni jaflet, ni somer, ni hotam ug sa ilang igsoon nga babaye nga si sua."
"the sons of japhlet: pasak, bimhal and ashvath. these were japhlets sons.","ang mga anak nga lalaki ni jaflet: si pasac, si bimhal ug si asvat. kini sila mao ang mga anak nga lalaki ni jaflet."
"the sons of shomer: ahi, rohgah, hubbah and aram.","ang mga anak nga lalaki ni somer nga igsoon ni jaflet: si roga, si jehuba ug si aram."
"the sons of his brother helem: zophah, imna, shelesh and amal.","ang mga anak nga lalaki ni helem nga iyang igsoon: si zofa, si imna, si seles, ug si amal."
"the sons of zophah: suah, harnepher, shual, beri, imrah,","ang mga anak nga lalaki ni zofa: si sua, si harnefer, si sual, si beri, si imra,"
"bezer, hod, shamma, shilshah, ithran and beera.","si beser, si hod, si sama, si silsa, si itran ug si beera."
"the sons of jether: jephunneh, pispah and ara.","ang mga anak nga lalaki ni jeter: si jefone, si pispa ug si ara."
"the sons of ulla: arah, hanniel and rizia.","ang mga anak nga lalaki ni ulla: si ara, si haniel ug si resia."
"Benjamin was the father of bela his firstborn, ashbel the second son, aharah the third,","si Benjamin mao ang amahan ni bela nga iyang kamagulangan, si asbel ang ikaduha, si ahara ang ikatulo,"
nohah the fourth and rapha the fifth.,si noha ang ikaupat ug si rafa ang ikalima.
"the sons of bela were: addar, gera, abihud,","si bela may mga anak nga lalaki: si adar, si gera, si abihud,"
"abishua, naaman, ahoah,","si abisua, si naaman, si ahoa,"
"gera, shephuphan and huram.","si gera, si sefufan ug si huram."
"jeuz, sakia and mirmah. these were his sons, heads of families.","si jeus, si sakias, ug si mirma. kini sila iyang mga anak nga lalaki, mga pangulo sa mga panimalay sa katigulangan."
by hushim he had abitub and elpaal.,may anak usab siya kang husim: si abitub ug si elpaal.
"ahio, shashak, jeremoth,","ug si ahio, si sasak ug si jerimot."
"zebadiah, arad, eder,","si zebadias, si arad, si eder,"
"michael, ishpah and joha were the sons of beriah.","si michael, si ispa ug si joha mao ang mga anak nga lalaki ni berias."
"zebadiah, meshullam, hizki, heber,","si zebadias, si mesulam, si hiski, si heber,"
"ishmerai, izliah and jobab were the sons of elpaal.","si ismerai, si islia ug si jobab mao ang mga anak nga lalaki ni elpaal."
"jakim, zikri, zabdi,","si jakim, si zikri, si zabdi,"
"elienai, zillethai, eliel,","si elienai, si ziletai, si eliel,"
"adaiah, beraiah and shimrath were the sons of shimei.","si adaias, si beraias ug si simrat mao ang mga anak nga lalaki ni simei."
"ishpan, eber, eliel,","si ispan, si eber, si eliel,"
"abdon, zikri, hanan,","si abdon, si zikri, si hanan,"
"hananiah, Elam, anthothijah,","si ananias, si Elam, si antotias,"
iphdeiah and penuel were the sons of shashak.,si ifdeias ug si penuel mao ang mga anak nga lalaki ni sasak.
"shamsherai, shehariah, athaliah,","si samserai, si seharias, si atalia,"
"jaareshiah, Elijah and zikri were the sons of jeroham.","si jaaresias, si elias ug si zikri mao ang mga anak nga lalaki ni jeroham."
"jeiel the father of Gibeon lived in Gibeon. his wifes name was maakah,",si jeiel nga amahan ni Gibeon nagpuyo sa Gibeon ug ang ngalan sa iyang asawa mao si maaca.
"and his firstborn son was abdon, followed by zur, kish, baal, ner, nadab,","ang kamagulangan niyang anak nga lalaki mao si abdon, unya si zur, si kis, si baal, si nadab,"
"gedor, ahio, zeker","si gedor, si ahio, si zeker"
"and mikloth, who was the father of shimeah. they too lived near their relatives in Jerusalem.","ug si miklot nga mao ang amahan ni simea. kini sila nagpuyo atbang sa ilang mga kadugo sa Jerusalem, uban sa ilang mga kadugo."
"the son of Jonathan: meribbaal, who was the father of Micah.",ang anak nga lalaki ni jonatan mao si meribbaal ug si meribbaal amahan ni mica.
"the sons of Micah: pithon, melek, tarea and ahaz.","ang mga anak nga lalaki ni mica: si piton, si melek, si tarea ug si ahas."
"moza was the father of binea; raphah was his son, eleasah his son and azel his son.","si mosa mao ang amahan ni binea, si rafa anak ni binea, si eleasa anak ni rafa, si asel anak ni eleasa."
"those from Judah, from Benjamin, and from ephraim and manasseh who lived in Jerusalem were:","ug pipila sa katawhan ni Juda, Benjamin, efraim ug manases namuyo sa Jerusalem:"
"the gatekeepers: shallum, akkub, talmon, ahiman and their fellow Levites, shallum their chief","ang mga tigbantay sa ganghaan: si sallum, si akub, si talmon, si ahiman ug ang ilang mga kadugo (si sallum maoy pangulo),"
"in earlier times phinehas son of eleazar was the official in charge of the gatekeepers, and the Lord was with him.","si pinehas nga anak ni eleasar mao ang pangulo nila sa miaging panahon, ug ang Ginoo naguban kaniya."
Zechariah son of meshelemiah was the gatekeeper at the entrance to the tent of meeting.,si zacarias nga anak ni meselemias mao ang tigbantay sa pultahan sa tolda nga tagboanan.
"the gatekeepers were on the four sides: east, west, north and south.","ang mga tigbantay sa ganghaan gibutang diha sa upat ka kilid, sa silangan, sa kasadpan, sa amihanan ug sa habagatan."
but some of the priests took care of mixing the spices.,"ang uban sa mga anak nga lalaki sa mga pari, nagandam sa pagsagol sa mga panakot,"
"jeiel the father of Gibeon lived in Gibeon. his wifes name was maakah,","sa Gibeon nagpuyo ang amahan ni Gibeon nga si jeiel, ug ang ngalan sa iyang asawa mao si maaca."
"and his firstborn son was abdon, followed by zur, kish, baal, ner, nadab,","ug ang kamagulangan niyang anak nga lalaki mao si abdon, unya si zur, si kis, si baal, si ner, si nadab,"
"gedor, ahio, Zechariah and mikloth.","si gedor, si ahio, si zacarias ug si miklot."
"the son of Jonathan: meribbaal, who was the father of Micah.","ug ang anak nga lalaki ni jonatan mao si meribbaal, ug si meribbaal mao ang amahan ni mica."
"the sons of Micah: pithon, melek, tahrea and ahaz.","ang mga anak nga lalaki ni mica: si piton, si melek, si tarea ug si ahas."
