en	ceb
Ashhur the father of Tekoa had two wives, Helah and Naarah.	Si Asur nga amahan ni Tekoa may duha ka asawa, si Hela ug si Naara.
Naarah bore him Ahuzzam, Hepher, Temeni and Haahashtari. These were the descendants of Naarah.	Si Naara nanganak kang Ahuzam, kang Hefer, kang Temeni ug kang Ha-ahastari. Kini sila mao ang mga anak nga lalaki ni Naara.
The sons of Helah: Zereth, Zohar, Ethnan,	Ang mga anak nga lalaki ni Hela: si Seret, si Isar ug si Etnan.
and Koz, who was the father of Anub and Hazzobebah and of the clans of Aharhel son of Harum.	Si Kos mao ang amahan ni Anob, ni Zobeba ug sa mga panimalay ni Aharhel nga anak nga lalaki ni Harum.
Kelub, Shuhah’s brother, was the father of Mehir, who was the father of Eshton.	Si Chelub nga igsoon ni Suha mao ang amahan ni Mehir nga amahan ni Eston.
The sons of Kenaz: Othniel and Seraiah. The sons of Othniel: Hathath and Meonothai.	Ang mga anak nga lalaki ni Kenas: si Otniel ug si Seraias. Ug ang mga anak nga lalaki ni Otniel: si Hatat ug si Meonatai.
The sons of Caleb son of Jephunneh: Iru, Elah and Naam. The son of Elah: Kenaz.	Ang mga anak nga lalaki ni Caleb nga anak ni Jefone: si Iru, si Ela ug si Naam, ug ang anak nga lalaki ni Ela mao si Kenas.
The sons of Jehallelel: Ziph, Ziphah, Tiria and Asarel.	Ang mga anak nga lalaki ni Jehalelel: si Zif, si Zifa, si Tiria ug si Asarel.
They were the potters who lived at Netaim and Gederah; they stayed there and worked for the king.	Kini sila mao ang mga magkukulon ug ang mga nagpuyo sa Netaim ug Gedera; didto sila namuyo uban sa hari tungod sa iyang buhat.
The descendants of Simeon: Nemuel, Jamin, Jarib, Zerah and Shaul;	Ang mga anak nga lalaki ni Simeon: si Nemuel, si Jamin, si Jarib, si Zera ug si Shaul.
Shallum was Shaul’s son, Mibsam his son and Mishma his son.	Si Sallum anak ni Shaul, si Mibsam anak ni Sallum ug si Misma anak ni Mibsam.
The descendants of Mishma: Hammuel his son, Zakkur his son and Shimei his son.	Ang mga anak nga lalaki ni Misma: si Hamuel iyang anak, si Zaccur nga anak ni Hamuel, ug si Simei nga anak si Zacur.
Bilhah, Ezem, Tolad,	sa Bilha, sa Esem, sa Tolad,
Bethuel, Hormah, Ziklag,	sa Betuel, sa Horma, sa Ziklag,
Beth Markaboth, Hazar Susim, Beth Biri and Shaaraim. These were their towns until the reign of David.	sa Bet-marcabot, sa Hasar-susim, sa Bet-beri ug sa Saaraim. Kini mao ang ilang mga siyudad hangtod sa paghari ni David.
Their surrounding villages were Etam, Ain, Rimmon, Token and Ashan—five towns—	Ug ang ilang mga balangay mao ang Etam, ang Ain, ang Rimon, ang Token ug ang Asan, lima ka siyudad,
They killed the remaining Amalekites who had escaped, and they have lived there to this day.	Ug ilang gilaglag ang nahibilin sa mga Amalekanhon nga nakaikyas ug mipuyo didto hangtod niining adlawa.
the sons of Reuben the firstborn of Israel: Hanok, Pallu, Hezron and Karmi.	Ang mga anak nga lalaki ni Ruben nga kamagulangan ni Israel: si Hanoc, si Pallu, si Hesron, ug si Carmi.
Ahi son of Abdiel, the son of Guni, was head of their family.	Si Ahi nga anak ni Abdiel nga anak ni Guni maoy pangulo sa mga banay sa ilang katigulangan.
They waged war against the Hagrites, Jetur, Naphish and Nodab.	Sila nakiggubat batok sa mga Hagrihanon, sa Jetur, sa Napis ug sa Nodab.
The sons of Levi: Gershon, Kohath and Merari.	Ang mga anak nga lalaki ni Levi: si Gerson, si Kohat ug si Merari.
The sons of Kohath: Amram, Izhar, Hebron and Uzziel.	Ang mga anak nga lalaki ni Kohat: si Amram, si Isar, si Hebron ug si Uziel.
Eleazar was the father of Phinehas, Phinehas the father of Abishua,	Si Eleasar mao ang amahan ni Pinehas, ug si Pinehas ni Abisua,
Abishua the father of Bukki, Bukki the father of Uzzi,	si Abisua ni Bukki, si Bukki ni Uzi,
Uzzi the father of Zerahiah, Zerahiah the father of Meraioth,	si Uzi ni Zeraias, si Zeraias ni Meraiot,
Meraioth the father of Amariah, Amariah the father of Ahitub,	si Meraiot ni Amarias, si Amarias ni Ahitub,
Ahitub the father of Zadok, Zadok the father of Ahimaaz,	si Ahitub ni Zadok, si Zadok ni Ahimaas,
Ahimaaz the father of Azariah, Azariah the father of Johanan,	si Ahimaas ni Asarias, si Asarias ni Johanan,
Johanan the father of Azariah (it was he who served as priest in the temple Solomon built in Jerusalem),	si Johanan ni Asarias (siya ang nag-alagad ingon nga pari sa balay nga gitukod ni Solomon didto sa Jerusalem).
Azariah the father of Amariah, Amariah the father of Ahitub,	Si Asarias mao ang amahan ni Amarias ug si Amarias ni Ahitub,
Ahitub the father of Zadok, Zadok the father of Shallum,	si Ahitub ni Zadok ug si Zadok ni Sallum,
Shallum the father of Hilkiah, Hilkiah the father of Azariah,	si Sallum ni Hilkias, si Hilkias ni Asarias,
Azariah the father of Seraiah, and Seraiah the father of Jozadak.	si Asarias ni Zerahias, si Zerahias ni Jehosadak,
Jozadak was deported when the Lord sent Judah and Jerusalem into exile by the hand of Nebuchadnezzar.	ug si Jehosadak nabihag sa diha nga gipabihag sa Ginoo ang Juda ug ang Jerusalem pinaagi sa kamot ni Nabucodonosor.
The sons of Levi: Gershon, Kohath and Merari.	Ang mga anak nga lalaki ni Levi: si Gerson, si Kohat ug si Merari.
These are the names of the sons of Gershon: Libni and Shimei.	Ug kini mao ang mga ngalan sa mga anak nga lalaki ni Gerson: si Libni ug si Simei.
The sons of Kohath: Amram, Izhar, Hebron and Uzziel.	Ang mga anak nga lalaki ni Kohat: si Amram, si Isar, si Hebron ug si Uziel.
Of Gershon: Libni his son, Jahath his son, Zimmah his son,	Kang Gerson: si Libni nga iyang anak, si Jahat nga anak ni Libni, si Zima nga anak ni Jahat,
Joah his son, Iddo his son, Zerah his son and Jeatherai his son.	si Joa nga anak ni Zima, si Ido nga anak ni Joa, si Zera nga anak ni Ido, ug si Jeaterai nga anak ni Zera.
The descendants of Kohath: Amminadab his son, Korah his son, Assir his son,	Ang mga anak nga lalaki ni Kohat: si Aminadab nga iyang anak, si Korah nga anak ni Aminadab, si Asir nga anak ni Korah,
Elkanah his son, Ebiasaph his son, Assir his son,	si Elkana nga anak ni Asir, si Ebiasaf nga anak ni Elkana, si Asir nga anak ni Abiasaf,
Tahath his son, Uriel his son, Uzziah his son and Shaul his son.	si Tahat nga anak ni Asir, si Uriel nga anak ni Tahat, si Uzias nga anak ni Uriel, ug si Shaul nga anak ni Uzias.
The descendants of Elkanah: Amasai, Ahimoth,	Ang mga anak nga lalaki ni Elkana: si Amasai ug si Ahimot,
Elkanah his son, Zophai his son, Nahath his son,	si Elkana nga anak ni Ahimot, si Sofai nga anak ni Elkana, si Nahat nga anak ni Sofai,
Eliab his son, Jeroham his son, Elkanah his son and Samuel his son.	si Eliab nga anak ni Nahat, si Jeroham nga anak ni Eliab ug si Elkana nga anak ni Jeroham.
The sons of Samuel: Joel the firstborn and Abijah the second son.	Ang mga anak nga lalaki ni Samuel: ang kamagulangan si Joel ug ang ikaduha si Abias.
The descendants of Merari: Mahli, Libni his son, Shimei his son, Uzzah his son,	Ang mga anak nga lalaki ni Merari: si Mahli, si Libni nga anak ni Mahli, si Simei nga anak ni Libni, si Uza nga anak ni Simei,
Shimea his son, Haggiah his son and Asaiah his son.	si Simeas nga anak ni Uza, si Hagias nga anak ni Simeas, ug si Asaias nga anak ni Hagias.
the son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah,	nga anak ni Elkana, nga anak ni Jeroham, nga anak ni Eliel, nga anak ni Toa,
the son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai,	nga anak ni Zuf, nga anak ni Elkana, nga anak ni Mahat, nga anak ni Amasai,
the son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah,	nga anak ni Elkana, nga anak ni Joel, nga anak ni Asarias, nga anak ni Zefanias,
the son of Tahath, the son of Assir, the son of Ebiasaph, the son of Korah,	nga anak ni Tahat, nga anak ni Asir, nga anak ni Ebiasaf, nga anak ni Korah,
the son of Izhar, the son of Kohath, the son of Levi, the son of Israel;	nga anak ni Isar, nga anak ni Kohat nga anak ni Levi, nga anak ni Israel,
the son of Michael, the son of Baaseiah, the son of Malkijah,	nga anak ni Michael, nga anak ni Baasias, nga anak ni Malkias,
the son of Ethni, the son of Zerah, the son of Adaiah,	nga anak ni Etni, nga anak ni Zera, nga anak ni Adaias,
the son of Ethan, the son of Zimmah, the son of Shimei,	nga anak ni Etan, nga anak ni Zima, nga anak ni Simei,
the son of Jahath, the son of Gershon, the son of Levi;	nga anak ni Jahat, nga anak ni Gerson nga anak ni Levi.
the son of Hashabiah, the son of Amaziah, the son of Hilkiah,	nga anak ni Hasabias, nga anak ni Amasias, nga anak ni Hilkias,
the son of Amzi, the son of Bani, the son of Shemer,	nga anak ni Amsi, nga anak ni Bani, nga anak ni Semer,
the son of Mahli, the son of Mushi, the son of Merari, the son of Levi.	nga anak ni Mahli, nga anak ni Musi, nga anak ni Merari, nga anak ni Levi.
Their fellow Levites were assigned to all the other duties of the tabernacle, the house of God.	Ug ang ilang mga kaigsoonan nga mga Levihanon mao ang gipili alang sa tanang buluhaton sa tabernakulo sa balay sa Dios.
Bukki his son, Uzzi his son, Zerahiah his son,	si Bukki nga anak ni Abisua, si Uzi nga anak ni Bukki, si Zerahias nga anak ni Uzi,
Meraioth his son, Amariah his son, Ahitub his son,	si Meraiot nga anak ni Zerahias, si Amarias, nga anak ni Meraiot, si Ahitub nga anak ni Amarias,
Zadok his son and Ahimaaz his son.	si Zadok nga anak ni Ahitub, si Ahimaas nga anak ni Zadok.
They were given Hebron in Judah with its surrounding pasturelands.	kanila gihatag ang Hebron sa yuta sa Juda ug ang mga dapit nga sibsibanan nga naglibot niini,
But the fields and villages around the city were given to Caleb son of Jephunneh.	apan ang kaumahan sa mga siyudad ug ang mga balangay niini ilang gihatag kang Caleb nga anak ni Jefone.
Some of the Kohathite clans were given as their territory towns from the tribe of Ephraim.	Ang uban sa mga panimalay sa mga kaliwat ni Kohat may mga siyudad sa ilang kayutaan gikan sa banay ni Efraim.
Jokmeam, Beth Horon,	ang Jokmeam lakip ang mga sibsibanan niini, ang Bet-horon lakip ang mga sibsibanan niini,
Aijalon and Gath Rimmon, together with their pasturelands.	ang Aialon lakip ang mga sibsibanan niini, ang Gat-rimon lakip ang mga sibsibanan niini,
Ramoth and Anem, together with their pasturelands;	ang Ramot lakip ang mga sibsibanan niini, ug ang Anem lakip ang mga sibsibanan niini.
Hukok and Rehob, together with their pasturelands;	ang Hukok lakip ang mga sibsibanan niini, ug ang Rehob lakip ang mga sibsibanan niini.
Heshbon and Jazer, together with their pasturelands.	ang Hesbon lakip ang mga sibsibanan niini, ug ang Jaser lakip ang mga sibsibanan niini.
The sons of Issachar: Tola, Puah, Jashub and Shimron—four in all.	Ang mga anak nga lalaki ni Isacar: si Tola, si Pua, si Jasub ug si Simron, upat.
Three sons of Benjamin: Bela, Beker and Jediael.	Ang mga anak nga lalaki ni Benjamin: si Bela, si Beker ug si Jediael, tulo.
The Shuppites and Huppites were the descendants of Ir, and the Hushites the descendants of Aher.	Si Supim ug si Hupim mao ang mga anak ni Ir, ug ang Husihanon mao ang mga kaliwat ni Aher.
The sons of Naphtali: Jahziel, Guni, Jezer and Shillem —the descendants of Bilhah.	Ang mga anak nga lalaki ni Neftali: si Jasiel, si Guni, si Jeser ug si Sallum, mga kaliwat ni Bilha.
The son of Ulam: Bedan. These were the sons of Gilead son of Makir, the son of Manasseh.	Ang anak nga lalaki ni Ulam: si Bedan. Kini sila mao ang mga anak nga lalaki ni Gilead nga anak ni Makir nga anak ni Manases.
His sister Hammoleketh gave birth to Ishhod, Abiezer and Mahlah.	Ug ang iyang igsoong babaye nga si Hamoleket nanganak kang Isod, Abieser ug kang Mahla.
The sons of Shemida were: Ahian, Shechem, Likhi and Aniam.	Ang mga anak nga lalaki ni Semida mao si Ahian, si Sekem, si Likhi, ug si Aniam.
Their father Ephraim mourned for them many days, and his relatives came to comfort him.	Ug si Efraim nga ilang amahan nagbangutan sulod sa daghang mga adlaw ug ang iyang mga igsoon miadto aron sa paghupay kaniya.
Rephah was his son, Resheph his son, Telah his son, Tahan his son,	Si Refa anak ni Efraim, si Resef anak ni Refa, si Tela anak ni Resef, si Tahan anak ni Tela,
Ladan his son, Ammihud his son, Elishama his son,	si Ladan anak ni Tahan, sa Amihud anak ni Ladan, si Elisama anak ni Amihud,
Nun his son and Joshua his son.	si Nun anak ni Elisama, si Josue anak ni Nun.
The sons of Asher: Imnah, Ishvah, Ishvi and Beriah. Their sister was Serah.	Ang mga anak ni Aser: si Imna, si Isva, si Isvi, si Berias ug si Sera nga ilang igsoon nga babaye.
The sons of Beriah: Heber and Malkiel, who was the father of Birzaith.	Ang mga anak nga lalaki ni Berias: si Heber ug si Malkiel nga mao ang amahan ni Birsait.
Heber was the father of Japhlet, Shomer and Hotham and of their sister Shua.	Si Heber mao ang amahan ni Jaflet, ni Somer, ni Hotam ug sa ilang igsoon nga babaye nga si Sua.
The sons of Japhlet: Pasak, Bimhal and Ashvath. These were Japhlet’s sons.	Ang mga anak nga lalaki ni Jaflet: si Pasac, si Bimhal ug si Asvat. Kini sila mao ang mga anak nga lalaki ni Jaflet.
The sons of Shomer: Ahi, Rohgah, Hubbah and Aram.	Ang mga anak nga lalaki ni Somer nga igsoon ni Jaflet: si Roga, si Jehuba ug si Aram.
The sons of his brother Helem: Zophah, Imna, Shelesh and Amal.	Ang mga anak nga lalaki ni Helem nga iyang igsoon: si Zofa, si Imna, si Seles, ug si Amal.
The sons of Zophah: Suah, Harnepher, Shual, Beri, Imrah,	Ang mga anak nga lalaki ni Zofa: si Sua, si Harnefer, si Sual, si Beri, si Imra,
Bezer, Hod, Shamma, Shilshah, Ithran and Beera.	si Beser, si Hod, si Sama, si Silsa, si Itran ug si Beera.
The sons of Jether: Jephunneh, Pispah and Ara.	Ang mga anak nga lalaki ni Jeter: si Jefone, si Pispa ug si Ara.
The sons of Ulla: Arah, Hanniel and Rizia.	Ang mga anak nga lalaki ni Ulla: si Ara, si Haniel ug si Resia.
Benjamin was the father of Bela his firstborn, Ashbel the second son, Aharah the third,	Si Benjamin mao ang amahan ni Bela nga iyang kamagulangan, si Asbel ang ikaduha, si Ahara ang ikatulo,
Nohah the fourth and Rapha the fifth.	si Noha ang ikaupat ug si Rafa ang ikalima.
The sons of Bela were: Addar, Gera, Abihud,	Si Bela may mga anak nga lalaki: si Adar, si Gera, si Abihud,
Abishua, Naaman, Ahoah,	si Abisua, si Naaman, si Ahoa,
Gera, Shephuphan and Huram.	si Gera, si Sefufan ug si Huram.
Jeuz, Sakia and Mirmah. These were his sons, heads of families.	si Jeus, si Sakias, ug si Mirma. Kini sila iyang mga anak nga lalaki, mga pangulo sa mga panimalay sa katigulangan.
By Hushim he had Abitub and Elpaal.	May anak usab siya kang Husim: si Abitub ug si Elpaal.
Ahio, Shashak, Jeremoth,	ug si Ahio, si Sasak ug si Jerimot.
Zebadiah, Arad, Eder,	Si Zebadias, si Arad, si Eder,
Michael, Ishpah and Joha were the sons of Beriah.	si Michael, si Ispa ug si Joha mao ang mga anak nga lalaki ni Berias.
Zebadiah, Meshullam, Hizki, Heber,	Si Zebadias, si Mesulam, si Hiski, si Heber,
Ishmerai, Izliah and Jobab were the sons of Elpaal.	si Ismerai, si Islia ug si Jobab mao ang mga anak nga lalaki ni Elpaal.
Jakim, Zikri, Zabdi,	Si Jakim, si Zikri, si Zabdi,
Elienai, Zillethai, Eliel,	si Elienai, si Ziletai, si Eliel,
Adaiah, Beraiah and Shimrath were the sons of Shimei.	si Adaias, si Beraias ug si Simrat mao ang mga anak nga lalaki ni Simei.
Ishpan, Eber, Eliel,	Si Ispan, si Eber, si Eliel,
Abdon, Zikri, Hanan,	si Abdon, si Zikri, si Hanan,
Hananiah, Elam, Anthothijah,	si Ananias, si Elam, si Antotias,
Iphdeiah and Penuel were the sons of Shashak.	si Ifdeias ug si Penuel mao ang mga anak nga lalaki ni Sasak.
Shamsherai, Shehariah, Athaliah,	Si Samserai, si Seharias, si Atalia,
Jaareshiah, Elijah and Zikri were the sons of Jeroham.	si Jaaresias, si Elias ug si Zikri mao ang mga anak nga lalaki ni Jeroham.
Jeiel the father of Gibeon lived in Gibeon. His wife’s name was Maakah,	Si Jeiel nga amahan ni Gibeon nagpuyo sa Gibeon ug ang ngalan sa iyang asawa mao si Maaca.
and his firstborn son was Abdon, followed by Zur, Kish, Baal, Ner, Nadab,	Ang kamagulangan niyang anak nga lalaki mao si Abdon, unya si Zur, si Kis, si Baal, si Nadab,
Gedor, Ahio, Zeker	si Gedor, si Ahio, si Zeker
